assigned_group,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
ESI00052,AWAITCUS,5550.8333333
SM000541,INPROG,3855.8
NW000468,INPROG,3530.7333333
ITS00302,INPROG,3306.8666667
SM000575,INPROG,2972.0
PM000611,AWAITCHG,2954.0166667
DC000148,AWAITCUS,2912.2666667
PM000608,INPROG,2605.9333333
EDC00026,AWAITVEN,2365.7400000059997
ITS00383,SLAHOLD,2329.69166665
NS000104,SLAHOLD,2276.7
EDC00004,SLAHOLD,2193.1666667
DC000125,AWAITCHG,2167.4
DC000218,AWAITCHG,2166.9666667
ITS00386,QUEUED,2128.3166667
DC000245,AWAITVEN,2113.6166667
ESI00012,SLAHOLD,2039.927777779
NW000435,QUEUED,1869.5690476290426
ESI00052,QUEUED,1823.8499999995997
EDC00080,QUEUED,1771.7499999835
SM000507,INPROG,1767.6166667
DC000168,PENDINGVEN,1733.1
NW000453,PENDINGREV,1728.4333333333334
NSD00012,QUEUED,1639.3166667
ITS00365,INPROG,1623.3166667
NW000451,INPROG,1576.3124999924999
DC000182,PENDINGREV,1546.5777777666665
SM000517,PENDINGREV,1541.25
NW000441,AWAITCHG,1509.6833333
DC000152,PENDINGCHG,1504.8833333
EDC00065,PENDINGCHG,1503.1833333
DC000140,PENDINGCHG,1503.1833333
DC000126,INPROG,1485.2166667
EDC00048,SLAHOLD,1414.1166667
SM000532,AWAITCUS,1326.60833335
EDC00003,PENDINGVEN,1321.15
SM000515,PENDINGREV,1317.1833333
ITS00302,QUEUED,1298.3861111111
COR00556,INPROG,1293.59999998335
ITS00329,AWAITCHG,1277.1833333
EDC00066,HISTEDIT,1260.7833333
ITS00310,QUEUED,1247.5166667
NW000470,QUEUED,1245.6666667
ENT00036,SLAHOLD,1233.5833333
NW000421,QUEUED,1232.5916666500002
ENT00040,QUEUED,1225.55
SM000514,AWAITVEN,1220.8722222
DC000121,AWAITVEN,1216.5666667
NW000474,AWAITVEN,1215.050000015
EDC00099,INPROG,1210.4499999999998
EDC00005,PENDING,1207.25
SM000512,AWAITVEN,1204.78333335
DC000213,QUEUED,1204.433333329175
DC000160,AWAITCUS,1199.2666667
ESI00048,QUEUED,1176.6833333
EDC00006,PENDINGCHG,1173.0
PM000602,QUEUED,1168.0166667
NW000514,QUEUED,1146.7
EDC00060,PENDINGVEN,1141.1333333
SM000549,SLAHOLD,1118.4333333438833
NW000480,AWAITCUS,1111.141666685
EU000201,QUEUED,1105.7333333
SM000500,PENDINGREV,1093.5833333
ITS00362,SLAHOLD,1084.21666665
ESI00042,INPROG,1046.75
ITS00311,QUEUED,1028.3500000044444
DC000107,PENDINGCHG,1027.0
ENT00026,PENDING,1026.2666667
NW000422,QUEUED,1018.7666667
NW000495,QUEUED,1008.2872549060822
ITS00337,QUEUED,1003.7666666661856
DC000176,PENDINGREV,986.48333333
DC000219,AWAITCUS,979.01666667
EDC00042,AWAITVEN,972.93333333
CB000600,AWAITVEN,972.85
NS000115,AWAITCHG,948.13333333
ITS00301,AWAITCUS,946.08333333
ESI00042,QUEUED,944.76666667
NDS00026,PENDINGREV,932.75
NW000413,PENDING,931.56666667
DC000113,PENDINGVEN,929.358333315
DC000146,INPROG,915.38333333
DC000107,PENDINGCUS,913.53333333
COR00554,SLAHOLD,906.4944444333332
ESI00012,PENDINGVEN,899.75
DC000205,SLAHOLD,896.358333315
NW000493,AWAITCUS,878.26666667
