service,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
IT Continuity Support Service,INPROG,3855.8
Other - Project Management & Delivery,AWAITCHG,1743.3416666849998
Middleware,PENDINGCHG,1504.8833333
Database,PENDINGCHG,1503.1833333
Solutions Integration Service (SIS),INPROG,1485.2166667
Mobile - Enterprise Mobile Device Management (EMDM),PENDINGCHG,1173.0
To be determined,SLAHOLD,1154.2416666665
Other - Account & Service Delivery Management,PENDINGREV,1093.5833333
Toll-free Voice,PENDING,931.56666667
Directory Services,PENDINGVEN,800.06666667
Mainframe,PENDINGCHG,751.60833331665
Managed Secure File Transfer,AWAITVEN,720.491666665
Bulk Print,QUEUED,685.9428571426213
Directory Services,PENDINGCHG,648.81666667
Midrange,PENDINGVEN,637.52666665934
WTD Provisioning,QUEUED,625.81666665
GC WAN International,AWAITCUS,605.97916665875
Middleware,PENDINGREV,600.7849999966502
Other - Telecom & Network,PENDING,545.48333333
Other - Telecom & Network,AWAITCUS,537.61666667
Other - Data Centre,PENDINGCHG,519.48333333
Solutions Integration Service (SIS),QUEUED,503.26111112100006
Midrange - Storage and Virtualization,SLAHOLD,496.93888889544996
IBN - Cabling,QUEUED,480.61666667273994
Satellite,AWAITCHG,473.6999999977667
Facilities - Data Centre Facilities Racking & Stacking,PENDING,472.14444444433326
Other - Security,PENDINGCHG,459.225
Intra-building Network Services,SLAHOLD,443.2756969701208
Other - Telecom & Network,PENDINGREV,440.4
Other - Internal Services & Strategy,PENDING,434.73095238510007
Other - Account & Service Delivery Management,SLAHOLD,425.3
Mainframe - zOS & zLinux,QUEUED,423.507298474209
Mainframe - zOS & zLinux,SLAHOLD,406.26060606729084
Intra-building Network Services,AWAITVEN,404.48811728404337
Classified Infrastructure - Government of Canada Secret Infrastructure (GCSI),SLAHOLD,397.91666667
Data Centre Services,AWAITCUS,381.54999999925
Conferencing - Videoconferencing,PENDINGVEN,376.98333333
Cloud Brokering,AWAITVEN,370.2742424300545
Fixed - VoIP,AWAITCHG,368.36470588417654
Cloud Brokering,PENDINGCUS,365.28333333
Data Centre Facilities Management,PENDINGVEN,362.10175438400006
IBN - GC Wi-Fi,AWAITCHG,353.97745098316466
Data Centre Facilities Management,PENDINGCHG,349.59444444443335
Other - Security,PENDINGREV,349.4052742622418
Intra-building Network Services,INPROG,344.481943096814
Other - Data Centre,AWAITVEN,341.5523809503713
Satellite,PENDINGCUS,341.33333333
Toll-free Voice,PENDINGCUS,334.0749999985
Other - Account & Service Delivery Management,QUEUED,333.68214285454997
Fixed - PBX,PENDINGVEN,331.920833334175
Fixed - VoIP,PENDING,322.422222221
Satellite,AWAITCUS,321.9699999973134
Other - Internal Services & Strategy,PENDINGREV,318.0083333330714
Satellite,SLAHOLD,315.57500000045
HPC -Big Data Exchange,AWAITVEN,314.3197530829407
Other - Internal Services & Strategy,PENDINGVEN,309.35
Mobile Devices,PENDINGREV,308.73666666786795
IBN - GC Wi-Fi,AWAITVEN,306.88717948634104
Storage,PENDINGVEN,305.4791666675
Intra-building Network Services,AWAITCHG,302.84888888884666
Conferencing - Videoconferencing,AWAITVEN,298.8952898544744
Storage,PENDINGREV,298.8809523819572
GC WAN International,AWAITCHG,295.7
Fixed - PBX,AWAITCHG,288.85101010098197
IBN - GC LAN,PENDINGREV,286.8584362142939
Other - Project Management & Delivery,PENDINGREV,285.33333333
WTD - Hardware,QUEUED,284.98333333077693
Storage,SLAHOLD,279.973404254968
Midrange,PENDINGREV,272.44537037039447
Mobile - Enterprise Mobile Device Management (EMDM),PENDINGREV,269.28888888766664
Other - Internal Services & Strategy,AWAITVEN,263.44289617464585
Satellite,AWAITVEN,262.04333333334
IBN - Data Centre Network,AWAITVEN,259.4123655918823
Fixed - PBX,PENDINGREV,257.8277777782833
Secure Remote Access,PENDINGVEN,247.49222222286667
Data Centre Facilities Management,SLAHOLD,247.1589447935005
Other - Internal Services & Strategy,AWAITCHG,244.24415204761934
GC WAN,PENDINGREV,240.56812500053496
Mobile Devices,QUEUED,236.78509389622667
Other - Security,PENDINGVEN,236.30769230615385
Midrange - Storage and Virtualization,AWAITCHG,231.78750000075
Other - Telecom & Network,PENDINGCHG,231.63333333
Storage,AWAITCHG,229.82416666728702
Midrange - Windows -X86,SLAHOLD,228.43106060599754
IBN - Cabling - Install and Material,AWAITVEN,227.947857143067
Intra-building Network Services,AWAITCUS,226.73826530712185
Fixed - PBX,AWAITVEN,217.64767267247313
IBN - Cabling - Install and Material,SLAHOLD,217.32489711947406
Other - Security,AWAITCHG,215.38583333098327
Other - Service Management,PENDINGCHG,215.09833333067
IBN - Data Centre Network,PENDING,213.8645833337875
Mainframe,PENDINGREV,212.73148147999999
Other - Internal Services & Strategy,SLAHOLD,212.59137427012973
Midrange - Windows -X86,PENDINGVEN,207.97833333012994
Facilities - Data Centre Facilities Power & Space,PENDING,206.7277777814333
Contact Centre,AWAITVEN,206.17257936527315
Distributed Print,INPROG,203.83120567218506
Mobile - Enterprise Mobile Device Management (EMDM),PENDINGVEN,203.56666667
Conferencing - Videoconferencing,SLAHOLD,202.78854166658272
Other - Project Management & Delivery,SLAHOLD,202.42083333363334
High-performance Computing,AWAITVEN,202.32042450811508
Fixed - PBX,PENDING,202.27222222233334
IBN - GC Wi-Fi,PENDINGVEN,201.71666667
Mainframe - zOS & zLinux,AWAITVEN,200.87916666726875
Storage - File,PENDINGREV,199.11249999999998
Data Centre Facilities Management,AWAITVEN,198.51916135944253
Data Centre Facilities Management,PENDINGCUS,198.00520833291876
Storage,AWAITVEN,197.5648484843652
Mobile - Enterprise Mobile Device Management (EMDM),AWAITVEN,196.74899328825293
Fixed - PBX,SLAHOLD,196.63623188311513
Other - Security,AWAITVEN,196.6291338579559
Facilities - Data Centre Facilities Power & Space,AWAITVEN,194.26128205180228
Mobile - Mobile Device - Government Cellular Services,PENDINGREV,193.24333333229998
IBN - Cabling - Install and Material,PENDINGCHG,193.03333333
Firewall,AWAITVEN,190.3057823127572
Other - Project Management & Delivery,INPROG,189.98277153515377
Secure Remote Access,AWAITCHG,189.9540740732977
Email,PENDINGREV,188.04333333263
Email,AWAITCHG,187.85617283875928
Distributed Print,SLAHOLD,187.31944444433336
Midrange - Windows -X86,AWAITCHG,183.58989071034208
High-performance Computing,AWAITCUS,183.09893081762283
Midrange,AWAITVEN,182.95150000024813
IT Continuity Support Service,QUEUED,182.73333333
IBN - GC LAN,AWAITCHG,182.52723133027817
Data Centre Facilities Management,PENDINGREV,181.43072916589372
IBN - Data Centre Network,AWAITCUS,180.35719063534714
Contact Centre,PENDING,179.74551281884618
Toll-free Voice,AWAITCHG,179.03666666734
Midrange,SLAHOLD,178.33993994006937
Toll-free Voice,AWAITCUS,173.80499999918555
Storage,PENDING,173.6217948718308
Data Centre Facilities Management,PENDING,171.41055555493003
Conferencing - Videoconferencing,PENDINGCUS,168.76333333334
Midrange - Windows -X86,AWAITVEN,167.6184007709866
Classified Infrastructure - GCSI - Hosting Environment,SLAHOLD,167.38888888889997
IBN - GC LAN,PENDINGCUS,165.88059701418516
HPC -Big Data Exchange,AWAITCHG,165.61513410012304
Middleware,AWAITVEN,165.08708333217996
Secure Remote Access,PENDINGREV,164.84649122980525
High-performance Computing,PENDINGCUS,163.61111111290478
Other - Security,PENDING,162.22040816422043
Other - Service Management,AWAITCHG,160.62739602131532
Storage - File,AWAITCHG,160.28712121198183
IBN - Cabling - Install and Material,AWAITCUS,159.28484848468582
Fixed - VoIP,SLAHOLD,159.22660256464803
Data Centre Facilities Management,AWAITCUS,158.69527777747325
IBN - Cabling - Install and Material,PENDINGVEN,158.4913043480435
Data Centre Facilities Management,AWAITCHG,157.65066666753796
Storage,AWAITCUS,157.34701149435242
Contact Centre,AWAITCHG,157.12183908034484
Fixed - VoIP,QUEUED,156.66623203847348
Firewall,AWAITCHG,155.7177370033734
Directory Services,PENDINGREV,152.9375
IBN - Cabling - Install and Material,PENDINGREV,151.9666666676
IBN - Data Centre Network,AWAITCHG,150.31319444579165
Other - Project Management & Delivery,AWAITCUS,149.64648148141782
IBN - GC LAN,AWAITCUS,149.09155427109837
Email,SLAHOLD,148.72500000074902
Email,PENDINGVEN,145.34824561408425
Other - Account & Service Delivery Management,INPROG,143.566666666675
Fixed - Calling Card,AWAITCUS,143.38333333
Intra-building Network Services,QUEUED,143.14822652944028
Midrange - Storage and Virtualization,PENDINGVEN,143.11000000005998
Other - Security,SLAHOLD,142.66052631535212
IBN - GC LAN,AWAITVEN,140.86721132893575
Satellite,QUEUED,140.745987653713
Contact Centre,PENDINGCUS,140.6125
IBN - GC Wi-Fi,AWAITCUS,139.53756756765858
Conferencing - Videoconferencing,PENDINGREV,139.18333333299
Other - Security,AWAITCUS,138.88540051644378
HPC -Big Data Exchange,AWAITCUS,137.73270042262783
Midrange - Windows -X86,PENDINGREV,137.2669230769738
Other - Service Management,PENDINGREV,136.6411214952327
Fixed Line,PENDINGREV,136.56724137907932
Other - Security,QUEUED,136.2745149569288
IBN - Data Centre Network,PENDINGCUS,135.74927536187388
IBN - GC LAN,SLAHOLD,133.68753415271223
Fixed - PBX,AWAITCUS,133.5310784319195
Other - Data Centre,AWAITCHG,132.578424657626
Database,AWAITVEN,132.01000000066
GC WAN,AWAITCHG,131.7429292926871
IBN - GC Wi-Fi,SLAHOLD,131.080740741044
High-performance Computing,PENDINGVEN,130.40671296265498
Other - Data Centre,PENDINGREV,130.3666666660857
Other - Service Management,AWAITCUS,130.32547342697507
Toll-free Voice,PENDINGCHG,129.63333333
Fixed Line,PENDING,129.39803921603232
Fixed - PBX,QUEUED,129.23792270559017
Contact Centre,INPROG,128.86898532679132
Other - Service Management,SLAHOLD,128.64031390130887
High-performance Computing,AWAITCHG,126.18522522518379
Fixed - VoIP,AWAITVEN,126.02931034525001
HPC -Big Data Exchange,PENDINGVEN,124.60925925966669
Data Centre Services,INPROG,124.53194444415834
Fixed - PBX,INPROG,124.41464843718086
Other - Data Centre,PENDINGCUS,123.44166666662997
Other - Security,PENDINGCUS,123.00821917842197
Middleware,PENDINGCUS,121.64866666554799
Facilities - Data Centre Facilities Racking & Stacking,SLAHOLD,121.50376344191938
GC WAN National,PENDINGREV,120.56666666999999
Mobile Devices,INPROG,120.55813008034633
Other - Service Management,PENDINGCUS,120.53242574264308
Conferencing - Videoconferencing,PENDING,119.58787878736365
Bulk Print,INPROG,119.1270833329125
Contact Centre,SLAHOLD,118.81107526868713
Data Centre Services,PENDINGREV,118.41666667
Firewall,SLAHOLD,117.37385752702411
Midrange,PENDINGCUS,115.45193798543724
HPC -Big Data Exchange,PENDINGREV,114.14199999995999
Mainframe,AWAITCUS,113.08000000106
Firewall,AWAITCUS,112.96986934365835
Data Centre Facilities Management,QUEUED,112.96222554893639
Facilities - Data Centre Facilities Power & Space,PENDINGCUS,112.63333333265999
Secure Remote Access,AWAITVEN,112.5920398015388
Fixed - VoIP,AWAITCUS,112.3778806585371
Other - Service Management,AWAITVEN,112.12013685234314
Cloud Brokering,QUEUED,109.48519313251799
GC WAN,PENDINGCHG,108.69743589484617
Conferencing - Videoconferencing,AWAITCHG,108.3037984495581
GC WAN International,QUEUED,107.71572916660436
Internal Credential Management (ICM),PENDINGREV,107.58333333
GC WAN,AWAITCUS,107.4337001376575
High-performance Computing,PENDINGREV,106.57447916762811
Other - Project Management & Delivery,QUEUED,106.15600162189848
Email,AWAITCUS,105.71278801842507
Email,AWAITVEN,105.65082304626667
Midrange - Storage and Virtualization,PENDINGREV,104.92500000116668
Contact Centre,AWAITCUS,104.64185185179537
Other - Service Management,PENDING,103.48974358965448
Toll-free Voice,SLAHOLD,103.027083332975
IBN - GC LAN,QUEUED,102.92472693911121
Distributed Print,PENDING,102.92380952428573
GC WAN,SLAHOLD,102.84166666654342
Fixed - VoIP,INPROG,102.60831111128867
Other - Project Management & Delivery,AWAITVEN,101.3012195119268
GC WAN National,AWAITCUS,100.43888888833332
Storage - File,PENDINGCUS,99.72345679011481
Midrange - Storage and Virtualization,PENDINGCHG,99.041666665
Contact Centre,PENDINGVEN,98.97916666675
Mainframe - zOS & zLinux,AWAITCUS,98.641666665
Other - Internal Services & Strategy,PENDINGCUS,97.06474359045963
IBN - GC LAN,PENDINGVEN,96.76309523833216
Fixed - VoIP,PENDINGREV,96.49691358012593
Other - Data Centre,SLAHOLD,95.86370023419133
Satellite,INPROG,94.82348484820459
IBN - Data Centre Network,SLAHOLD,94.50323129326635
Midrange,AWAITCHG,93.56751054923924
Midrange - Storage and Virtualization,PENDING,93.25476190459047
Mobile Devices,AWAITCUS,92.83333333382222
Fixed - Calling Card,QUEUED,92.066666667
GC WAN,PENDINGCUS,91.5588495573044
Data Centre Services,QUEUED,91.4306763285957
Secure Remote Access,SLAHOLD,90.52959280288812
Storage - File,PENDINGCHG,90.22500000000001
Midrange - Storage and Virtualization,AWAITVEN,90.090740741
IBN - GC LAN,INPROG,90.05670847137537
Secure Remote Access,AWAITCUS,88.63532068651064
Midrange - Windows -X86,PENDINGCUS,87.63260869516664
Mobile - Enterprise Mobile Device Management (EMDM),AWAITCHG,87.23837209232556
Other - Internal Services & Strategy,QUEUED,86.11686518691009
Other - Internal Services & Strategy,AWAITCUS,85.13926666667784
