PARENT_SERVICE,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
IT Continuity Support Service,14735.13,4219.11
Solutions Integration Service (SIS),4071.95,1172.52
Satellite,1750.1807317073176,501.6529268292683
Bulk Print,947.7166666666667,269.7633333333333
Firewall,490.80756999795597,141.5753198446766
Toll-free Voice,482.5817903930135,136.1832314410481
Contact Centre,454.0878962487309,133.4527830348091
Intra-building Network Services,450.7609528027966,129.12245779812054
Conferencing Services,447.0476432502424,126.9184881838781
Other Activities,401.59300533843174,147.0808235022726
Fixed Line,376.02162382004445,107.17220827475374
Data Centre Facilities Management,353.7514499769477,102.96749654218495
Classified Infrastructure,328.1774418604652,95.38279069767444
Storage,317.1297863013702,90.47101004566203
Government of Canada Managed Security Service,310.9437323943663,92.5923591549296
Secure Remote Access,302.4791786179923,88.72368187744458
High-performance Computing,260.66088093966783,85.29909236519008
Email,222.80730184581995,64.33573651827737
Managed Secure File Transfer,216.46611111111108,60.17680555555556
Directory Services,213.9690477304634,61.177891904539045
Cloud Brokering,206.77914728682177,61.98232558139535
GC WAN,193.9650792022795,54.37825868945864
Mobile Devices,186.63665377723382,53.37990945958675
Database,181.0300262812091,51.32350854139292
Internal Credential Management (ICM),179.77778523489906,52.447130872483285
Midrange,141.4736403879075,39.615703137478654
Distributed Print,137.11298319327736,38.961302521008406
Mainframe,119.14460092095166,33.078514965464336
Workplace Technology Services,113.63394957983196,29.444810924369722
WTD Provisioning,84.58999999999999,27.363333333333333
Middleware,59.23224944174406,15.976002889793696
Internet,57.955714285714286,16.114285714285714
Facilities-as-a-service (FaaS),3.46,3.47
