PARENT_SERVICE,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
IT Continuity Support Service,Medium,14735.13,4219.11
Solutions Integration Service (SIS),Low,4071.95,1172.52
Other Activities,High,2889.0186723768757,2889.0186723768757
Satellite,Medium,1934.07,556.0366666666666
Satellite,Low,1674.0886206896546,479.1493103448276
Bulk Print,Low,1420.8775,403.945
Cloud Brokering,High,649.85,649.85
Conferencing Services,Medium,623.8415205724507,177.1746153846156
Toll-free Voice,Low,590.2822727272729,166.57738636363635
Firewall,Low,544.6437870514814,154.46505070202838
Contact Centre,Medium,525.925168918919,149.73273648648646
Data Centre Facilities Management,Low,469.7498500468594,133.68608716026242
Intra-building Network Services,Low,459.34357899318144,129.69127303061083
Fixed Line,Medium,454.65707168894284,128.76508505467817
Intra-building Network Services,Medium,449.5213283775047,127.80415158371063
Contact Centre,Low,448.2352883977903,127.32771712707134
Firewall,Medium,443.5174955116695,125.57534111310589
Government of Canada Managed Security Service,High,442.625,442.625
Toll-free Voice,Medium,436.6199999999999,122.89432835820892
Cloud Brokering,Medium,425.7315384615385,122.27615384615386
Conferencing Services,Low,408.57753071740007,115.59609591755851
Secure Remote Access,Low,403.43249033682997,114.83510215350618
Classified Infrastructure,Medium,397.37217391304347,114.1191304347826
Other Activities,Low,384.797529091947,111.04432945440769
Fixed Line,Low,362.80148845686574,102.68189307411869
Storage,Medium,341.6420266451351,97.33702866370612
Mobile Devices,Medium,340.20440261865787,96.41657937806896
Government of Canada Managed Security Service,Low,316.05839449541304,89.51261467889907
Other Activities,Medium,310.75468858714254,88.17926719784612
Directory Services,Medium,306.1547081712065,86.79212710765236
Storage,Low,301.95586113002,85.54560925799852
High-performance Computing,Low,287.53952679332167,88.22670910822653
Government of Canada Managed Security Service,Medium,284.4643548387097,80.83838709677421
Classified Infrastructure,Low,274.86166666666657,80.67555555555556
Data Centre Facilities Management,Medium,265.58828469021995,75.75688684075786
Email,Medium,250.8201676963812,71.59894969108564
Midrange,Medium,248.70174897932299,70.51340313446592
Database,Medium,237.90200913242,66.83520547945204
GC WAN,Low,236.46711042155505,65.82225913872702
Internal Credential Management (ICM),Medium,232.21372727272737,65.84236363636364
Managed Secure File Transfer,Low,226.30596491228067,62.14070175438597
Email,Low,220.75474168435903,62.07197924038707
Secure Remote Access,Medium,213.46679876479652,60.55765826042208
Directory Services,Low,195.7383014492753,55.47718550724632
Conferencing Services,High,194.52142857142857,194.52142857142857
Secure Remote Access,High,180.56074074074075,180.56074074074075
Managed Secure File Transfer,Medium,179.07466666666662,52.71399999999999
Mobile Devices,Low,177.86240671453206,50.04696531499657
Mainframe,Low,176.65192503470615,49.43309116149935
Contact Centre,High,173.8377511961723,173.8377511961723
Internal Credential Management (ICM),Low,168.04524008350728,47.81931106471821
Firewall,High,167.30485148514848,167.30485148514848
Database,Low,164.17669865642995,46.62769673704416
Internal Credential Management (ICM),High,158.62571428571428,158.62571428571428
GC WAN,Medium,155.73633224859037,43.037496626716475
Cloud Brokering,Low,146.62392156862745,40.84990196078431
Distributed Print,Low,141.8455617977528,39.95432584269665
Intra-building Network Services,High,130.03837681159422,130.03837681159422
Distributed Print,Medium,127.30275862068966,37.243103448275875
Fixed Line,High,124.40902439024391,124.40902439024391
Midrange,Low,119.49299698542902,32.65829620945659
Mobile Devices,High,118.07970873786408,118.07970873786408
Workplace Technology Services,Low,114.40002247191016,29.505483146067387
Workplace Technology Services,Medium,102.63709677419354,28.57387096774193
High-performance Computing,High,95.91333333333336,95.91333333333336
WTD Provisioning,Low,84.58999999999999,27.363333333333333
Internet,Low,79.744,21.163999999999998
Mainframe,Medium,78.57756570302222,21.528768068331125
Midrange,High,75.69901477832515,75.69901477832515
Email,High,73.21136363636367,73.21136363636367
Middleware,Low,63.31800788247945,16.25772602412507
Middleware,Medium,62.41765787647491,16.514835183900082
Directory Services,High,59.64698113207548,59.64698113207548
Data Centre Facilities Management,High,53.520677290836666,53.520677290836666
Storage,High,48.19933333333333,48.19933333333333
High-performance Computing,Medium,47.13991863303479,61.240748576078225
GC WAN,High,38.14567251461989,38.14567251461989
Classified Infrastructure,High,12.280000000000001,12.280000000000001
Middleware,High,10.957915518824601,10.957915518824601
Toll-free Voice,High,8.472857142857142,8.472857142857142
Mainframe,High,6.677142857142857,6.677142857142857
Database,High,6.059523809523809,6.059523809523809
Internet,Medium,3.4850000000000003,3.49
Facilities-as-a-service (FaaS),Medium,3.46,3.47
Bulk Print,Medium,1.395,1.4000000000000001
Distributed Print,High,0.41000000000000003,0.41000000000000003
