service,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
IT Continuity Support Service,14735.13,4219.11
Solutions Integration Service (SIS),4071.95,1172.52
Intra-building Network Services,2167.2735247349806,620.7153621908117
Satellite,1750.1807317073176,501.6529268292683
Mainframe - zOS & zLinux,1683.035081967213,480.6064754098361
Other - Account & Service Delivery Management,1408.345,428.3433333333333
Fixed - PBX,1018.3280904522628,290.6196105527635
Mobile Devices,968.8682222222226,281.5163333333333
Bulk Print,947.7166666666667,269.7633333333333
Fixed - VoIP,745.6365308370039,215.46651982378867
Fixed - Calling Card,673.53,191.53
IBN - Cabling - Install and Material,605.2431504922632,174.2937271448666
Other - Security,588.3424779281938,171.19131547969357
Other - Project Management & Delivery,572.1793073593077,162.64281385281384
GC WAN International,546.4578787878788,154.09333333333333
Other - Internal Services & Strategy,531.5609286898842,154.2269983416253
Data Centre Services,528.1371428571429,147.32214285714284
Firewall,490.80756999795597,141.5753198446766
Toll-free Voice,482.5817903930135,136.1832314410481
Storage,480.2129500924215,137.49341219963026
Contact Centre,454.0878962487309,133.4527830348091
Conferencing - Videoconferencing,447.0476432502424,126.9184881838781
Data Centre Facilities Management,445.0977040454213,130.06147977288845
Other - Service Management,393.25987732738514,159.31789711016026
IBN - GC LAN,392.91203164505174,112.96641954163621
Mobile - Mobile Device - Government Cellular Services,353.57625462012305,100.2221724845993
Classified Infrastructure - GCSI - Hosting Environment,328.1774418604652,95.38279069767444
High-performance Computing,325.6481730915724,102.35191604449275
IBN - Cabling,323.02,100.22
Mobile - Enterprise Mobile Device Management (EMDM),321.69973702422095,96.6005328719724
Government of Canada Managed Security Service,310.9437323943663,92.5923591549296
IBN - Data Centre Network,305.9788733798609,87.93319042871386
Secure Remote Access,302.4791786179923,88.72368187744458
Midrange - Storage and Virtualization,290.9375697211156,83.63239043824696
Other - Data Centre,286.95012571428595,82.01144457142831
Fixed Line,273.69657539247896,77.65318607764364
To be determined,231.72,76.9
Fixed - Centrex,228.73777777777775,62.50555555555556
Email,222.80730184581995,64.33573651827737
Managed Secure File Transfer,216.46611111111108,60.17680555555556
Directory Services,213.9690477304634,61.177891904539045
Cloud Brokering,206.77914728682177,61.98232558139535
HPC -Big Data Exchange,202.3710958503801,75.48089567504388
IBN - GC Wi-Fi,200.5036192965776,55.96271863117879
GC WAN,194.57535319614223,54.557297434495744
Fixed - Key Systems and Interchange,188.86185185185184,52.36037037037039
Facilities - Data Centre Facilities Racking & Stacking,185.09626928471275,53.20789621318369
Facilities - Data Centre Facilities Power & Space,183.7854027261461,52.32034696406444
Database,181.0300262812091,51.32350854139292
Internal Credential Management (ICM),179.77778523489906,52.447130872483285
Midrange,174.14859556657873,49.29976050224777
-1,173.43365217391303,50.9370144927537
Storage - File,157.87348375451228,44.55202166064986
Distributed Print,137.11298319327736,38.961302521008406
GC WAN National,134.12964615384618,37.19949230769232
Midrange - Windows -X86,126.50599178403688,35.181955855503546
Workplace Technology Services,113.63394957983196,29.444810924369722
Mobile - Voice & Data,85.31524197195851,23.67284034373588
WTD - Hardware,84.58999999999999,27.363333333333333
Mainframe,81.66038899803557,22.351911591355677
HPC - Interaction & Visualization,79.46059856344772,22.793256185155585
Other - Telecom & Network,78.88825742574258,21.54324752475248
Middleware,59.23224944174406,15.976002889793696
Internet,57.955714285714286,16.114285714285714
Service Management - Enterprise Control Center (ECC),30.55,16.55
Faciltiies-as-a-service (FaaS),3.46,3.47
