service,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
IT Continuity Support Service,Medium,14735.13,4219.11
Other - Service Management,High,4182.539430379751,4182.539430379751
Solutions Integration Service (SIS),Low,4071.95,1172.52
Mainframe - zOS & zLinux,Medium,2985.2190476190476,853.1228571428572
Intra-building Network Services,Low,2541.9300135869576,726.2038043478253
Satellite,Medium,1934.07,556.0366666666666
Intra-building Network Services,Medium,1691.8479300291538,483.89064139941644
Satellite,Low,1674.0886206896546,479.1493103448276
Other - Account & Service Delivery Management,Low,1651.614,475.61199999999997
Mainframe - zOS & zLinux,Low,1426.1745000000008,406.9518
Bulk Print,Low,1420.8775,403.945
Mobile Devices,Medium,1305.95,375.48400000000004
Fixed - PBX,Low,1037.8863864042935,295.22466905187787
Fixed - PBX,Medium,1001.9162445414846,285.28720524017484
Mobile Devices,Low,976.7114634146344,279.0365853658537
GC WAN International,Low,941.3466666666666,266.5233333333333
Other - Project Management & Delivery,Medium,929.4314285714289,262.7575510204081
IBN - Cabling - Install and Material,Medium,843.3093814432988,241.30443298969075
Fixed - VoIP,Medium,805.3913197969546,230.5736548223351
IBN - Cabling - Install and Material,High,794.49,794.49
Fixed - VoIP,Low,757.5112960235643,215.30910162002925
Data Centre Services,Low,675.1245833333331,189.34208333333333
Fixed - Calling Card,Medium,673.53,191.53
Cloud Brokering,High,649.85,649.85
Other - Security,Low,635.3415181992351,180.73746647509577
Conferencing - Videoconferencing,Medium,623.8415205724507,177.1746153846156
Data Centre Facilities Management,Low,618.901400722021,176.38197833935018
Toll-free Voice,Low,590.2822727272729,166.57738636363635
IBN - Cabling - Install and Material,Low,567.2632626427397,162.67833605220247
IBN - GC Wi-Fi,Medium,565.7931619537273,160.82053984575853
Other - Internal Services & Strategy,Low,562.8509509202456,161.10301635991846
Firewall,Low,544.6437870514814,154.46505070202838
Other - Security,Medium,535.4545744680844,152.2578559738136
Storage,Medium,532.4116133942165,152.11926940639262
Contact Centre,Medium,525.925168918919,149.73273648648646
Other - Project Management & Delivery,Low,475.9960439560441,135.68884615384624
Contact Centre,Low,448.2352883977903,127.32771712707134
GC WAN International,Medium,447.52612244897955,125.61367346938773
Mobile - Mobile Device - Government Cellular Services,Medium,446.03957446808505,126.88063829787235
Firewall,Medium,443.5174955116695,125.57534111310589
Government of Canada Managed Security Service,High,442.625,442.625
Storage,Low,439.2990735294116,125.06950735294129
Toll-free Voice,Medium,436.6199999999999,122.89432835820892
IBN - GC LAN,Low,426.57264871382625,120.39445337620543
Cloud Brokering,Medium,425.7315384615385,122.27615384615386
Other - Internal Services & Strategy,Medium,422.2734299516906,122.00657004830904
Data Centre Services,Medium,417.8965624999999,115.8071875
Conferencing - Videoconferencing,Low,408.57753071740007,115.59609591755851
Mobile - Enterprise Mobile Device Management (EMDM),Medium,407.3003124999999,115.69337500000006
Secure Remote Access,Low,403.43249033682997,114.83510215350618
Classified Infrastructure - GCSI - Hosting Environment,Medium,397.37217391304347,114.1191304347826
Fixed - Centrex,Medium,393.35999999999996,110.39666666666666
IBN - Data Centre Network,Medium,370.0562562189059,104.59778606965172
High-performance Computing,Low,362.1659879285767,103.54089529717582
Other - Service Management,Low,358.6476882102233,104.48613210227408
IBN - GC LAN,Medium,351.68262568605934,99.8496728869374
Mobile - Mobile Device - Government Cellular Services,Low,351.04347919347913,99.25615615615585
IBN - Cabling,Low,323.02,100.22
Data Centre Facilities Management,Medium,322.2469932998324,92.02699329983244
Government of Canada Managed Security Service,Low,316.05839449541304,89.51261467889907
