service,PRIORITY,STATUS,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
IT Continuity Support Service,Medium,CLOSED,14735.13,4219.11
Midrange - Windows -X86,Medium,RESOLVED,6480.886666666666,1860.8833333333334
Data Centre Facilities Management,Medium,RESOLVED,6382.66,1818.67
Internal Credential Management (ICM),Medium,INPROG,5571.14,1603.15
Other - Internal Services & Strategy,Low,RESOLVED,4613.043333333334,1321.71
Intra-building Network Services,Low,RESOLVED,4213.585,1195.6349999999998
Other - Service Management,High,CLOSED,4182.539430379751,4182.539430379751
Solutions Integration Service (SIS),Low,CLOSED,4071.95,1172.52
GC WAN,Low,RESOLVED,3144.2219999999998,903.798
Mainframe - zOS & zLinux,Medium,CLOSED,2985.2190476190476,853.1228571428572
High-performance Computing,Low,RESOLVED,2892.0263333333337,827.0033333333334
Firewall,Medium,RESOLVED,2888.2660000000005,829.122
Intra-building Network Services,Medium,RESOLVED,2692.3999999999996,763.9100000000001
IBN - GC LAN,Low,RESOLVED,2597.3940000000002,742.866
Intra-building Network Services,Low,CLOSED,2523.5601785714302,721.045219780219
Other - Service Management,Medium,RESOLVED,2444.0325000000003,704.1674999999999
Email,Medium,RESOLVED,2355.3566666666666,676.77
Firewall,Low,RESOLVED,2227.066,635.6220000000001
Facilities - Data Centre Facilities Racking & Stacking,Medium,RESOLVED,2148.02,600.0
Satellite,Medium,CLOSED,1934.07,556.0366666666666
High-performance Computing,Low,INPROG,1911.87,529.6
Other - Security,Medium,RESOLVED,1795.5579999999998,515.862
Conferencing - Videoconferencing,Medium,RESOLVED,1698.74,485.14
Intra-building Network Services,Medium,CLOSED,1685.9795894428146,482.24829912023415
Satellite,Low,CLOSED,1674.0886206896546,479.1493103448276
Other - Account & Service Delivery Management,Low,CLOSED,1651.614,475.61199999999997
High-performance Computing,Medium,RESOLVED,1438.169,415.201
Mainframe - zOS & zLinux,Low,CLOSED,1426.1745000000008,406.9518
Bulk Print,Low,CLOSED,1420.8775,403.945
Facilities - Data Centre Facilities Racking & Stacking,Low,RESOLVED,1357.295,397.55
IBN - GC LAN,Low,INPROG,1328.16,367.35
Mobile Devices,Medium,CLOSED,1305.95,375.48400000000004
Other - Data Centre,Low,RESOLVED,1268.8533333333332,357.68
Other - Service Management,Low,RESOLVED,1260.1559999999997,363.716
Government of Canada Managed Security Service,Low,RESOLVED,1086.25,306.25
HPC - Interaction & Visualization,Low,RESOLVED,1045.4199999999998,302.37
Fixed - PBX,Low,CLOSED,1037.8863864042935,295.22466905187787
Other - Data Centre,Medium,RESOLVED,1034.0,302.0
IBN - GC LAN,Medium,RESOLVED,1030.6014285714286,296.13
Fixed - PBX,Medium,CLOSED,1001.9162445414846,285.28720524017484
Fixed Line,Medium,RESOLVED,981.91,277.92
Mobile Devices,Low,CLOSED,976.7114634146344,279.0365853658537
Storage - File,Medium,RESOLVED,961.165,276.16
GC WAN International,Low,CLOSED,941.3466666666666,266.5233333333333
Data Centre Facilities Management,Low,RESOLVED,932.15,259.05
Other - Project Management & Delivery,Medium,CLOSED,929.4314285714289,262.7575510204081
Email,Low,RESOLVED,871.3580000000002,260.022
IBN - Cabling - Install and Material,Medium,CLOSED,843.3093814432988,241.30443298969075
Contact Centre,Medium,RESOLVED,842.2833333333334,237.49666666666667
Directory Services,Low,RESOLVED,827.355,239.355
Contact Centre,Low,RESOLVED,825.6133333333333,240.52333333333334
Fixed - VoIP,Medium,CLOSED,805.3913197969546,230.5736548223351
IBN - Cabling - Install and Material,High,CLOSED,794.49,794.49
Fixed - VoIP,Low,CLOSED,757.5112960235643,215.30910162002925
Internal Credential Management (ICM),Medium,RESOLVED,745.2,221.2
IBN - Data Centre Network,Medium,RESOLVED,692.655,202.74
Data Centre Services,Low,CLOSED,675.1245833333331,189.34208333333333
Fixed - Calling Card,Medium,CLOSED,673.53,191.53
Cloud Brokering,High,CLOSED,649.85,649.85
Secure Remote Access,Low,RESOLVED,639.72,189.35
Other - Security,Low,CLOSED,635.3415181992351,180.73746647509577
Directory Services,Medium,RESOLVED,632.5899999999999,189.97
Conferencing - Videoconferencing,Medium,CLOSED,619.9819210053857,176.06881508079016
Data Centre Facilities Management,Low,CLOSED,618.675065028901,176.3222471098266
GC WAN,Medium,RESOLVED,601.421111111111,178.64000000000001
Storage,Medium,RESOLVED,595.1866666666666,171.60333333333332
Toll-free Voice,Low,CLOSED,590.2822727272729,166.57738636363635
IBN - Cabling - Install and Material,Low,CLOSED,567.3617839607193,162.6781342062195
IBN - GC Wi-Fi,Medium,CLOSED,565.7931619537273,160.82053984575853
Other - Internal Services & Strategy,Low,CLOSED,550.3888205128209,157.53191794871822
Firewall,Low,CLOSED,541.3565220789363,153.52492379835903
IBN - Cabling - Install and Material,Low,RESOLVED,537.165,162.74
Storage,Medium,CLOSED,532.267963386728,152.07468344774975
Other - Security,Medium,CLOSED,530.2774856203773,150.7640016433856
Contact Centre,Medium,CLOSED,525.1215495342931,149.50979678238775
IBN - Data Centre Network,Low,RESOLVED,508.9,148.82
Other - Project Management & Delivery,Low,CLOSED,475.9960439560441,135.68884615384624
Contact Centre,Low,CLOSED,447.98492702344123,127.2526205218925
GC WAN International,Medium,CLOSED,447.52612244897955,125.61367346938773
Mobile - Mobile Device - Government Cellular Services,Medium,CLOSED,446.03957446808505,126.88063829787235
Government of Canada Managed Security Service,High,CLOSED,442.625,442.625
Storage,Low,CLOSED,439.6199632082412,125.1591685062547
Firewall,Medium,CLOSED,438.01873594241994,123.99291497975706
Toll-free Voice,Medium,CLOSED,436.6199999999999,122.89432835820892
Mobile - Enterprise Mobile Device Management (EMDM),Low,RESOLVED,435.11,123.11
