STATUS,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
RESOLVED,Low,2189.2522340425517,627.4263829787234
INPROG,Medium,1905.2133333333334,547.85
INPROG,Low,1620.0149999999999,448.475
RESOLVED,Medium,1592.6067567567575,458.79162162162163
CLOSED,High,390.9500688298921,390.9500688298921
CLOSED,Low,265.4158043442729,75.78277647960286
CLOSED,Medium,250.07419006794206,72.51520155289504
SLAHOLD,Medium,145.675,41.675
QUEUED,Low,28.37,14.37
AWAITVEN,Medium,8.396666666666667,0.0
QUEUED,Medium,3.7,3.68
SLAHOLD,Low,3.21,3.22
AWAITVEN,Low,-0.6777777777777783,0.31777777777777777
AWAITCHG,Low,,
AWAITCHG,Medium,,
AWAITCUS,High,,
AWAITCUS,Low,,
AWAITCUS,Medium,,
INPROG,High,,
QUEUED,High,,
SLAHOLD,High,,
