assigned_group,TIME_IN_STATUS_BY_OWNER_HRS
ESI00052,2772.3729166666253
ITS00352,2502.7583333350003
DC000145,1724.8833333322334
NW000469,1639.4166667
ITS00329,1422.9230158777762
DC000118,1126.11333333992
EDC00060,1122.5166667
COR00055,1095.45
AP000004,1075.8
ITS00324,769.9083333499999
DC000218,733.9
ENT00008,638.3624999925
DC000168,578.4
ITS00353,566.4630434768087
NW000450,451.78666667399995
ITS00101,442.9138888883333
DC000180,385.8148284313697
DC000143,348.09285714275717
ENT00036,344.1166666685
DC000211,332.61666666728337
DC000104,323.21666667
NW000461,321.96159420286955
EU000202,319.45
ITS00308,309.438888889
ITS00345,305.683333335
CHAT_Q,303.9444444466667
NW000486,290.0
ITS00336,281.2
EU000206,266.45
DC000106,262.816666665
NW000490,262.59523808995715
DC000120,253.4666666654625
DC000187,245.79999999899997
NW000457,243.09202898503906
ESI00045,228.02242424271452
EDC00065,217.65606060575908
EDC00066,214.22207207298112
EDC00075,209.20000000165
NW000481,201.8495192300942
DC000148,196.78333333403688
SM000547,194.56666667
ESI00010,184.5388888895
DC000117,172.8916666658375
DC000134,165.1187500041625
NW000444,158.95977011482762
EDC00056,153.0
ITS00341,152.14643146800162
DC000224,140.63750000012502
SM000515,140.26302083363754
DC000108,139.36315789473684
SM000542,132.28043478167393
NSD00018,129.48749999925
NW000476,124.67777777777776
ESI00028,123.56851851838519
NW000446,121.36212121203636
NW000402,121.29803921649415
NW000445,117.70772128030006
DC000140,111.59499999937002
NW000403,110.26872659139437
EDC00019,100.925
NDS00033,95.36743986247525
DC000157,94.3
DC000109,92.15555555499999
NW000429,92.11699561399737
ITS00340,88.58293103482929
ESI00014,88.51666666666665
ENT00015,85.95833333499999
ITS00330,83.65
NDS00032,81.710000000108
SM000520,80.166666666575
DC000204,70.49957151299334
ESI00050,70.0
ESI00012,69.19722222278334
DC000194,68.46737588680851
DC000132,66.21841233638844
NW000401,63.16836007147968
DC000141,61.3266666666
NW000489,61.16236111109334
NW000460,60.56277777788833
EDC00055,56.183333333425
EDC00030,55.030047789496074
NS000101,50.967592592416665
EDC00031,49.77074879224832
ESI00011,48.63854360885339
NW000400,48.34866992398887
NW000407,47.859673366768135
ITS00331,47.759941520940366
DC000150,46.42083333343195
NW000452,44.64642857171429
NW000453,42.99761904799999
DC000179,42.6258566980374
DC000205,41.678796077143936
NW000517,40.0583333335
NW000436,40.0
SM000512,38.9314814813
SM000557,38.16465968601312
NW000484,36.23484848516364
DC000111,36.147857143014285
DC000135,34.871875000004685
ITS00326,34.61909814316313
DC000112,33.616666667
NW000418,33.6
ITS00342,33.19112903210809
ITS00376,31.82095238095001
ENT00039,31.7966666674
DC000210,30.9190476190042
EDC00024,30.33868501531653
SM000514,30.24629629633333
EDC00020,30.15
SM000560,29.902083333300002
DC000183,29.69959349599024
ENT00023,29.366666667500002
DC000105,28.333333333
EDC00054,28.017741935622578
EDC00001,27.28797909405785
TIVMON,27.107812500321877
NW000483,26.101612903232247
NW000480,25.75
DC000198,25.485593123884822
ITS00346,24.654377880232087
ENT00006,23.75122549029411
SM000502,23.303384968423984
ITS00321,23.140804597810344
ITS00332,22.533333333340003
ENT00014,21.65
ENT00005,21.483333333500003
NDS00031,21.383333333
NW000488,21.03390804610345
EDC00018,20.98882352937961
DC000122,20.773340395556755
COR00552,20.716666667
ITS00313,20.125000000116668
ITS00304,19.849999999450002
ITS00377,19.755555555666668
DC000159,19.6916666665
DC000200,19.477493804233855
NW000428,19.193333333320002
NW000412,19.0833333335
DC000119,18.890579709961965
DC000101,18.869399881173347
DC000139,18.761251314301884
NDS00026,18.696551724141383
EDC00010,18.52713841373639
DC000115,18.523210560826843
EDC00077,18.500000000012502
DC000110,18.451851851857413
ITS00368,18.401428571455728
DC000193,18.36666666675
DC000237,18.082870370333335
DC000246,18.04729729718919
NW000410,18.03000000014
ITS00322,17.801644736876316
EDC00029,17.409242144169806
NW000456,17.28333333333333
EDC00095,17.22757697458755
DC000184,16.9916666665
NW000430,16.75721346923213
EDC00004,16.609999999939998
DC000207,16.048539612994265
NW000413,15.808333333
DC000230,15.55
ITS00348,15.528571428557143
EDC00025,15.4116666667075
DC000151,15.29499999999
DC000121,15.275
SM000558,15.15072836330901
DC000236,14.829761599631716
NW000492,14.765999999988
ITS00343,13.613585245188853
NW000509,13.08141545111572
ITS00110,12.8
DC000223,12.375641025651284
SM000559,12.120370370374076
EDC00003,11.83739316239423
NW000424,11.836995305202823
NW000431,11.589644476269314
DC000195,11.333333333
DC000161,11.316666667
DC000163,11.199154228815566
NW000471,10.942361111112499
DC000202,10.812059505872417
ITS00306,10.812038900053114
NW000438,10.70942546995342
NW000406,10.56547619047143
DC000199,10.533333333
AP000001,10.434615384669229
DC000178,10.200542005400273
DC000107,10.12050202682348
DC000158,10.0
DC000209,9.685024482100154
SM000537,9.548293650809526
NW000405,9.530808080793122
ITS00380,9.054166666625001
DC000206,9.036122284801207
SM000564,8.9833333333
NW000508,8.953232030856437
NW000500,8.8833333333
EDC00040,8.88333333325
ITS00307,8.611337868458508
NW000404,8.389962121231067
EDC00053,8.0697916667
DC000133,7.9489667363860885
NW000455,7.875
ENT00003,7.870312499975
ITS00103,7.754166666675
NW000417,7.752920544979727
EDC00051,7.489583333374999
SM000561,7.238231780035128
DC000233,7.18723404254894
ESI00026,7.0257575757818165
NW000433,6.682353667561244
NW000434,6.62500000005
NW000414,6.624621212120264
ITS00347,6.584313725505883
NW000472,6.516666666633333
EDC00023,6.50555555555
EDC00006,6.446406399240401
EDC00064,6.3333333333
DC000155,6.2284360189600605
NW000420,6.227801418427664
DC000127,6.22274828796271
DC000129,6.140308230056822
ENT00002,5.955555555433333
EDC00021,5.9480562449250645
DC000128,5.916056782333881
NW000427,5.710163934472952
ITS00325,5.700000000004167
SM000521,5.6666666667
EDC00009,5.60807017544
DC000113,5.563178294571241
CG4TECH,5.426666666719999
DC000229,5.359638554201204
DC000201,5.300000000075
NW000448,5.1600828729255515
DC000216,5.095175438586843
DC000131,5.038768116010869
EDC00089,4.905555555588889
ITS00370,4.815384615430769
EDC00002,4.794232669791723
DC000190,4.766666666673332
DC000242,4.623719464147637
ENT00042,4.588888888833333
DC000228,4.5574074074111115
ITS00381,4.548130841129159
ITS00344,4.498560606079545
DC000154,4.3833333333
DC000152,4.177401810639373
EDC00008,3.6142611683979373
NW000459,3.5790355329989114
DC000221,3.5510747096533075
DC000191,3.540187611678054
ITS00359,3.4233333333000004
NW000449,3.4228586442325866
NW000463,3.308538380663307
EDC00026,3.28333333335
CB000600,3.26666666666
DC000247,3.2416666666500005
COR00557,3.2
NW000408,3.05
DC000188,3.0488694235050957
DC000130,2.996703635238817
SM000562,2.9542640378405314
ESI00054,2.9166666667
DC000185,2.9
1769,2.86666666665
ITS00360,2.755555555566667
NW000447,2.7039682539580965
ITS00358,2.6885668973441144
NW000464,2.4666666667
DC000147,2.4201438848971217
EDC00042,2.4
DC000156,2.3994847020960464
ITS00375,2.3777286135752216
DC000245,2.3341115434426087
ITS00327,2.3212121212000003
DC000217,2.1527777777833332
ITS00309,2.0452380952285716
NW000432,2.0333333333
NDS00028,1.9200000000000004
DC000173,1.7939393939363635
NW000468,1.7333333333
DC000203,1.6139969760944652
DC000170,1.6111111110999998
ESI00043,1.55
DC000176,1.4707810320798114
EDC00027,1.420833333325
DC000114,1.18333333335
SM000501,0.93333333335
SM000568,0.9
EDC00068,0.8972222222333333
EDC00048,0.7738095237999999
EDC00043,0.59583333335
EDC00033,0.55
DC000222,0.4533333333333333
NW000491,0.2666666667
DC000162,0.25
DC000116,0.2333333333
SM000549,0.2
NDS00039,0.14166666665
DC000125,0.1166666667
DC000103,0.1166666667
NW000437,0.075
EU000203,0.06666666665
COR00553,0.0388888889
NW000521,0.0
ITS00361,0.0
SM000586,0.0
SM000585,0.0
SM000582,0.0
