PARENT_SERVICE,TIME_IN_STATUS_BY_OWNER_HRS
Bulk Print,1724.8833333322334
Distributed Print,319.45
Classified Infrastructure,290.0
Firewall,44.56427314993958
Managed Secure File Transfer,26.101612903232247
High-performance Computing,25.61797946666899
Email,24.196341940565546
Database,21.292118643988474
Internal Credential Management (ICM),18.91564625853403
Data Centre Facilities Management,17.377485750493662
Intra-building Network Services,17.04803754760698
Other Activities,16.137183976624538
Toll-free Voice,15.808333333
Directory Services,13.674056603801935
Mainframe,13.657765324801023
Storage,12.792046670976552
Conferencing Services,10.826754385976317
Secure Remote Access,10.38621091152235
Midrange,9.648951945082606
Workplace Technology Services,8.953232030856437
Fixed Line,8.442156862788236
Mobile Devices,8.393837534997395
GC WAN,7.766379658824418
Contact Centre,6.612602394454063
Government of Canada Managed Security Service,5.700000000004167
Cloud Brokering,5.403982843122795
Middleware,4.175666617019446
