service,TIME_IN_STATUS_BY_OWNER_HRS
Bulk Print,1724.8833333322334
Mobile Devices,638.3624999925
Distributed Print,319.45
Classified Infrastructure - GCSI - Hosting Environment,290.0
Mainframe - zOS & zLinux,251.8632262997132
Intra-building Network Services,122.159201170675
Other - Security,93.82795152468316
Firewall,44.56427314993958
Other - Internal Services & Strategy,42.34731182800002
High-performance Computing,33.0402010227338
Midrange - Storage and Virtualization,27.085608646168268
Facilities - Data Centre Facilities Racking & Stacking,26.369172932351145
Managed Secure File Transfer,26.101612903232247
GC WAN National,25.908068783076438
IBN - Data Centre Network,25.182632080609558
Email,24.196341940565546
Mobile - Mobile Device - Government Cellular Services,21.65
Mobile - Voice & Data,21.483333333500003
Database,21.292118643988474
Other - Project Management & Delivery,19.6916666665
Internal Credential Management (ICM),18.91564625853403
Other - Data Centre,18.649236192664965
Facilities - Data Centre Facilities Power & Space,18.437623762431684
Data Centre Facilities Management,16.24401125403183
Toll-free Voice,15.808333333
Midrange,15.19784915959552
Other - Service Management,14.202894572671067
Directory Services,13.674056603801935
Storage,13.00162601628932
IBN - GC LAN,12.861148255798721
Conferencing - Videoconferencing,10.826754385976317
IBN - GC Wi-Fi,10.715845509121428
Secure Remote Access,10.38621091152235
Fixed Line,10.101282051338464
Workplace Technology Services,8.953232030856437
IBN - Cabling - Install and Material,8.389962121231067
Midrange - Windows -X86,7.568454565809109
Mainframe,7.567126045827156
GC WAN,7.5256199604441
Contact Centre,6.612602394454063
Mobile - Enterprise Mobile Device Management (EMDM),6.592775041055101
HPC -Big Data Exchange,6.22274828796271
Government of Canada Managed Security Service,5.700000000004167
Cloud Brokering,5.403982843122795
Other - Telecom & Network,5.368788580246064
Storage - File,4.843749999990001
Middleware,4.175666617019446
Fixed - VoIP,3.05
HPC - Interaction & Visualization,2.996703635238817
