ASSIGNED_GROUP,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
ITS00329,8234.61,2360.126923076923
DC000168,6053.32,1733.68
ITS00353,5674.99375,1622.8125
EDC00065,4159.62,1206.15
NW000490,3564.91,1025.91
EDC00031,3480.54012589928,2700.964154676258
NW000446,3386.16,971.9699999999999
DC000180,3042.7673469387764,869.661632653061
NW000481,2889.4788421052644,824.776947368421
ITS00101,2442.6,684.6
DC000134,2281.49,659.8499999999999
DC000211,2222.855,644.385
DC000120,2060.9394736842105,586.5947368421052
ESI00045,1880.6795238095233,529.1585714285713
NW000452,1872.545,530.2525
ESI00010,1762.4033333333334,508.84999999999997
SM000586,1412.6966666666667,408.14000000000004
ITS00341,1345.6194666666663,384.8405333333331
NW000476,1251.1599999999999,370.8833333333334
ESI00014,1076.99,291.03
DC000140,1022.5849999999999,287.545
SM000512,1014.76,296.77
SM000520,911.89,259.88
NW000445,873.8598666666671,258.2440000000001
DC000194,826.5552941176471,238.68882352941176
NW000403,765.3188571428574,218.17257142857147
NW000429,758.6182857142858,212.01292857142852
DC000148,707.0939999999999,199.48
ENT00023,697.56,190.93
DC000132,632.4092670011161,180.8308528428095
NDS00033,622.881777777778,175.98877777777776
SM000542,600.686923076923,186.75230769230768
NW000517,521.18,133.2
NW000453,515.51125,152.86875000000003
DC000204,503.4779964221818,140.30415026833637
TIVMON,483.0527272727273,136.8709090909091
DC000111,471.34083333333336,135.88666666666666
ESI00012,465.65000000000003,138.16
NDS00032,457.80999999999995,129.774
DC000143,445.62,134.17
EDC00066,418.6828571428572,115.8442857142857
DC000179,417.6599999999999,119.23000000000002
EDC00053,415.35833333333335,117.73833333333333
ESI00011,415.2165405405407,122.38264864864867
ITS00304,414.57,119.1
NW000407,360.23283018867926,100.40641509433965
NW000444,347.78736842105246,189.35421052631577
DC000150,333.6373913043478,91.91739130434782
ITS00376,307.55625000000003,89.00333333333333
ENT00039,301.405,87.155
DC000210,295.2881927710844,84.87445783132529
DC000205,289.7747915242655,82.2858236500343
EDC00054,288.82624999999996,79.84
ITS00348,285.90999999999997,74.315
DC000109,280.49,76.92
DC000198,273.361841085271,74.18187984496129
DC000183,272.046129032258,74.64967741935484
NW000461,265.6475,76.0775
ITS00326,259.29146892655376,73.8265536723164
ITS00108,258.6,74.83
ITS00342,242.74022988505757,67.57816091954028
DC000141,237.83499999999998,67.83
NW000460,236.86340425531907,67.93829787234041
NW000401,233.86983050847462,65.17677966101695
ITS00346,225.96725409836063,63.79684426229511
DC000135,219.74888888888884,63.52499999999999
ESI00043,217.4,54.05
SM000557,213.5396470588236,60.204823529411755
EDC00029,212.0011470113084,62.33676898222939
SM000502,211.92667971808942,61.17576350822234
EDC00041,211.88,65.89
DC000122,205.5370930232558,58.14773255813952
DC000108,184.386,48.05
EDC00048,179.815,49.82
ITS00368,175.78016949152538,47.65000000000001
DC000246,171.5936842105263,44.98052631578947
NW000400,164.87631178707224,45.50178707224336
EDC00030,163.60030612244898,48.80826530612243
ESI00052,161.525,44.325
SM000537,155.90636734693877,43.08840816326531
NDS00026,153.32,46.205
DC000159,153.01,41.13
NW000521,151.92622222222218,43.52444444444445
ITS00343,150.91542735042717,41.02025641025638
ITS00377,150.21,43.17
DC000236,148.57491655076515,43.099659248956954
EDC00095,136.0705454545454,33.63981818181818
EDC00001,134.84882352941173,38.62470588235293
DC000101,134.6804456824513,36.51657381615599
EDC00004,134.42999999999998,37.43
ENT00006,133.82,39.06363636363636
DC000139,133.5306481481482,37.44324074074074
EDC00025,133.0682456140351,38.60298245614033
DC000184,132.61,34.0
SM000585,130.57,28.48
ITS00331,130.50833333333333,35.93388888888889
NW000472,128.48,31.475
NW000509,122.6590410958902,35.776438356164356
SM000559,122.12833333333333,34.11666666666667
DC000224,122.015,32.015
NW000456,121.02,31.01
NW000424,120.54579365079371,34.41309523809524
DC000191,116.79908091123329,31.69813825608796
EDC00003,116.61609022556385,32.31278195488722
NW000406,114.306,33.202
NW000450,113.32,23.32
DC000151,110.83999999999999,32.169999999999995
DC000110,110.31529411764704,31.062352941176474
NW000488,109.74615384615385,28.35692307692308
NW000508,108.33112759643913,27.25566765578636
DC000115,105.27646452145228,28.355152640264087
ITS00360,103.19,17.2
DC000207,101.80877994011968,30.139528443113743
NW000430,101.21846827133476,27.580503282275718
ITS00361,99.48,35.4
ITS00100,99.07,26.65
EDC00010,97.84709302325584,27.87918604651163
ITS00313,96.325,25.325
NW000438,96.22655856423187,25.270994962216644
DC000200,94.62748831775703,25.49746495327101
ITS00322,94.58933333333333,29.664666666666665
ITS00308,94.05,8.03
ESI00026,93.16499999999999,30.665000000000003
SM000560,92.74000000000001,26.729999999999997
DC000119,91.74580645161289,26.589516129032255
EDC00024,90.83341463414635,27.664390243902446
NW000417,88.00576129032243,24.197358064516177
ITS00309,87.79,13.57
NW000405,87.55072863466118,23.571099761661554
DC000209,84.61571904497495,22.515741254858384
EDC00089,84.13399999999999,19.512
NW000489,83.77850000000002,23.0475
DC000229,81.50757142857142,21.802285714285702
EDC00009,80.85243902439024,22.718292682926837
DC000133,80.72395576131692,23.0816100823045
DC000216,80.62444444444445,27.858888888888888
NW000448,79.82906976744187,20.01488372093024
DC000129,79.23085164835162,22.45159340659341
DC000223,78.58161290322582,21.386290322580642
NW000431,78.29170844327183,23.887948548812638
ITS00307,77.70135593220341,19.878813559322033
DC000202,77.67183362047729,22.109072114201307
DC000178,77.44189189189187,22.141148648648652
NW000410,77.4,15.4
EDC00018,77.20754901960784,23.284509803921573
SM000501,75.38,23.82
SM000558,74.8064971751412,19.86384180790959
DC000233,73.80999999999997,21.73073170731708
ITS00306,73.20323008849562,20.819557522123898
NW000433,70.88893051359503,17.657655589123877
DC000190,69.91666666666667,23.153333333333336
NW000404,67.32857142857142,21.670935960591134
NW000492,67.0142857142857,18.467142857142854
EDC00040,66.9725,23.4775
DC000163,66.56674556213012,19.13804733727811
NS000101,65.058,18.864
EDC00006,61.18721212121206,16.505909090909096
NW000463,60.00150410209657,13.76773928896992
DC000155,58.39755544094888,15.466825683341936
DC000107,57.79978723404255,20.936518375241775
DC000128,57.388118811881206,17.08370297029704
ITS00321,56.092499999999994,13.92375
SM000515,56.04999999999999,11.183333333333332
NW000434,54.434999999999995,15.0625
COR00553,54.06,10.0
ITS00344,53.997692307692304,13.100128205128204
ENT00002,53.5,17.23
DC000228,51.175,13.27
EDC00002,50.61276958002276,12.340544835414306
NW000471,48.977,3.0789999999999997
NW000449,48.18105660377355,9.606113207547178
DC000206,44.576135986733014,12.163797678275296
ITS00375,44.56542372881356,8.806101694915254
EDC00051,43.970000000000006,12.77
ITS00370,43.082499999999996,13.5825
NW000427,42.80874074074073,12.144814814814815
DC000131,42.76375,12.81
NW000455,39.33,15.73
DC000242,39.241578947368424,10.22056842105264
ITS00325,39.071250000000006,10.37375
ENT00042,38.964999999999996,15.76
ITS00106,38.96,6.72
DC000221,37.54894654088052,8.211949685534583
ITS00381,36.21857142857142,12.196400000000004
DC000188,36.03083889418492,9.789332697807465
NW000459,35.89088804220403,7.579563305978906
DC000245,34.41449799196786,4.573092369477908
NW000414,34.40622302158271,14.412410071942432
ITS00327,33.58,7.65
SM000561,32.993043478260866,9.395999999999999
ITS00340,32.93683333333333,11.046999999999997
DC000170,29.23,4.83
NW000483,28.863333333333333,2.1883333333333335
DC000113,28.7065243902439,6.721707317073172
ITS00359,27.950000000000003,4.3
NW000447,27.430322580645157,7.104516129032256
DC000130,26.98181268882177,7.636132930513602
DC000222,26.946666666666665,6.044444444444444
ITS00358,25.54707182320442,8.45053406998158
CG4TECH,25.34,11.05
EDC00021,25.23054421768709,6.401496598639457
DC000152,23.8692887229561,5.571150679686021
EDC00008,23.464444444444446,7.089722222222223
DC000156,23.113566878980905,5.118184713375788
DC000237,22.418333333333333,10.751666666666667
DC000127,22.190730721392995,9.913140547263673
DC000176,21.17558404558405,4.6061823361823375
NW000420,20.28722891566265,7.064698795180725
NW000484,20.185000000000002,6.195
DC000186,20.15,7.02
ESI00028,19.18666666666667,7.155555555555556
DC000147,17.150333333333332,3.441833333333334
ENT00003,16.61111111111111,4.788888888888889
DC000173,15.918000000000001,6.433999999999999
DC000203,13.397191824911555,1.6836152236884467
ITS00347,12.385,5.282500000000001
EDC00068,12.04,4.07
ITS00103,10.86,1.92
EDC00043,2.52,2.53
SM000562,2.413767766803169,0.5524572392194668
DC000193,1.8450000000000002,1.725
EDC00027,1.34,1.35
SM000514,1.2,1.2
NDS00028,1.08,0.0
NW000428,0.93,0.275
DC000217,0.55,0.55
EU000203,0.42,0.42
NDS00039,0.36,0.37
NW000457,0.31,0.3
DC000166,0.15,0.15
DC000226,,
