ASSIGNED_GROUP,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
EDC00031,High,255749.27200000003,255749.27200000003
ITS00329,Low,8234.61,2360.126923076923
DC000168,Low,6053.32,1733.68
ITS00353,Low,5674.99375,1622.8125
NW000490,Low,5567.63,1589.63
DC000180,Medium,4321.121000000001,1236.368
SM000586,Medium,4232.75,1224.42
EDC00065,Low,4159.62,1206.15
NW000446,Low,3386.16,971.9699999999999
NW000481,Low,2920.1440425531923,833.4772340425532
DC000180,Low,2714.984358974359,775.634358974359
ITS00101,Low,2442.6,684.6
DC000134,Low,2281.49,659.8499999999999
NW000444,High,2275.95,2275.95
DC000211,Low,2222.855,644.385
ESI00045,Low,2116.9377777777777,594.4961111111111
DC000120,Low,2060.9394736842105,586.5947368421052
NW000452,Low,1872.545,530.2525
NW000476,Low,1832.32,541.325
ESI00010,Low,1762.4033333333334,508.84999999999997
ITS00343,Medium,1662.8600000000001,466.655
NW000490,Medium,1562.19,462.19
NW000403,Medium,1495.0822222222223,423.46333333333337
NW000424,Medium,1394.3600000000001,403.14500000000004
EDC00066,Medium,1383.875,391.675
ITS00341,Low,1347.6565540540537,385.46081081081064
EDC00031,Low,1308.3774493927108,445.90945344129636
ESI00012,Medium,1225.65,361.65
ITS00341,Medium,1194.875,338.94
ESI00014,Low,1076.99,291.03
DC000140,Low,1022.5849999999999,287.545
SM000512,Low,1014.76,296.77
DC000148,Low,1012.39,304.38
SM000520,Low,911.89,259.88
NW000445,Medium,881.5564705882357,243.37274509803922
NW000445,Low,857.7340909090908,238.46954545454545
NW000445,High,854.98,854.98
NW000460,Medium,836.9428571428573,240.4128571428571
DC000194,Low,826.5552941176471,238.68882352941176
NW000429,Low,774.7750364963504,216.20021897810216
DC000111,Low,767.12,219.42666666666665
ENT00023,Low,697.56,190.93
NW000438,Medium,683.8875,187.39000000000001
DC000132,Low,658.8901292067322,188.27909555288477
TIVMON,Low,646.87,188.87
DC000148,Medium,630.77,173.255
NDS00033,Low,622.881777777778,175.98877777777776
SM000542,Low,613.2579999999999,189.74200000000002
DC000204,Low,590.340302325581,164.84783720930247
NW000453,Low,581.37,166.9214285714286
SM000542,Medium,558.7833333333333,176.78666666666663
NW000427,Low,538.6744444444444,153.7811111111111
NW000517,Low,521.18,133.2
NW000403,Low,512.7084615384615,147.11038461538462
NW000400,Medium,499.6175,140.1925
ESI00011,Low,496.65358108108137,142.25709459459458
EDC00053,Low,490.078,138.536
TIVMON,Medium,466.671,131.671
DC000179,Low,466.439375,131.878125
ESI00045,Medium,463.13000000000005,137.13333333333335
NDS00032,Low,457.80999999999995,129.774
DC000150,Medium,447.95,127.49
DC000143,Low,445.62,134.17
EDC00001,Medium,432.41,134.75
ITS00304,Low,414.57,119.1
EDC00025,Medium,395.565,118.265
DC000133,High,391.41333333333336,391.41333333333336
DC000141,Low,379.52,115.51
ITS00326,Medium,372.19199999999995,106.955
NW000407,Low,368.11861842105276,102.84315789473686
NW000444,Low,344.623,105.24000000000001
DC000210,Low,342.65307692307704,98.97519230769231
DC000150,Low,322.75047619047615,88.5295238095238
DC000108,Medium,317.95,85.95
EDC00048,Low,316.01,84.02
ITS00376,Low,307.55625000000003,89.00333333333333
DC000205,Low,306.343446327684,87.45533898305075
DC000132,Medium,303.4766265060241,86.32871485943774
ENT00039,Low,301.405,87.155
DC000183,Low,290.4757142857143,80.26285714285714
EDC00030,Medium,288.83758620689656,74.56344827586207
EDC00054,Low,288.82624999999996,79.84
ITS00348,Low,285.90999999999997,74.315
DC000109,Low,280.49,76.92
NW000449,Medium,273.7875,76.34607142857145
DC000198,Low,273.361841085271,74.18187984496129
SM000557,Low,266.2206153846154,73.92123076923076
NW000461,Low,265.6475,76.0775
ITS00108,Low,258.6,74.83
ITS00326,Low,252.53095808383242,71.84281437125748
DC000110,Low,250.80499999999998,72.03666666666666
DC000205,Medium,246.50080402010062,67.86464824120604
ITS00342,Low,242.74022988505757,67.57816091954028
DC000246,Low,240.65166666666667,66.99
ITS00346,Medium,240.32650485436895,67.58014563106799
SM000502,Medium,236.60753424657528,68.43547945205482
NW000401,Low,233.86983050847462,65.17677966101695
EDC00029,Low,226.33857142857119,64.77513914656768
DC000135,Low,219.74888888888884,63.52499999999999
ESI00043,Low,217.4,54.05
DC000210,Medium,215.8374193548387,61.2216129032258
DC000204,Medium,213.93697674418598,58.49186046511628
EDC00041,Low,211.88,65.89
SM000502,Low,210.53689110556942,60.71780548628428
DC000111,Medium,207.52800000000002,59.67
DC000122,Low,206.64345029239766,58.46058479532163
EDC00029,Medium,200.0602564102564,57.507435897435876
NW000407,Medium,188.99857142857147,47.49428571428571
EDC00089,Medium,182.48,53.0
EDC00031,Medium,177.11385964912287,47.55157894736842
ITS00368,Low,175.78016949152538,47.65000000000001
ITS00322,Low,167.6953333333333,46.21866666666666
NW000430,Low,166.8370183486238,47.21417431192663
NW000472,Low,165.82,47.82
DC000205,High,165.48666666666665,165.48666666666665
DC000151,Low,164.89999999999998,46.894999999999996
DC000236,Medium,164.7325,46.9240625
SM000537,Low,162.984203821656,45.18114649681527
ESI00026,Medium,162.235,44.230000000000004
ESI00052,Low,161.525,44.325
NW000400,Low,160.14054263565893,44.02503875968995
NW000521,Low,160.0528205128205,46.205897435897434
SM000558,Medium,153.46636363636364,43.00113636363637
NDS00026,Low,153.32,46.205
DC000159,Low,153.01,41.13
DC000108,Low,150.99499999999998,38.574999999999996
ITS00377,Low,150.21,43.17
DC000101,Medium,148.5908385093169,40.36990683229814
DC000236,Low,148.3117508896799,43.04232028469758
ITS00375,Low,148.16,36.120000000000005
ITS00346,Low,148.125,43.28736842105263
SM000537,Medium,146.3841860465116,40.0432558139535
ITS00343,Low,144.42639484978523,39.19349785407727
DC000139,Low,136.54600000000005,38.37466666666666
EDC00095,Low,136.0705454545454,33.63981818181818
EDC00004,Low,134.42999999999998,37.43
ENT00006,Low,133.82,39.06363636363636
DC000184,Low,132.61,34.0
NW000460,Low,131.84950000000006,37.75524999999999
EDC00001,Low,131.30642857142854,37.48035714285713
SM000585,Low,130.57,28.48
ITS00331,Low,130.50833333333333,35.93388888888889
NW000509,Low,126.49943452380933,36.742321428571394
EDC00025,Low,123.52290909090911,35.70618181818181
SM000559,Low,122.12833333333333,34.11666666666667
DC000224,Low,122.015,32.015
DC000207,Low,121.25756929637531,33.54604477611938
NW000456,Low,121.02,31.01
DC000191,Low,116.79908091123329,31.69813825608796
EDC00003,Low,116.61609022556385,32.31278195488722
ITS00306,High,115.08399999999999,115.08399999999999
NW000406,Low,114.306,33.202
NW000450,Low,113.32,23.32
EDC00030,Low,112.54015873015874,32.60888888888889
NW000508,Low,110.86444785276073,27.8759509202454
NW000444,Medium,110.7225,33.6725
NW000488,Low,109.74615384615385,28.35692307692308
DC000115,High,107.66666666666667,107.66666666666667
DC000115,Low,107.12591397849478,28.14487292277619
DC000207,High,104.83888888888886,104.83888888888886
DC000202,Medium,103.53658367911486,28.529557399723362
ITS00360,Low,103.19,17.2
ITS00344,Medium,102.77142857142859,26.91142857142857
DC000200,Low,102.01894598155468,27.888313570487455
DC000183,Medium,100.03666666666668,22.26
NW000424,Low,100.00040322580651,28.46580645161291
