PARENT_SERVICE,STATUS,TIME_IN_STATUS_BY_OWNER_HRS
Bulk Print,QUEUED,2111.00833333335
Bulk Print,INPROG,952.63333333
Secure Remote Access,AWAITCUS,727.80833335
Data Centre Facilities Management,PENDINGVEN,584.4444444444333
Email,AWAITCUS,570.07666666534
Distributed Print,QUEUED,319.45
Classified Infrastructure,QUEUED,290.0
Firewall,AWAITCUS,253.46282051403853
Other Activities,AWAITCUS,237.0935064929351
Middleware,PENDINGREV,225.6
Storage,AWAITCUS,215.48750000375
Midrange,SLAHOLD,198.24357053672887
Firewall,AWAITVEN,193.32608695673915
High-performance Computing,AWAITVEN,193.19080634736113
Mainframe,SLAHOLD,173.15507246668258
Workplace Technology Services,AWAITCHG,150.68333333
High-performance Computing,PENDINGVEN,133.0849275364278
Midrange,AWAITCHG,122.0962025311734
Mobile Devices,PENDINGREV,111.058333335
Intra-building Network Services,AWAITCUS,109.25134228196843
Mainframe,AWAITVEN,98.8419540232862
Midrange,AWAITVEN,91.63205128084873
Intra-building Network Services,AWAITVEN,91.04267241365434
Intra-building Network Services,SLAHOLD,88.4575253922493
Cloud Brokering,AWAITVEN,87.39166666582499
High-performance Computing,AWAITCHG,79.78700564969829
Other Activities,AWAITCHG,78.665999998416
Internal Credential Management (ICM),AWAITCUS,76.81666666665
Data Centre Facilities Management,SLAHOLD,76.57166666687002
Data Centre Facilities Management,AWAITVEN,75.05624999998126
Workplace Technology Services,AWAITVEN,73.33333333291154
High-performance Computing,PENDINGREV,72.85833333355293
Other Activities,PENDINGREV,68.60611111135334
Firewall,SLAHOLD,68.03840579714782
Firewall,QUEUED,67.27997728997975
Other Activities,AWAITVEN,63.38674242429547
Intra-building Network Services,AWAITCHG,62.88012820498078
Secure Remote Access,AWAITVEN,61.488888889
Midrange,PENDING,60.856218905494
High-performance Computing,AWAITCUS,60.14629629639047
High-performance Computing,SLAHOLD,57.20387533856044
High-performance Computing,PENDINGCUS,56.49761904770715
Email,QUEUED,56.3937883436627
Data Centre Facilities Management,AWAITCUS,54.340624999981245
Other Activities,SLAHOLD,54.11226415064056
Managed Secure File Transfer,QUEUED,53.93777777777999
High-performance Computing,PENDINGCHG,51.49230769208463
Mobile Devices,AWAITVEN,51.378571428242864
Intra-building Network Services,PENDINGCHG,51.13888888776666
Other Activities,PENDINGVEN,47.07045454586971
Intra-building Network Services,INPROG,46.71290620108952
Workplace Technology Services,AWAITCUS,46.516666667
GC WAN,AWAITCUS,45.9410947712865
Directory Services,AWAITVEN,45.86666666666667
Firewall,INPROG,44.02549668881648
Midrange,PENDINGCHG,43.03333333333333
Other Activities,PENDING,42.17881355932374
Mainframe,AWAITCHG,41.745833333175
GC WAN,SLAHOLD,41.28640458640171
Other Activities,PENDINGCUS,38.97619047571429
Secure Remote Access,INPROG,38.81818181763818
Database,PENDING,38.683333333
Data Centre Facilities Management,INPROG,37.27751615885651
Midrange,AWAITCUS,35.919576003585554
Middleware,AWAITCHG,35.43784722241251
Database,QUEUED,35.20342396764321
Internal Credential Management (ICM),QUEUED,34.92927927934461
High-performance Computing,PENDING,32.84250646005426
Mainframe,QUEUED,32.34707198803487
Intra-building Network Services,PENDING,31.618489583287513
Workplace Technology Services,INPROG,30.91818181782727
Mobile Devices,AWAITCHG,30.3125
Email,PENDING,30.11999999994
GC WAN,AWAITVEN,29.525102040873644
Directory Services,INPROG,29.151574074080564
GC WAN,AWAITCHG,27.999537037038884
Middleware,SLAHOLD,27.911560693823123
Mobile Devices,SLAHOLD,27.84298245596842
Middleware,PENDINGCUS,26.899999999174998
Midrange,PENDINGCUS,25.012318840882614
Workplace Technology Services,SLAHOLD,24.700000000000003
Conferencing Services,QUEUED,24.502777777775005
Contact Centre,INPROG,23.785062893082063
Database,PENDINGCUS,22.833333333
Database,INPROG,22.80857142848571
Storage,QUEUED,22.636175898952374
Midrange,PENDINGREV,22.442424242590906
Other Activities,INPROG,22.127529551705766
GC WAN,PENDINGVEN,22.064539007168086
Directory Services,QUEUED,21.125923852239616
Firewall,AWAITCHG,20.330208333150004
Intra-building Network Services,QUEUED,20.002230631957993
High-performance Computing,INPROG,19.82470698121704
Middleware,AWAITCUS,17.88851132684321
Data Centre Facilities Management,QUEUED,17.86431535272242
Other Activities,QUEUED,17.345062589410272
Fixed Line,INPROG,17.061111111233334
Toll-free Voice,QUEUED,16.783333333
Midrange,INPROG,16.429690623100925
Secure Remote Access,QUEUED,15.844855004696896
Directory Services,SLAHOLD,15.218421052615794
GC WAN,PENDINGCHG,15.127777777666665
Toll-free Voice,INPROG,14.833333333
Middleware,PENDING,14.158490565979243
GC WAN,PENDING,13.835833333415005
GC WAN,PENDINGCUS,13.590151515247726
