ASSIGNED_GROUP,PRIORITY,STATUS,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
EDC00031,High,CLOSED,255749.27200000003,255749.27200000003
ITS00329,Low,CLOSED,8234.61,2360.126923076923
SM000537,Medium,RESOLVED,7805.56,2248.7
NW000452,Low,RESOLVED,6070.22,1748.21
DC000168,Low,CLOSED,6053.32,1733.68
ITS00353,Low,CLOSED,5674.99375,1622.8125
NW000490,Low,CLOSED,5567.63,1589.63
DC000180,Medium,CLOSED,4321.121000000001,1236.368
SM000586,Medium,CLOSED,4232.75,1224.42
EDC00065,Low,CLOSED,4159.62,1206.15
DC000132,Low,RESOLVED,3896.367619047619,1113.8485714285714
NW000446,Low,CLOSED,3386.16,971.9699999999999
NW000481,Low,CLOSED,2958.4539560439566,844.424835164835
DC000180,Low,CLOSED,2714.984358974359,775.634358974359
ITS00101,Low,CLOSED,2442.6,684.6
DC000134,Low,CLOSED,2281.49,659.8499999999999
NW000444,High,CLOSED,2275.95,2275.95
NW000403,Medium,RESOLVED,2274.06,654.05
DC000211,Low,CLOSED,2222.855,644.385
ESI00045,Low,CLOSED,2116.9377777777777,594.4961111111111
DC000120,Low,CLOSED,2060.9394736842105,586.5947368421052
DC000132,Medium,RESOLVED,2016.8833333333332,580.6466666666666
DC000132,Low,INPROG,1911.87,529.6
NW000476,Low,CLOSED,1832.32,541.325
ESI00010,Low,CLOSED,1762.4033333333334,508.84999999999997
NW000481,Low,RESOLVED,1758.0766666666668,501.40000000000003
ITS00343,Medium,CLOSED,1662.8600000000001,466.655
NW000490,Medium,CLOSED,1562.19,462.19
NW000403,Medium,CLOSED,1397.71,394.64000000000004
NW000424,Medium,CLOSED,1394.3600000000001,403.14500000000004
EDC00066,Medium,CLOSED,1383.875,391.675
ITS00341,Low,CLOSED,1347.6565540540537,385.46081081081064
EDC00031,Low,CLOSED,1308.3774493927108,445.90945344129636
ESI00012,Medium,CLOSED,1225.65,361.65
ITS00341,Medium,CLOSED,1194.875,338.94
ESI00014,Low,CLOSED,1076.99,291.03
DC000140,Low,CLOSED,1022.5849999999999,287.545
SM000512,Low,CLOSED,1014.76,296.77
DC000148,Low,CLOSED,1012.39,304.38
SM000520,Low,CLOSED,911.89,259.88
NW000445,Medium,CLOSED,881.5564705882357,243.37274509803922
NW000445,Low,CLOSED,857.7340909090908,238.46954545454545
NW000445,High,CLOSED,854.98,854.98
NW000460,Medium,CLOSED,836.9428571428573,240.4128571428571
DC000194,Low,CLOSED,826.5552941176471,238.68882352941176
NW000401,Low,RESOLVED,785.42,225.25
NW000429,Low,CLOSED,774.7750364963504,216.20021897810216
DC000111,Low,CLOSED,767.12,219.42666666666665
ENT00023,Low,CLOSED,697.56,190.93
NW000438,Medium,CLOSED,683.8875,187.39000000000001
TIVMON,Low,CLOSED,646.87,188.87
DC000132,Low,CLOSED,639.1024242424251,182.62720606060634
DC000148,Medium,CLOSED,630.77,173.255
NDS00033,Low,CLOSED,622.881777777778,175.98877777777776
SM000542,Low,CLOSED,613.2579999999999,189.74200000000002
DC000204,Low,CLOSED,590.340302325581,164.84783720930247
NW000453,Low,CLOSED,581.37,166.9214285714286
SM000542,Medium,CLOSED,558.7833333333333,176.78666666666663
NW000427,Low,CLOSED,538.6744444444444,153.7811111111111
NW000517,Low,CLOSED,521.18,133.2
NW000403,Low,CLOSED,512.7084615384615,147.11038461538462
