PARENT_SERVICE,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
Firewall,334.1683056478406,94.2971317829457
Other Activities,311.4334460230174,187.417806699162
High-performance Computing,228.265095961282,66.23582526702278
Email,197.5132407407409,55.943657407407365
Internal Credential Management (ICM),173.17508196721306,46.918032786885256
Intra-building Network Services,134.19168016868275,36.43228720452765
Database,113.76327102803738,32.69827102803736
Workplace Technology Services,108.33112759643913,27.25566765578636
Mainframe,101.08040560472001,27.666742871189804
Data Centre Facilities Management,91.33924444444445,29.60242962962964
Directory Services,90.41090647482021,25.34915107913669
Secure Remote Access,86.93254079254088,25.14772727272727
Midrange,81.61136189542962,21.92617232267461
Cloud Brokering,79.86797297297298,21.341081081081068
Storage,68.34054867256631,18.72856637168141
GC WAN,67.07458768030507,17.71340288487706
Conferencing Services,63.39461538461538,8.395384615384616
Mobile Devices,61.308249258160174,16.546646884273
Fixed Line,54.434999999999995,15.0625
Government of Canada Managed Security Service,39.071250000000006,10.37375
Contact Centre,34.40622302158271,14.412410071942432
Managed Secure File Transfer,28.863333333333333,2.1883333333333335
Middleware,24.697767007558856,5.74320053357049
