PARENT_SERVICE,PRIORITY,ACTUAL_COMPLETION_HRS,BUSINESS_COMPLETION_HRS
Other Activities,High,10687.821000000014,10687.821000000014
Firewall,Low,369.84507575757596,104.11624999999995
Email,Low,289.6345454545457,81.8798601398601
Other Activities,Low,250.15515088283425,77.15571268057774
High-performance Computing,Low,238.201001365499,68.88426035502965
Mainframe,Low,201.89558487247152,55.723755496921775
Internal Credential Management (ICM),Low,175.78016949152538,47.65000000000001
High-performance Computing,High,147.87862068965518,147.87862068965518
Data Centre Facilities Management,Low,139.45862068965513,38.98080459770115
Intra-building Network Services,Low,135.29406651649663,36.23779780045041
Intra-building Network Services,Medium,133.75304127443883,37.20544532947142
Secure Remote Access,Low,125.8843636363636,36.27490909090909
High-performance Computing,Medium,118.14683505154645,33.802113402061835
Database,Low,114.98274881516588,33.09431279620851
Workplace Technology Services,Low,110.86444785276073,27.8759509202454
Midrange,Medium,106.62949401313233,29.129304750869007
Directory Services,Low,97.45112627986349,27.324641638225252
Firewall,Medium,96.69269662921347,27.631573033707866
Internal Credential Management (ICM),Medium,96.325,25.325
Fixed Line,Low,93.75999999999999,20.465
Secure Remote Access,Medium,84.2646077210461,24.38559153175592
Data Centre Facilities Management,Medium,80.95185606060612,22.438068181818174
Cloud Brokering,Low,79.86797297297298,21.341081081081068
Midrange,Low,79.71122942603044,21.195178334680836
Conferencing Services,Medium,75.385,8.655000000000001
Storage,Low,72.87832993890015,19.816965376782072
GC WAN,Low,71.48826831356243,18.36852146263907
Storage,High,68.55666666666667,68.55666666666667
Mainframe,Medium,62.01308637760323,16.7930761351997
Mobile Devices,Low,61.3644047619047,16.59589285714286
Conferencing Services,Low,61.21454545454546,8.348181818181818
Directory Services,Medium,56.15060606060605,14.496060606060611
GC WAN,Medium,54.456996723698566,14.504987258827825
GC WAN,High,52.62868686868686,52.62868686868686
Other Activities,Medium,49.240088065594136,13.377254782872788
Midrange,High,45.62125748502994,45.62125748502994
Mobile Devices,Medium,42.44,0.0
Intra-building Network Services,High,41.25253012048191,41.25253012048191
Database,Medium,40.04,5.315
Government of Canada Managed Security Service,Low,39.071250000000006,10.37375
Contact Centre,High,37.832407407407416,37.832407407407416
Contact Centre,Medium,36.542926829268296,9.453170731707313
Storage,Medium,35.556029411764705,6.473088235294119
Workplace Technology Services,Medium,33.25272727272727,8.872727272727273
Contact Centre,Low,31.869436619718318,8.37
Middleware,Medium,29.13232066448528,6.842109237352134
Managed Secure File Transfer,Low,28.863333333333333,2.1883333333333335
Data Centre Facilities Management,High,25.893333333333338,25.893333333333338
Middleware,Low,24.225310077519318,4.909792248062015
Email,High,20.793333333333333,20.793333333333333
Fixed Line,High,17.5,17.5
Directory Services,High,17.031000000000002,17.031000000000002
Email,Medium,17.01764705882352,4.974602076124568
Fixed Line,Medium,12.72,1.82
Firewall,High,10.501363636363637,10.501363636363637
Middleware,High,6.971326034063262,6.971326034063262
Database,High,3.9,3.9
Mainframe,High,1.7400000000000002,1.7400000000000002
