,index,Estimate,Std. Error,t value,Pr(>|t|)
0,PARENT_SERVICEIT Continuity Support Service,14054.9064198141,2870.03634649376,4.8971179187276,9.73200033960499e-07
1,(Intercept),680.22358025872,316.942493632369,2.14620504957512,0.0318576930330792
2,PARENT_SERVICESatellite,1069.95715144917,546.724401097332,1.9570320060741,0.0503449448522134
3,PARENT_SERVICEMiddleware,-621.123757668854,317.784805008024,-1.95454202932444,0.0506383907449196
4,PARENT_SERVICEMainframe,-561.532833044036,319.398626225583,-1.75809407723451,0.078732867964776
5,PARENT_SERVICEMidrange,-539.251222470228,317.235368062413,-1.69984584557462,0.0891613128066901
6,PARENT_SERVICEWorkplace Technology Services,-566.589630679025,342.850345743759,-1.65258585185294,0.0984165799222138
7,PARENT_SERVICEMobile Devices,-494.254025270202,318.15297223428,-1.55351063294875,0.120302602760233
8,PARENT_SERVICEGC WAN,-486.896701928883,317.430779411073,-1.53386732953943,0.125063706099441
9,PARENT_SERVICEDatabase,-498.955514471136,333.404665083714,-1.49654628961432,0.134512762548041
10,PARENT_SERVICEDistributed Print,-543.110597057049,366.933474732607,-1.48013368759235,0.138838978288749
11,PARENT_SERVICEInternal Credential Management (ICM),-500.225323068414,337.964719846051,-1.48011106986633,0.138845013197934
12,PARENT_SERVICEDirectory Services,-466.989670274186,319.937292387796,-1.45962875033695,0.144393534609996
13,PARENT_SERVICEEmail,-458.252448594636,319.261930273253,-1.43534948937514,0.151188927086647
14,PARENT_SERVICEHigh-performance Computing,-419.651425443669,317.514994337843,-1.32167435531297,0.186277960539166
15,PARENT_SERVICESolutions Integration Service (SIS),3391.72641974218,2870.0363464862,1.18177124268642,0.237297734932349
16,PARENT_SERVICESecure Remote Access,-377.685765067415,320.275573551229,-1.17925248210352,0.238298905129871
17,PARENT_SERVICECloud Brokering,-473.444432973246,404.385209484171,-1.17077583914893,0.241690136436297
18,PARENT_SERVICEStorage,-363.355128858855,319.283504059363,-1.1380328900152,0.255107965170036
19,PARENT_SERVICEGovernment of Canada Managed Security Service,-372.019445982047,359.449550287484,-1.03496984676851,0.300684109795074
20,PARENT_SERVICEData Centre Facilities Management,-327.667534501019,319.895267969799,-1.02429628478266,0.305696457568412
21,PARENT_SERVICEManaged Secure File Transfer,-463.757469148954,462.019108451849,-1.00376252987226,0.315494172689844
22,PARENT_SERVICEFixed Line,-304.135462421008,318.23046291508,-0.955708198501935,0.339220709933421
23,PARENT_SERVICEOther Activities,-279.495163691396,317.366182264743,-0.880670907331409,0.378496911788448
24,PARENT_SERVICEConferencing Services,-233.966282787357,321.07503706321,-0.728696584223381,0.466188043974605
25,PARENT_SERVICEIntra-building Network Services,-230.631411881086,317.575308933177,-0.726225891602975,0.467701060175269
26,PARENT_SERVICEContact Centre,-226.465338687263,319.10960130387,-0.70967886193939,0.477904041377537
27,PARENT_SERVICEClassified Infrastructure,-352.046138398155,538.216596182653,-0.654097515563572,0.513049653041002
28,PARENT_SERVICEFirewall,-190.448976236996,319.565242742657,-0.595962735504258,0.551200723104331
29,PARENT_SERVICEToll-free Voice,-197.641789865935,368.759804687901,-0.535963484505065,0.591984319140008
30,PARENT_SERVICEWTD Provisioning,-595.63358025906,1206.88105955684,-0.493531301649371,0.621637711795713
31,PARENT_SERVICEFacilities-as-a-service (FaaS),-676.763580257482,2870.03634648591,-0.235803139248085,0.813585647500408
32,PARENT_SERVICEBulk Print,267.493086409091,1206.88105955701,0.221639973791018,0.824594363634459
33,PARENT_SERVICEInternet,-282.693580261761,2870.03634648825,-0.0984982579080096,0.921536743293654
