,index,Estimate,Std. Error,t value,Pr(>|t|)
0,serviceIT Continuity Support Service,13681.3504167694,2907.16418329017,4.70608109972158,2.52674558399052e-06
1,serviceIntra-building Network Services,1126.46621938604,587.657094345085,1.91687674704487,0.0552548618598164
2,(Intercept),1053.77958330321,581.432836656414,1.81238402248326,0.069928217340582
3,serviceMiddleware,-994.679760714129,581.891108914878,-1.70939157769402,0.0873798242694154
4,serviceHPC - Interaction & Visualization,-975.476746710256,584.213719020201,-1.66972584681211,0.0949750139619012
5,serviceMainframe,-972.353378781399,582.80333434332,-1.66840737086209,0.095236282875128
6,serviceMobile - Voice & Data,-968.464341331922,582.483778023544,-1.66264603044924,0.096384709603102
7,serviceOther - Telecom & Network,-974.891325877586,595.088697829991,-1.63822860261429,0.101375418786624
8,serviceMidrange - Windows -X86,-927.911541435844,581.660306885681,-1.59528083737406,0.110650858739243
9,serviceWorkplace Technology Services,-940.145633723551,595.910559125518,-1.57766231748467,0.114644618902705
10,serviceGC WAN National,-919.649937149387,592.069685019612,-1.5532798932594,0.120357693634049
11,serviceStorage - File,-896.380638979398,583.949873690432,-1.53503011022928,0.124777843589878
12,serviceMidrange,-879.712876298343,581.973830341031,-1.51160212097998,0.130636521670133
13,serviceDistributed Print,-916.666600118745,610.044789682858,-1.50262180027026,0.132938007336197
14,serviceFacilities - Data Centre Facilities Racking & Stacking,-875.870020539637,591.19183154728,-1.48153268330398,0.138466088087149
15,serviceGC WAN,-859.858952822702,581.705831194207,-1.4781680133023,0.139364218424852
16,serviceDatabase,-872.51151751539,590.541999640825,-1.47747580704855,0.139549543819558
17,serviceFacilities - Data Centre Facilities Power & Space,-870.685884674221,590.057774901217,-1.47559429213518,0.140054243118395
18,serviceInternal Credential Management (ICM),-873.781326111844,593.121097821465,-1.47319211763204,0.140700644227779
19,serviceIBN - GC Wi-Fi,-853.691528607359,583.089737199624,-1.46408258308119,0.143172787989473
20,serviceHPC -Big Data Exchange,-851.393074019185,582.451852193877,-1.46173983448127,0.143813918896435
21,serviceDirectory Services,-840.545673316814,583.066078178524,-1.44159590957966,0.14941780021223
22,serviceEmail,-831.808451636356,582.696822574329,-1.42751499478144,0.153432899403637
23,serviceFixed Line,-779.942328519033,582.282367613673,-1.33945723226244,0.180423226591057
24,serviceCloud Brokering,-847.000436018177,633.213864469472,-1.33762143178565,0.181021231730083
25,serviceOther - Data Centre,-769.165296277156,583.032746592241,-1.31924887713913,0.187087270498539
