,index,Estimate,Std. Error,t value,Pr(>|t|)
0,serviceIT Continuity Support Service,3894.579166697,1815.3333261279,2.14537964496258,0.0319235763094156
1,(Intercept),324.530833325515,363.066665224568,0.89386017613262,0.371397667327121
2,serviceMiddleware,-308.592982612928,363.352826187891,-0.849292919641014,0.395719226802534
3,serviceMainframe,-302.246160759541,363.922451127105,-0.830523535504483,0.406243731441394
4,serviceHPC - Interaction & Visualization,-302.072667125974,364.803143838345,-0.828042938302721,0.407647064888443
5,serviceMobile - Voice & Data,-300.857992981984,363.7229091679,-0.827162615822759,0.408145778314151
6,serviceIntra-building Network Services,299.994798961108,366.953305847618,0.817528536139377,0.413627317514307
7,serviceOther - Telecom & Network,-302.987585800819,371.593854720042,-0.815372972271271,0.414859716794888
8,serviceMidrange - Windows -X86,-289.532594176478,363.208705460982,-0.797152132708397,0.425363526605889
9,serviceWorkplace Technology Services,-295.086022401214,372.107053186025,-0.793013784271629,0.427770631241969
10,serviceGC WAN National,-287.331341017791,369.708679263427,-0.777183109658781,0.437051566077046
11,serviceStorage - File,-280.116863694341,364.638389737829,-0.768204532429352,0.442366490572031
12,serviceMidrange,-275.257208315821,363.404480292101,-0.757440326807672,0.448786900059857
13,serviceDistributed Print,-285.569530807298,380.932952981225,-0.749658249758648,0.453461345554033
14,serviceGC WAN,-270.165009123429,363.237132405319,-0.743770350058717,0.457016200357627
15,serviceDatabase,-273.139793852289,368.754739958626,-0.740708563862624,0.458870941666463
16,serviceFacilities - Data Centre Facilities Racking & Stacking,-273.372934877274,369.160517356046,-0.740525928490918,0.458981710046117
17,serviceFacilities - Data Centre Facilities Power & Space,-272.428927970945,368.452373373278,-0.73938708950844,0.459672753970953
18,serviceIBN - GC Wi-Fi,-268.686797653987,364.101290923198,-0.73794519369244,0.460548526895369
19,serviceInternal Credential Management (ICM),-272.01518188724,370.365217586819,-0.734451209159445,0.462674554590258
20,serviceDirectory Services,-263.564907399441,364.086517416523,-0.723907353860943,0.469123370497441
21,serviceEmail,-260.443410401418,363.855941514409,-0.715787158284192,0.474123528714568
22,serviceHPC -Big Data Exchange,-249.042276096543,363.702973581568,-0.684740830255243,0.493508187121188
23,serviceFixed Line,-246.840102241764,363.597141579207,-0.678883505985957,0.497212378355642
24,serviceOther - Data Centre,-243.180938951329,364.0657040274,-0.667958932305876,0.504160495307094
25,serviceCloud Brokering,-262.548507744675,395.400520323118,-0.664006480138475,0.506686846651232
26,serviceIBN - Data Centre Network,-236.995675589299,365.241821970183,-0.64887332537906,0.516420922375615
27,serviceSecure Remote Access,-235.792535231053,364.202138411792,-0.647422160285204,0.517359420650842
28,serviceMidrange - Storage and Virtualization,-241.953633325709,380.094559450151,-0.636561685270428,0.524411039058801
29,serviceManaged Secure File Transfer,-264.354027770243,419.233273802724,-0.630565473423368,0.528325323056895
30,serviceMobile - Enterprise Mobile Device Management (EMDM),-227.948658810305,366.071406105359,-0.622689057404007,0.533489508451391
31,serviceGovernment of Canada Managed Security Service,-232.693448167062,378.148468810071,-0.615349439068956,0.538324599137331
32,serviceMobile - Mobile Device - Government Cellular Services,-224.398650834735,364.852981864256,-0.615038555223383,0.538529883134679
33,serviceHigh-performance Computing,-222.034301963026,363.400187455266,-0.610991159684964,0.541206052456929
34,serviceIBN - GC LAN,-211.743544774063,363.42252579974,-0.582637370394432,0.560138028786878
35,serviceFixed - Key Systems and Interchange,-272.170462955473,498.987403287723,-0.545445558669816,0.585447656675293
36,serviceConferencing - Videoconferencing,-197.841837863404,364.475726144193,-0.542812109756616,0.587259714343102
37,serviceData Centre Facilities Management,-194.524822667954,364.611089062813,-0.53351318295874,0.593678916904751
38,serviceContact Centre,-191.156511794653,363.803981940894,-0.525438206516686,0.599279119277159
39,serviceStorage,-186.984207444943,364.67851184045,-0.512737113303648,0.608135730151177
40,serviceClassified Infrastructure - GCSI - Hosting Environment,-229.148042627542,453.199633294949,-0.505622745017557,0.61312200849004
41,serviceFirewall,-183.24238441282,363.959453454059,-0.503469226238824,0.614634906028951
42,serviceToll-free Voice,-188.347601884519,381.61803910563,-0.49355004895978,0.621624468903922
43,serviceSolutions Integration Service (SIS),847.989166674376,1815.33332612294,0.467125874059422,0.640410277530718
44,serviceOther - Internal Services & Strategy,-170.160542386311,366.670392902462,-0.464069490419902,0.642598410369084
45,serviceOther - Service Management,-165.342676722066,363.278232279401,-0.455140611328727,0.649008523719844
46,serviceOther - Project Management & Delivery,-161.888019472921,381.461292972497,-0.424389112225322,0.671282467121902
47,serviceOther - Security,-153.480865793134,364.350346301423,-0.421245285893488,0.673576382830459
48,serviceData Centre Services,-177.20869046817,433.947665371386,-0.408364198287619,0.683006703758663
49,serviceIBN - Cabling - Install and Material,-150.204514567588,369.160517357192,-0.40688130909258,0.684095552899747
50,serviceGC WAN International,-170.437499993005,423.970523307769,-0.402003183295084,0.687682066865277
51,serviceMainframe - zOS & zLinux,156.597348492493,397.44559888312,0.394009517107636,0.693574387642536
52,serviceSatellite,177.122093503696,457.142002296785,0.387455304071371,0.698419535909226
53,serviceFixed - Centrex,-262.025277770635,695.219734418286,-0.376895627092463,0.706251528097519
54,serviceWTD - Hardware,-297.167499992224,811.84174380635,-0.366041167825325,0.714334702090881
55,serviceFixed - VoIP,-109.173799147456,367.838830539034,-0.296797918228133,0.766621069942159
56,serviceFaciltiies-as-a-service (FaaS),-321.060833327385,1815.33332612351,-0.176860540544905,0.859618093835355
57,serviceService Management - Enterprise Control Center (ECC),-307.980833325672,1815.33332612317,-0.169655252230397,0.865281420462834
58,serviceTo be determined,-247.630833325568,1815.33332612291,-0.136410668918003,0.891496762457357
