,index,Estimate,Std. Error,t value,Pr(>|t|)
0,STATUSRESOLVED,-123.071036047818,2.962428776361,-41.5439645435109,0.0
1,STATUSINPROG,-79.94736256705,2.99171831881553,-26.7228910102414,3.03378956796609e-157
2,STATUSQUEUED,-77.6949931166936,2.95328093900541,-26.3080264699975,1.8263661077567702e-152
3,assigned_groupSM000541,1980.00353119293,133.785568773532,14.7998289303133,1.49283346720671e-49
4,assigned_groupESI00052,1491.09688524503,110.206165206175,13.5300677821015,1.0512705177536999e-41
5,STATUSAWAITCUS,-40.221910532703,3.11494378477525,-12.9125638572656,3.86015243788832e-38
6,assigned_groupNW000435,1389.65809603565,115.310025096108,12.0514941773484,1.91850079072828e-33
7,STATUSPENDING,-61.4942880856815,5.44301219186941,-11.2978413271864,1.35238944347572e-29
8,assigned_groupEDC00080,1765.70000239625,159.903733102069,11.042268795996,2.40148877190943e-28
9,assigned_groupNW000468,1761.30952045481,159.90404042432,11.0147905942902,3.2593730565223097e-28
10,assigned_groupITS00386,2122.26666909764,202.264001183801,10.4925575321191,9.38551017040101e-26
11,assigned_groupSM000575,1503.76420858974,159.904365010063,9.40414733828628,5.25960385726088e-21
12,assigned_groupITS00302,1072.55077278471,114.093853750605,9.40060079948887,5.4399325716753006e-21
13,STATUSHISTEDIT,-114.614517156701,13.4082281089371,-8.54807333418693,1.25392906650093e-17
14,assigned_groupNSD00012,1633.26666911718,202.264001186657,8.0749251450333,6.76183208681228e-16
15,assigned_groupNW000421,1226.54166906026,159.903733101605,7.6705005272197,1.71534256290956e-14
16,STATUSPENDINGCUS,-43.2157357035701,5.6788915684781,-7.60988921560824,2.7465345681226802e-14
17,assigned_groupNW000514,1140.65000240655,159.903733100764,7.13335442698993,9.80411939495278e-13
18,assigned_groupITS00311,799.095619325606,113.073977077109,7.06701612503358,1.5843967646345999e-12
19,assigned_groupDC000213,780.144006242491,111.442424710356,7.00042204097875,2.55408680374326e-12
20,assigned_groupNS000104,1106.62906142732,159.905917526091,6.92050099551044,4.5041343928003995e-12
21,assigned_groupSM000507,980.47301444732,143.02239953847,6.85538081874784,7.117826958872219e-12
22,assigned_groupDC000218,950.132574583675,143.025793631144,6.64308549151642,3.0739534585864296e-11
23,assigned_groupDC000182,781.041768150992,123.900865350234,6.30376362540487,2.90666594691186e-10
24,assigned_groupPM000608,896.906347766889,143.022399538076,6.27109005766687,3.58726487281212e-10
25,assigned_groupITS00310,1241.46666907052,202.264001181864,6.13785281521382,8.36866363871287e-10
26,assigned_groupNW000470,1239.61666910495,202.264001184594,6.1287063533052,8.86410479209966e-10
27,assigned_groupESI00048,1170.633335667,202.264001179905,5.78765044119626,7.140648687575761e-09
28,assigned_groupNW000495,609.247523579292,105.766580668177,5.7603027320198,8.39963910802969e-09
