,index,Estimate,Std. Error,t value,Pr(>|t|)
0,serviceIT Continuity Support Service,1909.93730159764,94.3022066684188,20.2533680713673,3.5129669677869503e-91
1,serviceBulk Print,313.361706350175,43.968630572921,7.12693805258436,1.02719411409021e-12
2,serviceMainframe - zOS & zLinux,159.546609581382,29.4662924125303,5.41454647051342,6.14633267709984e-08
3,serviceSolutions Integration Service (SIS),364.418253978078,73.5735912434726,4.9531122216412,7.30519008317062e-07
4,serviceWTD Provisioning,562.170634901378,130.4320366136,4.31006560578968,1.6322720040711e-05
5,serviceOther - Account & Service Delivery Management,186.898412696514,44.4544865439438,4.20426434375218,2.61963452316291e-05
6,serviceIntra-building Network Services,112.520335557528,27.9183979175038,4.03032924346213,5.57043544061043e-05
7,serviceIBN - Cabling,283.311111115774,73.5735912437891,3.85071744258088,0.0001177822354929
8,serviceTo be determined,246.095634921192,69.5205091043543,3.53989978053509,0.0004003035957062
9,serviceMobile Devices,87.4859169733845,29.5504627921514,2.960559961065,0.0030709009541765
10,(Intercept),63.646031745243,27.8082036417674,2.28875020354238,0.0220941512297856
11,serviceSatellite,71.8195311680278,31.4385940558915,2.28443838933596,0.0223460619107747
12,serviceHPC - Interaction & Visualization,-53.8331709799617,27.8786339876923,-1.93098309636432,0.0534855250927244
13,serviceMainframe,-51.5705397324121,27.859693548585,-1.85108065321958,0.0641583498864553
14,serviceMobile - Voice & Data,-50.7099508803922,27.8309852507717,-1.82206811665016,0.0684450549735131
15,serviceHPC -Big Data Exchange,-49.8469792295583,27.836515397522,-1.79070470990043,0.0733411029044635
16,serviceWTD - Hardware,78.3768077597814,44.45448654392,1.76307981158093,0.0778874431382743
17,serviceWorkplace Technology Services,-49.1505682343169,28.2368324100245,-1.74065445870861,0.0817445820194006
18,serviceManaged Secure File Transfer,-50.6089349713262,29.4710176578059,-1.71724422817553,0.0859349767846195
19,serviceMiddleware,-47.0824150694665,27.8223302387355,-1.6922527576039,0.0905982130335963
20,serviceFixed - VoIP,43.6385015497168,27.973894503839,1.55997233576927,0.118766847257206
21,serviceStorage - File,-43.0744812731364,27.8659741226183,-1.54577338956809,0.122159734279009
22,serviceMidrange - Windows -X86,-41.1009763238181,27.8146671944166,-1.4776727701444,0.139495812568333
23,serviceFixed - PBX,38.9987543028334,28.0174031790367,1.39194749968881,0.163938715722648
24,serviceMidrange,-38.2285640401649,27.8259619271561,-1.37384519321349,0.169490164401382
25,serviceIBN - GC Wi-Fi,-38.1542578589242,27.8526274104158,-1.36986207070202,0.170730378078807
26,serviceFacilities - Data Centre Facilities Racking & Stacking,-35.6296442881229,28.0579295332451,-1.26986006739757,0.204134879729676
27,serviceInternal Credential Management (ICM),-35.2944156301209,28.0752906208822,-1.25713447125884,0.208705344269119
28,serviceGC WAN,-34.5020275872699,27.8164242617154,-1.24034733086654,0.214847346993129
29,serviceFixed - Centrex,-53.6569512850053,43.5114053513428,-1.23316980574955,0.217512810473449
30,serviceOther - Data Centre,-33.1352339893764,27.8461251683505,-1.1899405676391,0.234070134728818
31,serviceOther - Telecom & Network,-31.6274143595553,28.401436771657,-1.1135850138088,0.265457620892582
32,serviceOther - Project Management & Delivery,31.5697507980098,28.4596832595923,1.10927976639969,0.26730987215585
33,serviceDirectory Services,-30.3475854610754,27.843996140966,-1.08991487096301,0.275751000874737
34,serviceFixed Line,-29.6918783334248,27.826590969492,-1.06703255048302,0.285957486318587
35,serviceOther - Security,28.0522266647577,27.8617275698227,1.0068373037694,0.314013294758116
36,serviceMobile - Enterprise Mobile Device Management (EMDM),-27.547411739205,27.8971088357597,-0.987464754910141,0.323415176460922
37,serviceDatabase,-26.7454820003419,28.0421241563644,-0.953760915229092,0.340204989900777
38,serviceFacilities - Data Centre Facilities Power & Space,-25.470672636662,28.0424056022025,-0.908291285632839,0.363724641769375
39,serviceEmail,-25.2693408836923,27.8467102883081,-0.907444384707161,0.364172143179779
40,serviceOther - Service Management,-25.08705915286,27.8141199511488,-0.901954086518698,0.367081552183246
41,serviceGC WAN National,-24.9096393402171,28.1422003311134,-0.885134745938027,0.376084249600748
42,serviceGC WAN International,26.0228840564802,29.7603483685486,0.874414631650675,0.381892776370624
43,serviceMobile - Mobile Device - Government Cellular Services,-23.6743910744269,27.8722744136567,-0.849388561660656,0.395665391127034
44,serviceHigh-performance Computing,-22.368276722894,27.8211301035566,-0.80400316736359,0.421395404546813
