,index,Estimate,Std. Error,t value,Pr(>|t|)
0,ASSIGNED_GROUPNW000481,1797.13531842108,59.9879616882255,29.9582660894748,8.43562740405733e-197
1,ASSIGNED_GROUPSM000541,15633.3212766183,546.235187311602,28.6201285449233,7.982705406653521e-180
2,ASSIGNED_GROUPITS00302,8849.82683216767,318.671416023174,27.7710092188629,1.88792136678603e-169
3,ASSIGNED_GROUPNW000495,5603.32875409043,213.175396803542,26.2850630894068,4.843925463607201e-152
4,ASSIGNED_GROUPITS00329,2304.522318256,88.055487718606,26.171251536536,9.538919634586042e-151
5,ASSIGNED_GROUPNW000435,13000.421276593,546.235187311894,23.8000436049718,4.77638692161603e-125
6,ASSIGNED_GROUPITS00356,5057.74905436921,228.792743051855,22.1062477196792,3.59552934629343e-108
7,ASSIGNED_GROUPDC000143,8275.87127662189,388.274160236882,21.3145043480948,1.04936777933429e-100
8,ASSIGNED_GROUPDC000199,2496.99660994395,122.270403878413,20.421921664927,1.29751282120904e-92
9,ASSIGNED_GROUPNW000445,1040.19828327954,63.1216148796842,16.479272358007,5.6170107071167806e-61
10,ASSIGNED_GROUPPM000611,3264.68169324555,200.111921793869,16.3142788494552,8.45966251172953e-60
11,ASSIGNED_GROUPNW000451,2573.57768684376,160.782243024225,16.0066039534975,1.23713518870204e-57
12,ASSIGNED_GROUPDC000196,8710.60460997056,546.235187311879,15.9466193542694,3.23419289832511e-57
13,ASSIGNED_GROUPDC000213,8118.33794323208,546.235187309865,14.8623489146018,6.11270149587154e-50
14,ASSIGNED_GROUPNW000490,1147.83153080146,77.8746894613401,14.7394684812359,3.79228422573433e-49
15,ASSIGNED_GROUPSM000586,1420.70968275293,103.602321219366,13.7131066759088,8.8197193137437e-43
16,ASSIGNED_GROUPESI00019,5301.64627655194,388.274160236026,13.6543886240824,1.9767609012361398e-42
17,ASSIGNED_GROUPITS00301,2561.44850760398,189.762848870727,13.4981558447667,1.6645683784681299e-41
18,ASSIGNED_GROUPNW000422,7157.58794339069,546.235187311827,13.1034911511562,3.25093072571644e-39
19,ASSIGNED_GROUPNW000441,5054.26294327008,388.274160235995,13.0172529127307,1.0083600907294e-38
20,ASSIGNED_GROUPDC000218,3987.68394934425,322.980681477961,12.3465091815913,5.22251537594475e-35
21,ASSIGNED_GROUPDC000201,1177.75460991814,95.7387712138337,12.3017518920063,9.09552845970767e-35
22,ASSIGNED_GROUPESI00042,6424.08794326814,546.235187310648,11.7606629754057,6.36061128968477e-32
23,ASSIGNED_GROUPDC000226,4340.52244778923,390.271909944432,11.1217905700855,9.99992965236371e-29
24,ASSIGNED_GROUPNW000439,687.688922463362,63.4086203719278,10.8453538088303,2.131425533936e-27
25,ASSIGNED_GROUPNS000115,941.612546429188,88.4702840932036,10.6432635102335,1.90197919338071e-26
26,ASSIGNED_GROUPSM000575,5792.82127658494,546.235187311626,10.604994718658,2.8656691647711697e-26
27,ASSIGNED_GROUPITS00362,1914.50627657662,180.731785877756,10.593080056607,3.25478724452477e-26
28,ASSIGNED_GROUPESI00045,1289.9279432566,122.270403877789,10.5497970264815,5.162829072239e-26
29,ASSIGNED_GROUPSM000514,1121.60589789509,107.611840638551,10.4226996884326,1.9796564214440102e-25
30,ASSIGNED_GROUPDC000114,2809.44210985027,277.396458756534,10.1278946474081,4.2050216630406006e-24
31,ASSIGNED_GROUPITS00341,585.458350732564,58.7413312961848,9.96671913648966,2.1556151689811202e-23
32,ASSIGNED_GROUPSM000549,963.193971622127,97.0685400589796,9.92282330646864,3.34927668571666e-23
33,ASSIGNED_GROUPNW000419,896.245259655204,100.874178749854,8.88478370542873,6.45034925010851e-19
34,ASSIGNED_GROUPDC000146,4701.63794336464,546.235187316241,8.60735092234664,7.524006702771149e-18
35,ASSIGNED_GROUPCOR00556,2342.36710993776,277.396458758223,8.44411323930908,3.08154098627479e-17
36,ASSIGNED_GROUPENT00039,1165.77029619793,143.20391761813,8.14063131503561,3.9521221222901e-16
37,ASSIGNED_GROUPDC000180,657.702063622913,85.0953181209997,7.72900411145659,1.08838138528899e-14
38,ASSIGNED_GROUPNW000436,1362.85794325127,180.731785877488,7.54077616526793,4.68930474071954e-14
39,ASSIGNED_GROUPITS00354,4107.30460987003,546.235187310789,7.51929700847544,5.5275309577219904e-14
40,ASSIGNED_GROUPITS00378,1226.10044325386,166.563631128922,7.36115342193064,1.8294829059539e-13
41,ASSIGNED_GROUPCOR00557,526.970029421734,71.7575701612529,7.34375520572299,2.08382976006426e-13
42,ASSIGNED_GROUPSM000532,1486.0165146749,212.877390195668,6.98062163064391,2.94688450651463e-12
43,ASSIGNED_GROUPITS00371,2678.65460992358,388.274160236036,6.89887426012381,5.255446196474919e-12
44,ASSIGNED_GROUPSM000515,1466.98422262467,213.341666840213,6.87621993561812,6.16215840856106e-12
45,ASSIGNED_GROUPCOR00553,430.615780529538,66.5203784592056,6.47344153030666,9.599232662530489e-11
46,ASSIGNED_GROUPESI00043,895.494639041123,140.974374244335,6.35218027277115,2.12689410082374e-10
47,ASSIGNED_GROUPNW000480,1134.72091320739,181.090047750117,6.26605894307991,3.70970096110979e-10
48,ASSIGNED_GROUPITS00353,456.88100116676,73.4503138680998,6.22027295876795,4.9716317070649e-10
49,ASSIGNED_GROUPSM000542,502.546996750205,82.3748022998305,6.10073690885495,1.05752625526382e-09
50,ASSIGNED_GROUPNW000444,430.475594537998,71.7142406883079,6.00265150138,1.9441794783015103e-09
51,ASSIGNED_GROUPSDATIER1,2263.81294324948,388.274160236188,5.83044965411139,5.5353711748941706e-09
52,ASSIGNED_GROUPNW000440,339.306189383294,59.2593903528261,5.7257792792516,1.0309105947229e-08
53,ASSIGNED_GROUPEU000206,1124.75252657236,200.111921792856,5.62061728504431,1.9050170563566e-08
54,ASSIGNED_GROUPITS00374,512.131914882115,97.0685400590233,5.27598246116311,1.32169067906312e-07
55,ASSIGNED_GROUPDC000211,1291.32127660199,249.373594626063,5.17825986563789,2.24158157594913e-07
56,ASSIGNED_GROUPNW000432,574.154609920784,111.20598310483,5.16298308679623,2.4325221463998e-07
57,ASSIGNED_GROUPNS000101,623.111943247569,122.270403877709,5.09617964352835,3.46857103654787e-07
58,ASSIGNED_GROUPITS00102,1146.27405435881,228.792743052015,5.01009795620227,5.44436152861121e-07
59,ASSIGNED_GROUPITS00383,870.875546886555,183.464972528325,4.74682188586217,2.06765130135865e-06
60,ASSIGNED_GROUPENT00009,420.735443251006,89.784755766522,4.68604541671968,2.7869787129266e-06
61,ASSIGNED_GROUPITS00101,593.334912949845,128.687251283069,4.61067360623551,4.01587538821697e-06
62,ASSIGNED_GROUPNW000517,1632.6379432446,388.274160236008,4.20485860365321,2.61346718067826e-05
63,ASSIGNED_GROUPITS00379,555.963776587534,133.79974884687,4.15519297591373,3.25133561988766e-05
64,ASSIGNED_GROUPDC000272,780.578683982802,189.5899133242,4.11719521516953,3.83648466861196e-05
65,ASSIGNED_GROUPITS00337,933.45460991872,228.792743051794,4.07991353863617,4.50680318986295e-05
66,ASSIGNED_GROUPNW000462,755.687943257104,189.589913324231,3.98590795262798,6.72438482671003e-05
67,ASSIGNED_GROUPNW000469,905.480390722662,230.298461952431,3.93176916183527,8.43483607130606e-05
68,ASSIGNED_GROUPPM000602,2141.35460991934,546.235187311636,3.92020627682059,8.84995068791008e-05
69,ASSIGNED_GROUPNW000455,1244.94905436128,318.671416022809,3.90668566983168,9.35982023793159e-05
70,ASSIGNED_GROUPDC000195,281.808392424836,72.3506180160191,3.89503780551592,9.82118987380064e-05
71,ASSIGNED_GROUPNW000411,701.214609918699,180.731785877495,3.87986322668224,0.0001045450959612
72,ASSIGNED_GROUPITS00365,1477.81294325158,388.274160235839,3.80610685592354,0.0001412089489541
73,ASSIGNED_GROUPDC000111,225.446432290761,59.5023743155323,3.78886447615102,0.0001513770002
74,ASSIGNED_GROUPNW000443,710.11294325783,200.111921793874,3.54857889970836,0.0003873951341629
75,ASSIGNED_GROUPDC000125,378.239848013938,107.59168358372,3.51551193749671,0.0004389936856571
76,ASSIGNED_GROUPITS00350,1360.38794324353,388.274160235802,3.50367879855141,0.0004589679535178
77,ASSIGNED_GROUPSM000562,-198.215486722121,56.6650410658381,-3.49802070189656,0.0004688155872659
78,ASSIGNED_GROUPDC000203,-194.896854044585,56.2399478076891,-3.46545225665979,0.0005294395752638
79,ASSIGNED_GROUPDC000134,223.316850650462,65.8138851582121,3.39315708400475,0.0006910396103866
80,ASSIGNED_GROUPITS00336,1083.12839374706,322.980681477519,3.35353925439794,0.0007979831333433
81,ASSIGNED_GROUPDC000152,-187.20621625612,56.2639396220916,-3.32728595817374,0.0008771044175608
82,ASSIGNED_GROUPITS00304,430.036355954091,131.146632400027,3.27904993124323,0.0010417308294981
83,ASSIGNED_GROUPSM000500,686.919936900172,213.341666840006,3.21981142771947,0.0012829322702971
84,ASSIGNED_GROUPNW000463,-180.895737846284,57.4001264655606,-3.15148674724296,0.0016246292654646
85,ASSIGNED_GROUPDC000188,-179.31536729363,57.0341547698178,-3.14399973169275,0.0016667734873248
86,ASSIGNED_GROUPDC000155,-177.790647505434,56.5881845763988,-3.14183338511949,0.0016791540944152
87,ASSIGNED_GROUPDC000163,-185.949519075123,60.6188153789505,-3.06752149332983,0.0021586768099434
88,ASSIGNED_GROUPDC000242,-187.641690148605,61.1723348824742,-3.06742730204932,0.0021593572016412
