,index,Estimate,Std. Error,t value,Pr(>|t|)
0,PARENT_SERVICEIT Continuity Support Service,15488.5818930808,577.14352511492,26.8366207348454,2.1547452628497398e-158
1,PARENT_SERVICESatellite,746.013242211885,109.069874160269,6.83977356676587,7.95202885991993e-12
2,(Intercept),343.918106993993,63.7348402426524,5.39607702293787,6.81824468657299e-08
3,PARENT_SERVICEMiddleware,-318.483150688385,63.9042229601663,-4.98375750358325,6.24075033544698e-07
4,PARENT_SERVICEMainframe,-301.221199579105,64.2287507202361,-4.68981875252637,2.73607753126731e-06
5,PARENT_SERVICEWorkplace Technology Services,-317.394752652099,68.9447216832192,-4.60361206635128,4.15452710752137e-06
6,PARENT_SERVICEMidrange,-281.88639680977,63.7937271079892,-4.41871653513199,9.93351938951723e-06
7,PARENT_SERVICEMobile Devices,-260.774186925749,63.9782587233654,-4.07598131192202,4.58364539696225e-05
8,PARENT_SERVICEDistributed Print,-290.780852094133,73.7876645197942,-3.94077863808969,8.1242126833514e-05
9,PARENT_SERVICEGC WAN,-251.442165505635,63.8329227763783,-3.93906709217273,8.18237685493758e-05
10,PARENT_SERVICEHigh-performance Computing,-241.571097170307,63.8498223969832,-3.78342629785797,0.0001547242852702
11,PARENT_SERVICEEmail,-241.89069455308,64.200757013161,-3.76772340088596,0.0001647851799863
12,PARENT_SERVICEDatabase,-249.989071906698,67.0452637059215,-3.72866117736844,0.0001925470600063
13,PARENT_SERVICEInternal Credential Management (ICM),-242.906817579304,67.9553385265978,-3.57450676938693,0.0003509623183753
14,PARENT_SERVICEDirectory Services,-223.954682261634,64.33693210778,-3.48096614066794,0.0004997035410488
15,PARENT_SERVICESolutions Integration Service (SIS),1996.61522633871,577.143525114307,3.45947782389704,0.0005413242994999
16,PARENT_SERVICEStorage,-210.268585623185,64.2052573104016,-3.27494343035863,0.0010569913971202
17,PARENT_SERVICESecure Remote Access,-202.655205872081,64.4047505652504,-3.14658785405534,0.0016520921601416
18,PARENT_SERVICEContact Centre,-190.190132518296,64.1706299016971,-2.96381900582319,0.003038788444665
19,PARENT_SERVICEData Centre Facilities Management,-184.902290000696,64.327531035848,-2.87438810449067,0.0040484920746298
20,PARENT_SERVICEGovernment of Canada Managed Security Service,-207.496022188005,72.2827015093844,-2.87061797435816,0.0040970859371565
21,PARENT_SERVICEFixed Line,-174.173737330651,63.9936078571764,-2.72173648529677,0.0064944912506193
22,PARENT_SERVICEConferencing Services,-175.239926353776,64.5650629074521,-2.71416023562102,0.006644909402187
23,PARENT_SERVICEOther Activities,-149.23677715627,63.8199117906208,-2.33840462904248,0.0193671412070495
24,PARENT_SERVICECloud Brokering,-184.94252559792,81.3189371594838,-2.2742860649446,0.0229497322274438
25,PARENT_SERVICEManaged Secure File Transfer,-194.328755143235,92.9086968699772,-2.09160995353527,0.0364745427902593
26,PARENT_SERVICEClassified Infrastructure,-191.905228205615,107.425051314414,-1.78641039364219,0.0740341836791319
27,PARENT_SERVICEIntra-building Network Services,-100.069707649916,63.8617132761539,-1.56697499199857,0.117121947303835
28,PARENT_SERVICEToll-free Voice,-91.023806849565,74.0710001192981,-1.22887238869413,0.219120944028151
29,PARENT_SERVICEFirewall,-72.2330006107887,64.260751674882,-1.12406093498939,0.260988378895135
30,PARENT_SERVICEWTD Provisioning,-260.076440326943,242.695041113024,-1.07161827095521,0.283892675978172
31,PARENT_SERVICEFacilities-as-a-service (FaaS),-343.9181069954,577.143525114382,-0.595897020463394,0.551244624885054
32,PARENT_SERVICEBulk Print,-112.703821281308,225.979590654427,-0.498734513833407,0.617966915678468
33,PARENT_SERVICEInternet,-133.268106991003,577.14352511393,-0.230909819121155,0.817385072836338
