,index,Estimate,Std. Error,t value,Pr(>|t|)
0,serviceIT Continuity Support Service,15350.2451389277,577.81488426812,26.5660258274081,2.9224632101896204e-155
1,serviceIntra-building Network Services,795.344977066242,116.780530852451,6.810595664025,9.74387020802784e-12
2,serviceSatellite,607.676488082811,144.865858055848,4.19475296828425,2.73273901412995e-05
3,(Intercept),482.254861123439,115.562976853722,4.17309136760877,3.00607365553498e-05
4,serviceMiddleware,-456.819904818607,115.65406098746,-3.94988209595284,7.82135715464151e-05
5,serviceMobile - Voice & Data,-455.909753328654,115.771857235273,-3.93800155077542,8.21878649732675e-05
6,serviceMainframe,-451.767080067444,115.835370812723,-3.90007885240718,9.61893488426114e-05
7,serviceWorkplace Technology Services,-455.731506781258,118.440503888672,-3.84776737533658,0.0001192321212473
8,serviceHPC - Interaction & Visualization,-445.586210963861,116.115472322926,-3.83744045517597,0.0001243574038806
9,serviceHPC -Big Data Exchange,-439.389519799648,115.765511801496,-3.79551312789144,0.000147377100609
10,serviceOther - Telecom & Network,-441.610613917105,118.266569991521,-3.73402740900297,0.0001884885235644
11,serviceMidrange - Windows -X86,-427.8089166605,115.608183392118,-3.7005072141776,0.0002152203447388
12,serviceFacilities - Data Centre Facilities Power & Space,-417.771237212713,117.277230806609,-3.5622535963662,0.0003677610851938
13,serviceStorage - File,-410.788579951963,116.063071408417,-3.53935644617252,0.000401184934338
14,serviceDistributed Print,-429.117606217416,121.249760013498,-3.53912128295879,0.0004015424873689
15,serviceGC WAN National,-415.567655992071,117.677109016878,-3.53142305639465,0.0004134129446468
16,serviceIBN - GC Wi-Fi,-404.026024704084,115.891592616885,-3.48624102560844,0.000489953014462
17,serviceMidrange,-403.241723230152,115.670477320658,-3.48612483125058,0.0004901658732338
18,serviceFacilities - Data Centre Facilities Racking & Stacking,-409.310714437212,117.502630807588,-3.48341744881835,0.0004951500627176
19,serviceGC WAN,-389.824774992476,115.617174524541,-3.37168570842156,0.0007472225645333
20,serviceDatabase,-388.325826036766,117.373473139409,-3.30846328092838,0.0009382424042713
21,serviceFixed Line,-382.14414263239,115.73182580846,-3.30197972738156,0.0009601999968273
22,serviceEmail,-380.22744868234,115.813928238606,-3.28308912809672,0.0010269189345196
23,serviceInternal Credential Management (ICM),-381.243571707958,117.882197535006,-3.23410641878087,0.0012204162444046
24,serviceSolutions Integration Service (SIS),1858.27847221025,577.814884267805,3.21604465860207,0.0012998901584064
25,serviceOther - Data Centre,-366.700908720189,115.880894859666,-3.1644639020459,0.0015538967012714
26,serviceDirectory Services,-362.291436389375,115.887516626841,-3.12623349722781,0.0017708350453626
27,serviceMidrange - Storage and Virtualization,-365.435527792335,120.982901994002,-3.0205551509291,0.0025234014516826
28,serviceSecure Remote Access,-340.991960001204,115.924206107086,-2.94150783043717,0.0032665195119594
29,serviceHigh-performance Computing,-336.238277253958,115.66891696135,-2.90690261556015,0.0036506253833032
30,serviceGovernment of Canada Managed Security Service,-345.832776317216,120.363467467319,-2.87323706764361,0.0040632722714561
31,serviceContact Centre,-328.526886648538,115.797662444082,-2.83707701618918,0.0045532707815142
32,serviceMobile - Mobile Device - Government Cellular Services,-320.201545600615,116.131555818033,-2.7572311706763,0.0058297836167025
33,serviceConferencing - Videoconferencing,-313.576680483794,116.011041773122,-2.7029899541549,0.0068723995619883
34,serviceFixed - Key Systems and Interchange,-412.626466063051,158.826119993228,-2.59797611426033,0.0093781143552094
35,serviceMobile - Enterprise Mobile Device Management (EMDM),-300.924886515036,116.519376418876,-2.58261669229364,0.0098060468710245
36,serviceCloud Brokering,-323.27927972694,125.854741166098,-2.56866985487888,0.0102096073503369
37,serviceOther - Service Management,-294.510001332897,115.630236327911,-2.54699817872643,0.0108660616728387
38,serviceIBN - Data Centre Network,-295.802456479395,116.250857790813,-2.54451848442852,0.0109435160529778
39,serviceManaged Secure File Transfer,-332.665509272454,133.440631589441,-2.49298512237241,0.0126681304522162
40,serviceStorage,-284.879033962435,116.075453765981,-2.45425733623905,0.0141183453994628
41,serviceData Centre Facilities Management,-274.732432266507,116.053171957399,-2.36729791726293,0.0179193460914116
42,serviceIBN - GC LAN,-273.663036710253,115.676070643632,-2.36577051059539,0.0179934386382186
43,serviceClassified Infrastructure - GCSI - Hosting Environment,-330.241982334835,143.663630979512,-2.29871666254859,0.02152194837652
44,serviceFixed - Centrex,-423.278935198917,221.28625338567,-1.91281170304422,0.055773434122776
45,serviceToll-free Voice,-229.360560978733,121.4179289718,-1.88901723922505,0.058890807270356
46,serviceFirewall,-210.569754740632,115.846335620372,-1.81766435349901,0.0691167823661742
47,serviceOther - Internal Services & Strategy,-194.025652927634,116.709084005413,-1.66247258798325,0.096419452116008
48,serviceOther - Project Management & Delivery,-191.19930556789,121.417928971884,-1.57472053087123,0.115322376707504
49,serviceWTD - Hardware,-398.413194455978,258.406671926786,-1.54180691808476,0.123121930829349
50,serviceOther - Account & Service Delivery Management,370.887996010413,243.19270730331,1.52507860997593,0.127240901259849
51,serviceData Centre Services,-195.507837310885,138.124176114256,-1.41544979894874,0.156938045503256
