ASSIGNED_GROUP,reassign_num
ESI00019,5.0
NW000422,5.0
ITS00350,4.0
ESI00042,4.0
SDATIER1,4.0
ENT00023,4.0
EDC00023,4.0
NW000504,3.6666666666666665
SM000542,3.419753086419753
NW000402,3.3333333333333335
DC000159,3.0
SM000541,3.0
DC000146,3.0
DC000114,3.0
ENT00007,3.0
DC000196,3.0
EDC00096,3.0
DC000143,3.0
SM000586,2.923076923076923
NS000117,2.6666666666666665
DC000218,2.6666666666666665
ITS00338,2.588235294117647
NW000469,2.5
NW000519,2.5
NW000441,2.5
NW000498,2.5
SM000515,2.4285714285714284
DC000173,2.375
DC000186,2.3448275862068964
NW000467,2.3333333333333335
NW000455,2.3333333333333335
ENT00039,2.2941176470588234
ITS00378,2.25
SM000514,2.142857142857143
COR00559,2.125
ESI00045,2.08
NW000426,2.066666666666667
ITS00355,2.0
ITS00354,2.0
ENT00008,2.0
ITS00371,2.0
NW000480,2.0
NW000475,2.0
NS000107,2.0
NW000406,2.0
NW000435,2.0
DC000213,2.0
NW000442,2.0
NW000495,2.0
ESI00047,2.0
SM000519,2.0
SM000568,2.0
DC000112,2.0
ENT00036,2.0
PM000613,2.0
PM000611,2.0
EDC00067,2.0
SM000575,2.0
ENT00002,2.0
PM000602,2.0
EDC00050,2.0
EDC00048,2.0
ITS00102,2.0
ITS00302,2.0
NW000514,2.0
ESI00008,2.0
ITS00347,1.9565217391304348
EDC00075,1.9
ITS00103,1.8823529411764706
SM000500,1.8571428571428572
DC000211,1.8
ESI00011,1.7567623587936574
SM000512,1.7547169811320755
DC000121,1.75
EDC00066,1.7380952380952381
NS000101,1.72
DC000187,1.7142857142857142
NW000411,1.7
NW000445,1.6685714285714286
DC000272,1.6666666666666667
NW000462,1.6666666666666667
ITS00106,1.6
COR00557,1.5850340136054422
NW000432,1.5625
SM000580,1.5
ITS00351,1.5
NW000502,1.5
NSD00018,1.5
NW000517,1.5
DC000226,1.5
COR00055,1.5
ITS00313,1.484375
ITS00101,1.4545454545454546
ITS00301,1.4444444444444444
NW000474,1.4444444444444444
ITS00377,1.434782608695652
EDC00014,1.4285714285714286
SM000513,1.4285714285714286
NW000490,1.4158415841584158
ITS00376,1.4052631578947368
ITS00361,1.4
NW000436,1.4
EU000206,1.375
COR00554,1.375
NW000439,1.3452380952380953
EDC00030,1.3357664233576643
DC000160,1.3333333333333333
ITS00374,1.3191489361702127
ITS00329,1.3125
ITS00312,1.3108108108108107
NW000484,1.3076923076923077
NS000115,1.3015873015873016
ITS00304,1.2857142857142858
