ASSIGNED_GROUP,reassign_num
ESI00011,9239
DC000152,3488
NW000417,2793
DC000155,1733
NW000459,1629
NW000405,1455
NW000412,963
NW000409,950
NW000433,932
NW000403,846
DC000203,809
DC000115,778
DC000207,752
DC000205,734
ENT00005,678
DC000119,673
NW000440,651
EDC00006,633
DC000200,605
DC000202,581
NW000414,575
DC000188,563
NW000431,540
DC000216,509
DC000127,427
DC000141,415
ITS00341,408
ITS00322,404
ITS00343,400
SM000502,383
NW000429,381
DC000107,380
DC000221,377
NW000410,365
ITS00380,361
NW000481,356
NW000407,355
NW000438,354
DC000209,350
NW000404,344
EDC00029,339
DC000204,337
DC000130,331
NW000427,326
ITS00332,324
EDC00031,322
DC000133,304
ITS00340,293
DC000132,291
NW000408,289
ITS00306,289
DC000122,284
NW000400,283
DC000113,276
NW000445,272
NW000503,270
NW000439,269
DC000236,256
DC000206,248
NW000430,247
DC000117,246
ITS00313,221
NW000463,214
SM000537,210
DC000128,210
NW000449,197
NW000452,193
NW000428,192
EDC00010,189
ITS00326,185
DC000210,176
NW000450,172
NW000453,171
NW000424,166
DC000111,161
DC000140,159
NW000448,145
EDC00053,144
EDC00024,144
DC000135,142
EDC00095,140
ITS00358,140
DC000178,137
DC000156,137
DC000129,135
SM000585,134
ITS00325,133
NW000447,131
DC000108,130
ITS00376,130
NW000434,125
ITS00352,124
NW000509,122
ITS00381,122
DC000223,119
NW000471,117
EDC00025,114
SM000561,113
ESI00028,112
DC000110,112
ITS00344,110
EDC00021,106
SM000512,106
NW000413,106
DC000237,105
DC000139,104
ITS00308,104
NW000464,104
EDC00002,104
NW000420,100
COR00557,99
ITS00342,96
DC000134,96
COR00553,96
DC000179,95
NW000488,90
ITS00345,88
NW000477,88
EU000203,78
ITS00307,78
NW000401,78
NW000460,77
DC000120,77
DC000263,76
SM000557,74
NW000472,74
DC000147,73
EDC00030,72
SM000542,71
NW000444,69
ENT00045,69
DC000224,69
NW000473,68
SM000562,66
ITS00368,65
ITS00346,64
EDC00001,61
DC000131,61
DC000248,61
PM000614,60
EDC00089,59
ITS00359,58
ITS00353,58
COR00552,56
NW000490,55
DC000109,55
EDC00009,55
DC000262,53
DC000242,53
NS000116,49
DC000176,49
NW000446,48
ITS00312,48
DC000163,47
DC000191,46
ESI00026,45
DC000198,45
NW000521,44
EDC00003,44
ITS00321,43
NS000115,43
EDC00054,43
EDC00066,42
DC000195,41
ITS00309,41
ITS00375,41
NDS00033,38
ITS00329,37
EU000202,37
ESI00012,35
NW000508,35
ENT00009,34
NW000426,33
ITS00327,33
DC000257,33
ITS00108,33
ITS00330,32
SM000586,32
DC000233,32
NW000489,32
DC000252,31
SM000549,31
DC000249,31
NW000510,31
DC000101,30
SM000514,30
EDC00055,30
ITS00360,28
NW000423,27
DC000123,27
NW000419,26
SM000558,26
ENT00006,26
ITS00374,25
ESI00049,25
DC000253,25
NW000492,25
DC000201,25
ITS00335,25
NW000461,23
NS000101,23
ITS00331,23
NW000432,22
ESI00045,22
DC000245,21
DC000186,21
NW000483,20
NW000437,20
NS000108,19
ENT00042,18
NW000476,18
DC000118,18
ITS00101,18
ITS00377,18
ENT00014,18
NW000406,17
COR00559,16
DC000246,16
ITS00347,16
DC000229,16
EDC00062,15
DC000247,15
EDC00098,15
ENT00039,14
ITS00338,14
DC000190,14
DC000250,14
ITS00103,14
DC000125,14
EDC00074,13
DC000222,13
NW000486,13
EDC00040,13
ITS00304,13
ITS00348,12
DC000228,12
NW000502,12
NW000425,12
ITS00379,11
DC000183,11
DC000199,11
NW000494,10
SM000517,10
EDC00008,10
EDC00041,9
ITS00378,9
NW000436,9
COR00551,9
EDC00075,9
SM000568,9
NW000462,9
NW000505,9
EDC00018,9
DC000194,9
EU000206,8
ESI00043,8
NDS00032,8
NW000480,8
NW000411,8
SM000501,8
DC000173,8
NW000474,7
NW000484,7
SM000582,7
SM000553,7
ITS00301,7
ENT00003,7
ESI00010,7
DC000180,7
ITS00370,7
DC000272,7
DC000148,7
EDC00068,7
ITS00362,7
NW000456,6
