ASSIGNED_GROUP,reassign_num
ESI00011,16951
NW000417,4304
DC000152,4021
NW000405,2257
NW000459,2226
DC000155,1848
NW000412,1709
NW000403,1514
DC000115,1508
NW000409,1405
DC000119,1321
DC000203,1299
NW000433,1283
EDC00006,1199
ENT00005,1133
NW000431,1098
DC000202,978
ITS00341,975
DC000216,956
NW000414,891
NW000440,888
ITS00343,877
DC000205,876
DC000207,848
NW000481,821
ITS00380,805
DC000200,799
NW000429,776
ITS00322,774
DC000141,766
EDC00029,763
NW000438,759
DC000188,741
NW000400,725
NW000407,721
DC000127,702
ITS00332,671
NW000404,621
SM000502,590
NW000445,584
ITS00340,574
DC000122,568
DC000209,557
NW000410,554
DC000130,538
DC000133,529
DC000113,523
DC000221,522
ITS00306,522
NW000430,520
ITS00313,475
DC000107,458
NW000439,452
NW000408,446
DC000132,432
DC000236,426
EDC00010,425
DC000117,420
NW000503,420
EDC00031,418
NW000427,397
NW000450,368
DC000204,366
NW000452,365
NW000449,355
NW000428,345
NW000453,330
NW000463,322
DC000128,316
NW000447,297
DC000206,297
DC000111,293
NW000448,289
ITS00326,286
DC000135,284
ITS00381,279
ITS00358,278
SM000542,277
DC000210,276
EDC00095,270
ITS00376,267
NW000509,266
NW000424,264
DC000156,261
SM000537,256
ESI00028,249
NW000464,242
DC000129,240
DC000237,239
DC000140,239
ITS00342,234
COR00557,233
EDC00024,230
EDC00002,218
NW000420,217
ITS00344,217
DC000108,213
DC000178,213
DC000223,212
DC000139,211
EDC00053,207
NW000434,206
ITS00325,205
ITS00352,200
ITS00345,192
NW000471,189
DC000263,186
SM000512,186
DC000110,184
EDC00030,183
DC000134,177
NW000413,176
SM000585,174
ITS00308,173
NW000488,171
DC000179,170
EDC00021,170
EDC00025,162
NW000401,160
SM000561,158
NW000444,154
SM000562,149
NW000460,148
COR00553,146
NW000490,143
ITS00359,139
NW000477,137
EU000203,130
ITS00307,130
DC000147,128
DC000120,126
DC000131,125
NS000116,122
EDC00089,122
NW000473,121
NW000472,121
DC000224,117
DC000248,116
SM000557,115
SM000586,114
PM000614,113
ENT00045,113
ITS00353,108
NW000446,106
EDC00009,102
ITS00346,100
ITS00312,97
DC000198,96
DC000195,96
DC000191,94
ESI00026,93
EDC00001,93
NW000426,93
COR00552,91
ITS00368,91
ITS00375,87
DC000262,85
ITS00309,84
ITS00329,84
ITS00330,82
NS000115,82
NW000508,79
ITS00108,78
DC000252,77
DC000109,76
ITS00321,76
DC000176,76
SM000514,75
NW000423,74
EDC00054,73
EDC00066,73
DC000233,71
NW000489,70
ENT00009,70
DC000186,68
EDC00003,68
DC000242,68
NDS00033,67
EU000202,67
ITS00360,67
ITS00327,65
DC000249,63
ITS00374,62
ESI00049,57
DC000101,55
DC000201,55
DC000163,54
ESI00045,52
ITS00335,51
NW000521,51
SM000549,50
NW000432,50
NW000419,50
ESI00012,50
DC000245,49
ITS00331,48
DC000229,48
EDC00055,46
DC000253,46
ITS00347,45
NW000483,45
ENT00006,44
ITS00338,44
DC000257,43
NS000101,43
NS000108,40
ENT00039,39
SM000558,39
ENT00042,39
NW000510,38
EDC00098,36
NW000492,35
DC000123,35
COR00559,34
NW000406,34
ITS00377,33
DC000118,32
ITS00101,32
ITS00103,32
DC000247,32
NW000425,30
NW000461,28
NW000486,28
NW000476,28
EDC00074,28
DC000199,28
DC000228,28
ITS00304,27
ENT00014,27
ITS00378,27
EDC00062,26
DC000125,26
NW000437,24
DC000250,23
ITS00379,23
DC000121,21
NW000480,20
EDC00008,20
ESI00043,19
EDC00075,19
DC000173,19
SM000568,18
NW000502,18
SM000515,17
ITS00348,17
DC000222,17
NW000484,17
NW000411,17
DC000246,17
PM000611,16
DC000190,16
NW000451,16
NDS00032,16
NW000462,15
DC000272,15
NW000469,15
EDC00040,15
NW000436,14
NW000495,14
ITS00367,14
COR00551,14
SM000517,14
ITS00370,14
NW000494,14
DC000183,14
SM000582,13
ITS00301,13
ITS00357,13
NW000474,13
SM000500,13
DC000104,12
ITS00102,12
DC000114,12
ITS00349,12
DC000187,12
ITS00383,12
EDC00004,11
NW000504,11
ENT00003,11
EU000206,11
COR00554,11
ITS00363,11
DC000231,11
NW000457,11
SM000501,11
DC000194,11
NW000443,10
NW000402,10
NW000505,10
ESI00010,10
SM000513,10
ESI00019,10
EDC00065,10
DC000148,10
EDC00018,10
EDC00014,10
NW000456,9
SM000532,9
ESI00054,9
EDC00041,9
SM000553,9
EDC00068,9
DC000180,9
DC000211,9
DC000218,8
ITS00350,8
ESI00025,8
ITS00106,8
SDATIER1,8
EDC00048,8
ITS00362,8
NS000117,8
EDC00005,8
ITS00361,7
NW000467,7
SM000559,7
ITS00110,7
ENT00016,7
NW000455,7
PM000613,6
ENT00007,6
ITS00356,6
DC000150,6
DC000143,6
ITS00302,6
COR00556,5
NW000498,5
NW000422,5
NW000441,5
ITS00373,5
ITS00109,5
NW000519,5
ESI00052,5
ITS00390,5
DC000160,4
NW000514,4
ESI00047,4
ESI00042,4
EDC00026,4
EDC00023,4
ENT00002,4
ENT00008,4
ITS00371,4
ENT00023,4
DC000159,3
DC000146,3
SM000580,3
DC000170,3
DC000196,3
COR00055,3
NW000517,3
DC000217,3
DC000226,3
ITS00351,3
SM000571,3
DC000230,3
NSD00018,3
ITS00336,3
ITS00100,3
SM000541,3
EDC00096,3
SM000575,2
DC000166,2
NW000435,2
DC000151,2
NDS00028,2
PM000602,2
ITS00337,2
DC000112,2
SM000519,2
ESI00014,2
NW000507,2
SM000516,2
CHNGMGMT,2
CG4TECH,2
EDC00067,2
NW000475,2
ITS00365,2
DC000184,2
ITS00354,2
DC000254,2
ITS00355,2
NS000107,2
ENT00036,2
EDC00050,2
EDC00051,2
DC000219,2
ESI00008,2
DC000213,2
NW000442,2
EDC00064,2
DC000193,2
PCR00001,1
SM000572,1
SM000520,1
SM000521,1
NW000511,1
NW000515,1
AP000011,1
NW000493,1
ENT00040,1
DC000161,1
DC000175,1
DC000269,1
EDC00028,1
EDC00043,1
EDC00060,1
EDC00076,1
ENT00015,1
ENT00017,1
EDC00099,1
NDS00009,1
NDS00038,1
NS000110,1
NW000454,1
DC000168,0
EDC00027,0
NS000106,0
DC000225,0
SM000560,0
DC000185,0
ITS00387,0
EDC00042,0
DC000149,0
DC000145,0
DC000105,0
DC000102,0
SM000583,0
