PARENT_SERVICE,reassign_num
IT Continuity Support Service,3.0
WTD Provisioning,2.1666666666666665
Solutions Integration Service (SIS),2.0
Internal Credential Management (ICM),1.2719594594594594
Satellite,1.1904761904761905
Internet,1.0
Other Activities,0.8554514873689071
Directory Services,0.7839231310053902
Cloud Brokering,0.7751937984496124
Toll-free Voice,0.7619047619047619
Government of Canada Managed Security Service,0.7243816254416962
Classified Infrastructure,0.6363636363636364
Firewall,0.6360474631751227
Managed Secure File Transfer,0.625
Database,0.6078947368421053
Intra-building Network Services,0.5724969249692496
Storage,0.4671666361807207
Data Centre Facilities Management,0.46113033448673585
Email,0.44782608695652176
Secure Remote Access,0.4122097573702061
Mobile Devices,0.3918178382464097
Mainframe,0.3910872070687668
GC WAN,0.38555728790356314
Fixed Line,0.38131592164741335
Middleware,0.36907812602667717
Conferencing Services,0.3256717384266753
Distributed Print,0.2815126050420168
Midrange,0.2748664810334596
Contact Centre,0.22869727257326783
Workplace Technology Services,0.16596638655462184
High-performance Computing,0.1375897275848232
Facilities-as-a-service (FaaS),0.0
Bulk Print,0.0
