PRIORITY,ASSIGNED_GROUP,reassign_num
High,ITS00347,10.0
High,DC000245,10.0
High,DC000121,8.0
Medium,ITS00350,8.0
Medium,COR00559,5.0
Medium,ITS00302,5.0
Low,ESI00019,5.0
Low,NW000422,5.0
Medium,ESI00045,5.0
Medium,SM000568,4.5
Low,ENT00023,4.0
Medium,ITS00371,4.0
High,NW000469,4.0
High,NW000480,4.0
Low,ITS00383,4.0
Medium,NW000519,4.0
Low,ESI00042,4.0
High,DC000125,4.0
Low,EDC00023,4.0
Low,SDATIER1,4.0
Medium,NW000514,4.0
Low,NW000504,3.6666666666666665
High,ITS00345,3.6666666666666665
Medium,SM000542,3.5454545454545454
Low,DC000218,3.5
High,DC000147,3.5
High,ITS00326,3.4
Low,SM000542,3.391304347826087
High,NW000426,3.3333333333333335
Low,NW000402,3.3333333333333335
Medium,ITS00378,3.2
Medium,SM000586,3.1363636363636362
High,ITS00301,3.0
Low,DC000159,3.0
Low,ENT00007,3.0
High,ITS00376,3.0
Medium,NW000498,3.0
Medium,DC000173,3.0
High,EDC00008,3.0
Low,SM000580,3.0
Medium,SM000541,3.0
Medium,NW000411,3.0
Low,ITS00351,3.0
High,EDC00055,3.0
Low,DC000146,3.0
High,NS000116,3.0
Low,NW000441,3.0
High,ITS00331,3.0
Low,DC000114,3.0
Medium,DC000196,3.0
Low,DC000143,3.0
Medium,NW000455,3.0
Medium,SM000514,3.0
High,ITS00312,3.0
Low,EDC00096,3.0
Low,ITS00338,2.8666666666666667
High,NW000401,2.8
High,EDC00030,2.7777777777777777
Medium,SM000515,2.75
Low,NS000117,2.6666666666666665
High,ESI00028,2.6666666666666665
Medium,DC000233,2.6666666666666665
Low,NW000462,2.6666666666666665
Low,SM000513,2.6666666666666665
Low,SM000586,2.6470588235294117
High,DC000221,2.6
Low,ITS00103,2.6
Medium,DC000186,2.5454545454545454
High,EDC00066,2.5
Low,EDC00048,2.5
Medium,ESI00043,2.5
Low,NW000495,2.5
Medium,NW000467,2.5
Medium,NW000426,2.5
Medium,PM000613,2.5
High,ITS00374,2.5
Low,ITS00102,2.5
Medium,NS000101,2.5
High,ITS00308,2.4285714285714284
Low,DC000187,2.3333333333333335
