PRIORITY,ASSIGNED_GROUP,reassign_num
Low,ESI00011,6836
Medium,ESI00011,2264
Low,DC000152,2008
Medium,NW000417,1560
Medium,DC000155,1499
Low,NW000417,1206
Low,NW000459,1189
Medium,DC000152,1144
Medium,NW000405,924
Low,NW000409,904
Low,NW000412,763
Low,DC000203,688
Medium,NW000433,686
Low,DC000207,653
Low,DC000205,639
Low,ENT00005,629
Low,DC000200,533
Low,DC000119,512
Low,NW000405,489
Low,NW000440,477
Low,NW000403,457
Low,DC000115,451
Low,DC000188,446
Low,EDC00006,410
Medium,NW000459,378
Medium,NW000403,365
Low,DC000127,342
High,DC000152,336
Low,ITS00380,329
Low,DC000221,325
Low,NW000414,321
Low,DC000202,315
Low,NW000410,314
Low,DC000216,308
Low,EDC00031,306
Low,DC000204,304
Low,SM000502,299
Medium,DC000115,292
Low,NW000429,287
Low,NW000404,274
Medium,NW000431,261
Low,DC000130,259
Low,DC000209,256
Medium,NW000427,255
Low,NW000481,254
Low,ITS00322,249
Low,NW000438,246
Low,DC000133,239
Low,NW000408,239
Low,NW000431,237
Low,DC000155,234
Low,NW000433,233
Low,DC000141,232
Low,DC000132,223
Medium,DC000202,219
Medium,ITS00343,215
Low,DC000206,213
Low,ITS00341,210
Low,NW000407,210
Low,NW000503,209
Low,ITS00313,201
Medium,DC000216,197
Low,NW000439,195
Medium,NW000414,185
Medium,NW000412,185
Medium,ITS00341,185
Low,DC000122,181
Low,ITS00332,178
Low,EDC00029,177
Medium,EDC00006,173
Low,ITS00343,169
Medium,NW000440,167
Low,DC000236,164
Low,DC000128,162
Medium,DC000141,161
Low,EDC00010,157
Medium,DC000119,149
Medium,EDC00029,148
High,DC000107,148
Low,NW000400,147
Low,ITS00306,145
Low,ITS00326,141
Medium,ITS00340,140
Low,NW000445,140
Low,DC000113,139
High,ESI00011,139
Low,NW000428,137
Medium,DC000107,135
Low,ITS00340,134
Medium,ITS00322,133
Low,SM000537,132
Medium,NW000400,132
Medium,NW000445,127
Medium,ITS00332,127
Low,DC000117,126
Medium,ITS00306,125
Medium,NW000407,125
Medium,NW000430,123
Medium,DC000113,120
Low,NW000450,118
Medium,DC000203,114
Medium,DC000117,113
Low,EDC00095,112
Low,DC000178,111
Medium,NW000463,109
Low,NW000452,109
Medium,NW000424,109
Low,ITS00325,106
Low,DC000140,105
Low,NW000463,104
Low,NW000449,104
Low,NW000434,104
Low,NW000430,104
Medium,NW000438,102
Low,DC000111,101
Medium,DC000122,100
Low,DC000107,97
Low,DC000210,97
Medium,NW000481,97
Low,NW000448,95
Low,DC000129,95
Low,ITS00376,93
Low,COR00557,92
Medium,DC000205,92
Low,NW000471,92
Low,NW000453,91
Low,EDC00002,91
Medium,EDC00053,91
Medium,DC000188,90
Medium,DC000209,89
Low,EDC00021,87
Medium,NW000449,86
Low,ITS00352,85
Medium,DC000127,83
Medium,NW000429,83
Low,NW000477,83
Medium,DC000236,82
Low,ITS00358,82
Medium,SM000502,82
Medium,NW000452,81
Low,SM000585,80
Low,DC000134,78
Medium,SM000537,77
Low,COR00553,76
Medium,DC000135,75
Medium,EDC00024,74
Medium,NW000453,74
Medium,DC000210,74
Low,ITS00308,72
Low,ESI00028,71
Low,SM000512,70
Low,NW000447,70
Low,EDC00024,70
Low,NW000488,69
Medium,DC000130,69
Medium,NW000404,69
High,NW000414,69
Medium,DC000132,67
Low,DC000156,66
Low,NW000427,66
Medium,NW000413,65
Low,ITS00381,65
Low,DC000135,65
Medium,NW000460,65
Medium,DC000108,65
Medium,NW000439,64
Low,NW000509,64
Medium,DC000207,63
Medium,DC000156,63
Low,ENT00045,63
Medium,EDC00025,62
Low,ITS00368,62
High,NW000459,62
Low,SM000561,62
Medium,DC000223,60
Medium,DC000200,60
Low,DC000139,59
Medium,DC000133,59
Medium,NW000447,59
Low,DC000108,58
Medium,NW000509,58
Medium,NW000503,57
Medium,ITS00344,57
Medium,ITS00342,57
Low,NW000424,56
Medium,ITS00358,56
Low,DC000223,56
Low,NW000464,56
Low,DC000110,55
Low,EU000203,55
Medium,ITS00381,54
Medium,SM000585,54
Low,EDC00009,54
Medium,DC000110,53
Low,NW000473,53
Low,DC000179,51
Low,COR00552,51
Low,EDC00053,51
Low,EDC00025,51
Low,DC000131,50
Medium,DC000248,50
Medium,NW000428,50
Medium,DC000111,50
Medium,DC000237,50
Medium,NW000450,50
High,EDC00006,50
Medium,SM000561,50
Medium,ITS00345,50
Low,NW000420,49
Low,SM000557,49
Low,DC000237,49
Medium,DC000224,48
Medium,DC000221,48
Medium,NW000410,48
Medium,ENT00005,48
Medium,NW000408,47
High,DC000202,47
Medium,DC000128,47
Low,ITS00307,47
Medium,NW000448,46
Low,DC000147,46
Low,EDC00001,46
Low,DC000242,45
Medium,NW000409,45
Low,SM000562,45
Low,DC000120,45
Low,DC000263,44
Low,NW000472,44
Medium,NW000444,44
Low,DC000163,43
Medium,DC000176,42
Low,ITS00312,42
High,NW000431,42
Medium,DC000139,42
High,NW000405,42
Low,PM000614,41
Medium,DC000140,41
Low,SM000542,41
Low,ITS00344,40
Low,DC000262,40
Low,NW000401,39
Medium,NW000420,39
Low,EDC00003,39
Medium,ITS00326,39
Low,NW000413,39
Medium,DC000179,39
Low,ITS00359,39
Low,ITS00342,38
Medium,DC000129,38
Low,NW000521,38
Low,ITS00321,37
Medium,ESI00028,37
Medium,EDC00030,37
Low,ITS00353,36
High,DC000207,36
Medium,NW000464,36
Low,EDC00066,35
Medium,ITS00376,35
Low,ITS00345,35
High,DC000115,35
Low,DC000109,34
Medium,NW000401,34
Medium,DC000204,33
Medium,ITS00346,33
Medium,SM000512,33
Low,ENT00009,32
Medium,DC000263,32
Medium,ITS00380,32
Low,ITS00309,31
Low,ESI00026,30
Medium,EDC00089,30
Medium,NW000472,30
Low,NW000490,30
Low,ITS00346,30
Medium,DC000120,30
Medium,ITS00352,29
Low,ESI00012,29
Low,NS000116,29
Low,NS000115,29
Medium,SM000542,28
Low,EU000202,28
Medium,ITS00307,27
Low,ITS00375,27
High,DC000206,27
High,DC000188,27
Low,EDC00089,27
Medium,EDC00010,27
Low,EDC00030,27
High,NW000417,27
Medium,ITS00308,26
Low,EDC00054,26
Medium,ITS00325,25
Medium,EDC00095,25
Medium,DC000191,25
Low,NW000446,25
Medium,NW000471,25
Low,ESI00049,24
Medium,NW000490,24
High,NW000403,24
