PRIORITY,org_id,reassign_num
Low,1342.0,10187
Medium,1342.0,5410
Low,1047.0,4610
Low,1028.0,4455
Medium,1047.0,2830
Low,1062.0,2775
Low,1045.0,1849
Low,1042.0,1409
Medium,1065.0,1333
Low,1048.0,917
Low,1213.0,894
Medium,1062.0,867
Low,1063.0,864
Medium,1045.0,843
Medium,1042.0,821
Low,1065.0,700
Low,942.0,690
Medium,1028.0,603
Low,1057.0,583
Medium,1213.0,574
Low,1055.0,546
Low,835.0,545
Medium,1048.0,543
Medium,942.0,534
Low,1053.0,522
High,1342.0,464
Low,1038.0,462
Medium,1057.0,446
Low,1355.0,437
Low,1060.0,410
Medium,1038.0,403
Low,1300.0,403
Low,1272.0,399
High,1047.0,381
Medium,1055.0,374
Medium,1272.0,352
Low,910.0,339
Low,1050.0,334
Medium,1060.0,320
Medium,835.0,317
Medium,1355.0,313
Medium,1063.0,279
Low,1037.0,267
Medium,1050.0,246
Low,1123.0,204
Medium,1037.0,194
Medium,910.0,183
Low,1273.0,181
Low,1058.0,179
Low,1043.0,161
Low,978.0,143
High,1028.0,140
High,1355.0,134
Medium,1273.0,127
Low,992.0,123
Low,1040.0,120
Medium,1053.0,115
Medium,1300.0,115
Low,1377.0,112
Medium,978.0,109
Medium,1123.0,105
Medium,877.0,97
Low,1297.0,92
Medium,1058.0,90
Medium,1043.0,88
Medium,1297.0,84
Low,877.0,83
High,1045.0,78
Medium,1325.0,77
Medium,992.0,77
Low,1325.0,76
Medium,1040.0,73
Medium,1068.0,72
High,1038.0,68
High,1065.0,60
High,1062.0,59
Low,853.0,56
Medium,1377.0,51
Low,1165.0,49
Low,1087.0,48
Low,1303.0,47
Low,1068.0,46
Low,912.0,46
Low,17498.0,43
Low,1067.0,40
High,1063.0,36
High,1213.0,35
Medium,1067.0,34
Medium,853.0,33
Medium,1165.0,33
Medium,912.0,32
Medium,1228.0,31
Low,1228.0,31
High,1037.0,30
High,1048.0,29
High,1050.0,29
High,910.0,28
Medium,1303.0,28
Medium,17498.0,27
High,1043.0,25
Medium,1753.0,24
High,1040.0,24
High,1042.0,24
Medium,1087.0,24
High,1123.0,21
High,1272.0,20
High,942.0,17
Low,1753.0,17
Medium,1017.0,14
High,1055.0,14
High,1273.0,13
Low,1247.0,13
High,1057.0,12
High,1060.0,11
High,835.0,10
High,853.0,10
Medium,15833.0,9
High,1300.0,9
High,1053.0,8
High,1297.0,8
High,1303.0,8
High,1058.0,7
Medium,1247.0,7
High,978.0,7
High,992.0,7
Low,1017.0,7
High,1377.0,7
Low,1202.0,6
Medium,1030.0,6
Low,15833.0,4
High,1017.0,4
Low,1032.0,4
Low,1083.0,4
Medium,1182.0,4
High,1087.0,3
High,1068.0,3
High,912.0,3
Medium,1243.0,3
Medium,1085.0,2
Medium,1237.0,2
Medium,1328.0,2
Low,1237.0,2
Medium,1202.0,2
Low,1337.0,2
Medium,952.0,2
High,1228.0,2
Low,1328.0,2
Low,1030.0,2
High,1325.0,2
Medium,1032.0,2
High,15833.0,2
Low,1085.0,2
Medium,1083.0,1
High,1032.0,1
Medium,948.0,1
Low,1260.0,1
High,877.0,1
Low,1732.0,1
Medium,918.0,1
Low,918.0,1
Medium,1260.0,1
High,17498.0,1
Low,1243.0,1
High,1753.0,1
Medium,1233.0,1
Medium,1232.0,1
Low,1182.0,1
Low,1183.0,1
Medium,837.0,1
High,1067.0,1
Medium,867.0,1
Medium,930.0,1
