PRIORITY,STATUS,reassign_num
High,AWAITCUS,5.0
High,INPROG,2.0
Low,AWAITCHG,1.75
Medium,SLAHOLD,1.1875
Medium,QUEUED,1.0344827586206897
Medium,AWAITCUS,0.9130434782608695
Medium,RESOLVED,0.9
Medium,INPROG,0.8461538461538461
High,CLOSED,0.7905940594059406
Low,SLAHOLD,0.7368421052631579
Low,AWAITCUS,0.7142857142857143
Low,QUEUED,0.6551724137931034
Medium,AWAITVEN,0.5454545454545454
Medium,CLOSED,0.5415862303911231
Low,CLOSED,0.3858266225733976
Low,INPROG,0.38461538461538464
Low,RESOLVED,0.2413793103448276
Low,AWAITVEN,0.21052631578947367
Medium,AWAITCHG,0.0
