service,reassign_num
Other - Service Management,11552
GC WAN,6385
Middleware,4450
IBN - GC LAN,4091
Midrange - Windows -X86,3915
Midrange,3749
Mainframe,1833
Directory Services,1591
Firewall,1414
Email,1345
Other - Security,1226
Fixed Line,1125
Mobile - Mobile Device - Government Cellular Services,1125
High-performance Computing,1115
Other - Data Centre,940
Contact Centre,877
Data Centre Facilities Management,862
Secure Remote Access,786
Storage,740
Mobile - Voice & Data,678
Storage - File,665
IBN - Data Centre Network,663
Mobile - Enterprise Mobile Device Management (EMDM),659
Fixed - PBX,651
Conferencing - Videoconferencing,636
Fixed - VoIP,566
Intra-building Network Services,549
HPC -Big Data Exchange,427
IBN - GC Wi-Fi,386
Internal Credential Management (ICM),368
IBN - Cabling - Install and Material,344
Other - Internal Services & Strategy,340
HPC - Interaction & Visualization,331
Facilities - Data Centre Facilities Racking & Stacking,301
Database,273
Facilities - Data Centre Facilities Power & Space,192
GC WAN National,171
Government of Canada Managed Security Service,133
Toll-free Voice,106
Midrange - Storage and Virtualization,71
Other - Project Management & Delivery,69
Other - Telecom & Network,62
Mobile Devices,46
Distributed Print,37
Cloud Brokering,37
Workplace Technology Services,35
GC WAN International,27
Data Centre Services,27
Satellite,26
Managed Secure File Transfer,20
Mainframe - zOS & zLinux,18
Classified Infrastructure - GCSI - Hosting Environment,13
-1,11
Fixed - Key Systems and Interchange,10
Fixed - Centrex,9
Other - Account & Service Delivery Management,6
WTD - Hardware,4
IT Continuity Support Service,1
IBN - Cabling,1
Internet,1
Solutions Integration Service (SIS),1
Fixed - Calling Card,1
To be determined,1
