service,reassign_num
Other - Service Management,21022
GC WAN,9790
IBN - GC LAN,7398
Midrange - Windows -X86,6742
Middleware,5617
Midrange,5189
Directory Services,3345
Firewall,3109
Email,2472
Other - Security,2274
Mainframe,2013
Fixed Line,1965
High-performance Computing,1846
Other - Data Centre,1763
Mobile - Mobile Device - Government Cellular Services,1682
Secure Remote Access,1580
IBN - Data Centre Network,1526
Contact Centre,1350
Storage - File,1279
Storage,1275
Intra-building Network Services,1275
Data Centre Facilities Management,1260
Mobile - Enterprise Mobile Device Management (EMDM),1235
Mobile - Voice & Data,1133
Conferencing - Videoconferencing,1006
Fixed - VoIP,917
Fixed - PBX,888
IBN - GC Wi-Fi,815
Internal Credential Management (ICM),753
HPC -Big Data Exchange,702
Other - Internal Services & Strategy,643
IBN - Cabling - Install and Material,621
HPC - Interaction & Visualization,538
Database,462
Facilities - Data Centre Facilities Racking & Stacking,452
Facilities - Data Centre Facilities Power & Space,287
GC WAN National,275
Government of Canada Managed Security Service,205
Toll-free Voice,176
Other - Project Management & Delivery,142
Midrange - Storage and Virtualization,112
Cloud Brokering,100
Mobile Devices,97
Other - Telecom & Network,82
Workplace Technology Services,79
GC WAN International,74
Distributed Print,67
Satellite,50
Managed Secure File Transfer,45
Data Centre Services,35
Classified Infrastructure - GCSI - Hosting Environment,28
-1,28
Mainframe - zOS & zLinux,23
Fixed - Key Systems and Interchange,14
Other - Account & Service Delivery Management,13
WTD - Hardware,13
Fixed - Centrex,10
IT Continuity Support Service,3
Solutions Integration Service (SIS),2
To be determined,2
Fixed - Calling Card,2
IBN - Cabling,1
Internet,1
Bulk Print,0
Faciltiies-as-a-service (FaaS),0
Service Management - Enterprise Control Center (ECC),0
