ASSIGNED_GROUP,reassign_num
ESI00011,9059
NW000417,2619
NW000412,963
NW000409,950
NW000403,830
ENT00005,678
DC000119,660
NW000405,652
NW000440,651
NW000459,630
DC000115,629
EDC00006,576
NW000433,549
DC000216,500
NW000431,470
NW000414,426
DC000141,414
ITS00341,388
NW000410,364
DC000152,361
ITS00380,361
ITS00343,357
ITS00322,348
NW000481,345
NW000429,345
NW000404,330
ITS00332,324
NW000407,321
DC000127,320
DC000130,309
DC000202,296
NW000408,289
NW000503,270
NW000439,269
ITS00340,267
NW000438,255
DC000113,247
DC000117,246
ITS00306,233
DC000203,223
NW000430,223
ITS00313,219
NW000400,211
EDC00029,203
NW000445,203
NW000428,192
NW000452,190
DC000155,188
DC000133,187
DC000128,173
NW000450,171
NW000453,167
EDC00010,165
DC000209,163
DC000140,159
DC000132,158
DC000111,157
NW000424,156
DC000122,152
EDC00053,139
NW000463,139
NW000449,137
DC000210,134
SM000585,133
ITS00325,133
DC000108,129
DC000236,127
ITS00358,126
EDC00024,125
ITS00352,124
DC000135,124
NW000434,122
NW000447,109
DC000200,108
ESI00028,108
ITS00381,107
ITS00376,107
NW000471,107
NW000413,106
DC000188,105
SM000512,105
NW000464,104
ITS00308,103
DC000129,102
EDC00095,100
COR00557,99
EDC00025,99
DC000223,97
DC000110,96
COR00553,95
DC000134,94
ITS00326,93
NW000509,93
ITS00344,93
DC000237,93
NW000448,91
NW000427,90
ITS00342,89
NW000477,88
ITS00345,88
DC000221,88
SM000561,86
DC000156,84
DC000179,81
NW000488,77
EU000203,77
SM000502,76
DC000263,76
NW000420,74
DC000139,73
NW000460,72
NW000472,72
DC000107,71
ENT00045,69
ITS00307,69
NW000473,68
DC000224,67
SM000537,63
ITS00346,62
DC000248,61
DC000178,60
PM000614,60
NW000401,60
NW000444,59
EDC00089,59
DC000120,58
SM000542,58
ITS00359,58
COR00552,56
ITS00353,56
DC000131,54
EDC00002,54
DC000109,54
DC000262,53
NW000490,53
NS000116,49
DC000147,48
ITS00312,48
EDC00021,47
DC000191,46
NW000446,46
DC000198,45
DC000205,44
NS000115,43
ESI00026,42
DC000195,41
EDC00054,40
ITS00309,40
ITS00375,39
EU000202,37
ITS00321,36
EDC00066,35
ESI00012,34
NDS00033,34
ENT00009,34
ITS00108,33
ITS00327,33
NW000426,33
DC000257,33
ITS00330,32
SM000586,32
SM000549,31
DC000249,31
NW000510,31
EDC00009,31
DC000252,31
EDC00055,30
DC000207,29
SM000514,29
EDC00001,29
DC000123,27
NW000423,27
ITS00360,27
NW000419,26
EDC00003,26
NW000489,26
ESI00049,25
ITS00335,25
ITS00374,25
DC000253,25
DC000201,25
ITS00329,24
NW000508,24
NW000461,22
NW000432,22
ENT00006,21
DC000186,20
NS000101,20
NW000483,20
NW000437,20
DC000245,19
NW000492,19
NS000108,19
DC000118,18
ITS00331,18
ENT00014,18
ITS00377,17
EDC00030,17
ITS00101,17
ENT00042,16
COR00559,16
ITS00347,16
DC000247,15
EDC00098,15
NW000476,15
EDC00062,15
DC000233,15
ITS00338,14
SM000557,14
DC000125,14
DC000163,14
DC000250,14
DC000176,14
ITS00304,13
EDC00031,13
NW000486,13
EDC00074,13
ITS00103,13
NW000406,12
DC000222,12
NW000502,12
ENT00039,12
NW000425,12
ITS00379,11
DC000199,11
EDC00040,10
SM000562,10
ITS00348,10
NW000494,10
SM000517,10
EDC00041,9
NW000436,9
COR00551,9
ITS00378,9
NW000462,9
NW000505,9
SM000568,9
EDC00075,9
NW000480,8
DC000190,8
DC000228,8
EDC00008,8
NW000411,8
EU000206,8
NW000484,7
ITS00301,7
EDC00068,7
SM000582,7
DC000206,7
SM000501,7
DC000272,7
ESI00043,7
NW000474,7
SM000553,7
ITS00362,7
ITS00349,6
SM000500,6
SM000532,6
DC000204,6
ITS00367,6
DC000121,6
DC000104,6
ITS00368,6
ITS00102,6
DC000242,6
ITS00370,6
NW000443,6
NW000495,6
DC000231,5
NW000469,5
DC000187,5
NW000456,5
DC000148,5
NW000451,5
ENT00003,5
ITS00383,5
ESI00054,5
ITS00363,5
COR00554,5
EDC00005,5
SM000513,4
DC000101,4
DC000194,4
PM000611,4
ESI00010,4
DC000229,4
NW000457,4
ITS00357,4
ITS00361,4
DC000183,4
DC000180,4
ENT00016,4
ITS00390,4
DC000160,3
SM000515,3
ITS00106,3
DC000173,3
ITS00109,3
ITS00110,3
NS000117,3
DC000218,3
EDC00026,3
ITS00373,3
DC000230,3
NW000504,3
EDC00004,3
EDC00014,3
NDS00032,3
EDC00065,3
NW000467,3
DC000211,3
SM000516,2
SM000559,2
NW000519,2
COR00055,2
DC000150,2
PM000613,2
NW000498,2
SDATIER1,2
CHNGMGMT,2
DC000114,2
NW000455,2
COR00556,2
ENT00007,2
NSD00018,2
ESI00047,2
ESI00025,2
DC000219,2
ESI00019,2
ITS00356,2
NW000402,2
ITS00302,2
ESI00052,2
EDC00064,2
ENT00008,2
NW000441,2
DC000254,2
EDC00048,2
ITS00336,2
ITS00337,2
DC000170,2
ITS00365,2
ESI00045,1
ITS00100,1
SM000520,1
CG4TECH,1
EDC00067,1
EDC00060,1
EDC00050,1
SM000519,1
DC000166,1
SM000521,1
ESI00042,1
ENT00015,1
ENT00017,1
SM000580,1
SM000575,1
SM000572,1
SM000571,1
ENT00036,1
ENT00040,1
ESI00008,1
EDC00099,1
ESI00014,1
EDC00096,1
SM000541,1
PCR00001,1
EDC00076,1
PM000602,1
NW000511,1
EDC00028,1
NW000517,1
DC000246,1
DC000226,1
NW000475,1
DC000217,1
DC000143,1
DC000146,1
DC000213,1
NW000422,1
DC000196,1
DC000193,1
NW000435,1
NW000442,1
DC000161,1
DC000184,1
DC000175,1
NS000110,1
NS000107,1
NDS00038,1
NW000507,1
NW000515,1
NW000514,1
NW000454,1
EDC00023,1
ITS00350,1
ITS00351,1
ITS00354,1
NDS00028,1
ITS00355,1
DC000112,1
ITS00371,1
DC000269,1
NW000493,1
NDS00009,1
AP000011,1
