ASSIGNED_GROUP,reassign_num
ESI00011,16650
NW000417,4081
NW000412,1709
NW000403,1490
NW000409,1405
NW000405,1308
DC000119,1300
DC000115,1198
ENT00005,1133
NW000459,1083
EDC00006,1073
NW000431,1004
DC000216,943
ITS00341,934
NW000440,888
NW000433,870
NW000481,807
ITS00380,805
ITS00343,794
DC000141,763
NW000414,732
NW000429,691
ITS00322,688
ITS00332,671
NW000407,665
DC000152,617
NW000404,597
NW000400,585
DC000127,565
NW000410,552
DC000202,549
ITS00340,528
NW000438,522
DC000130,511
DC000113,483
NW000445,481
DC000203,478
ITS00313,472
NW000430,460
ITS00306,455
NW000439,452
NW000408,446
EDC00029,445
NW000503,420
DC000117,420
DC000133,396
EDC00010,380
NW000450,366
NW000452,362
DC000122,348
NW000428,345
NW000453,326
DC000209,313
DC000111,288
DC000132,278
NW000449,273
DC000128,271
DC000236,266
ITS00358,263
NW000447,256
DC000135,254
ITS00381,252
NW000424,250
DC000155,242
NW000464,242
DC000140,239
NW000463,239
ESI00028,238
COR00557,233
ITS00376,233
DC000210,227
DC000237,226
NW000509,221
ITS00342,220
DC000200,218
NW000448,215
SM000542,214
EDC00095,213
DC000108,211
ITS00325,205
NW000434,202
ITS00352,200
EDC00053,200
DC000188,199
EDC00024,193
DC000129,193
ITS00345,192
ITS00344,190
ITS00326,187
DC000263,186
SM000512,184
DC000156,179
NW000471,177
NW000413,176
NW000420,176
DC000134,175
DC000223,174
SM000585,172
ITS00308,172
DC000221,171
DC000139,164
DC000110,161
NW000427,156
SM000502,153
DC000179,151
NW000488,145
COR00553,144
NW000460,142
EDC00025,141
NW000444,140
ITS00359,139
NW000477,137
DC000107,137
NW000490,136
EU000203,129
SM000561,128
NW000401,127
EDC00089,122
NS000116,122
NW000473,121
DC000178,120
NW000472,118
DC000248,116
DC000131,116
DC000224,115
SM000586,114
ENT00045,113
PM000614,113
ITS00307,113
EDC00002,107
ITS00353,104
NW000446,100
EDC00021,98
ITS00312,97
DC000147,97
DC000198,96
DC000195,96
ITS00346,96
DC000120,94
DC000191,94
NW000426,93
DC000205,92
COR00552,91
DC000262,85
ESI00026,83
ITS00309,83
ITS00375,83
NS000115,82
ITS00330,82
SM000537,81
ITS00108,78
DC000252,77
DC000109,75
NW000423,74
ENT00009,70
SM000514,69
EDC00054,67
EU000202,67
NW000508,67
ITS00321,67
ITS00360,66
EDC00009,66
EDC00066,66
DC000186,65
ITS00327,65
DC000249,63
NW000489,63
NDS00033,62
ITS00374,62
ITS00329,58
DC000207,57
ESI00049,57
DC000201,55
ITS00335,51
SM000549,50
NW000419,50
NW000432,50
DC000233,48
ESI00012,48
DC000245,47
EDC00055,46
DC000253,46
ITS00347,45
NW000483,45
EDC00001,45
EDC00030,45
ITS00338,44
DC000257,43
NS000108,40
EDC00003,39
NS000101,39
NW000510,38
ENT00042,36
EDC00098,36
ENT00006,36
DC000123,35
COR00559,34
ENT00039,34
ITS00377,32
DC000118,32
DC000247,32
ITS00103,31
ITS00331,31
DC000176,30
NW000425,30
ITS00101,29
NW000492,29
SM000557,28
DC000199,28
EDC00031,28
NW000486,28
EDC00074,28
ITS00304,27
ENT00014,27
ITS00378,27
NW000461,27
EDC00062,26
SM000562,26
DC000125,26
NW000437,24
NW000476,23
DC000250,23
ITS00379,23
DC000121,21
DC000228,20
NW000480,20
EDC00075,19
SM000568,18
NW000406,18
NW000502,18
NW000484,17
NW000411,17
NW000451,16
DC000222,16
PM000611,16
DC000163,16
EDC00008,16
NW000469,15
DC000272,15
NW000462,15
ESI00043,15
SM000517,14
DC000206,14
ITS00367,14
NW000436,14
NW000495,14
NW000494,14
COR00551,14
ITS00348,13
ITS00301,13
ITS00370,13
ITS00368,13
DC000229,13
ITS00357,13
SM000500,13
SM000582,13
NW000474,13
ITS00349,12
ITS00102,12
EDC00040,12
DC000187,12
ITS00383,12
DC000104,12
DC000114,12
EU000206,11
COR00554,11
ITS00363,11
DC000173,11
DC000231,11
NW000504,11
SM000515,10
EDC00014,10
NW000457,10
SM000501,10
SM000513,10
DC000190,10
NW000402,10
NW000505,10
NW000443,10
ESI00019,10
EDC00068,9
SM000553,9
DC000204,9
SM000532,9
ESI00054,9
EDC00041,9
DC000148,8
EDC00005,8
ITS00350,8
SDATIER1,8
DC000218,8
NS000117,8
ITS00362,8
ESI00025,8
DC000242,8
EDC00065,7
DC000211,7
ENT00016,7
NW000467,7
ITS00110,7
EDC00004,7
NW000456,7
ESI00010,7
ENT00003,7
ITS00361,6
PM000613,6
ITS00356,6
DC000183,6
DC000180,6
ITS00302,6
ENT00007,6
NW000498,5
DC000101,5
ITS00106,5
ITS00109,5
NW000441,5
COR00556,5
NW000519,5
ITS00373,5
ITS00390,5
NW000455,5
DC000143,5
NW000422,5
NW000514,4
DC000160,4
EDC00048,4
NDS00032,4
ESI00047,4
ESI00042,4
ITS00371,4
EDC00026,4
DC000194,4
EDC00023,4
ENT00008,4
ITS00351,3
ITS00336,3
ESI00045,3
EDC00096,3
DC000170,3
DC000146,3
ESI00052,3
DC000230,3
SM000541,3
COR00055,3
NSD00018,3
SM000559,3
SM000571,3
SM000580,3
DC000196,3
NW000475,2
DC000112,2
DC000254,2
ITS00337,2
DC000193,2
NW000507,2
PM000602,2
ITS00354,2
ENT00036,2
SM000516,2
SM000519,2
EDC00067,2
EDC00064,2
CHNGMGMT,2
SM000575,2
ESI00008,2
ITS00100,2
DC000150,2
EDC00050,2
NW000442,2
DC000226,2
NW000435,2
DC000219,2
NS000107,2
ITS00355,2
DC000213,2
ITS00365,2
NW000517,1
DC000166,1
ENT00040,1
NW000515,1
ENT00017,1
ENT00015,1
EDC00099,1
DC000246,1
NS000110,1
EDC00076,1
NW000511,1
SM000520,1
SM000521,1
DC000175,1
EDC00060,1
DC000217,1
DC000184,1
SM000572,1
CG4TECH,1
ESI00014,1
PCR00001,1
AP000011,1
NW000493,1
EDC00028,1
DC000161,1
NW000454,1
NDS00038,1
NDS00028,1
NDS00009,1
DC000269,1
ITS00328,0
SM000546,0
DC000225,0
NW000478,0
EDC00056,0
DC000105,0
EDC00052,0
EDC00043,0
COR00550,0
NDS00026,0
DC000185,0
ITS00387,0
EDC00051,0
SM000583,0
ITS00372,0
ITS00315,0
ESI00018,0
EDC00018,0
COR00558,0
ESI00013,0
NW000520,0
EDC00027,0
NS000102,0
ESI00046,0
DC000149,0
NDS00031,0
DC000145,0
NS000106,0
ENT00002,0
EU000204,0
EDC00042,0
EDC00083,0
ITS00104,0
DC000102,0
AP000012,0
