PARENT_SERVICE,reassign_num
Other Activities,12458
GC WAN,4843
Intra-building Network Services,4667
Midrange,3034
Mobile Devices,2445
Fixed Line,2359
Directory Services,1423
High-performance Computing,1413
Firewall,1301
Storage,1249
Email,998
Data Centre Facilities Management,976
Middleware,968
Secure Remote Access,756
Contact Centre,728
Conferencing Services,623
Internal Credential Management (ICM),307
Mainframe,257
Database,233
Government of Canada Managed Security Service,133
Toll-free Voice,106
Distributed Print,37
Satellite,26
Workplace Technology Services,24
Cloud Brokering,21
Managed Secure File Transfer,20
Classified Infrastructure,13
WTD Provisioning,4
Internet,1
Solutions Integration Service (SIS),1
IT Continuity Support Service,1
