PRIORITY,ASSIGNED_GROUP,reassign_num
High,DC000245,10.0
High,ITS00347,10.0
High,DC000121,8.0
Medium,ITS00350,8.0
Low,ESI00019,5.0
Low,DC000173,5.0
Low,DC000143,5.0
Medium,ITS00302,5.0
Low,NW000422,5.0
Medium,COR00559,5.0
Medium,SM000568,4.5
High,DC000147,4.333333333333333
Medium,ITS00371,4.0
High,NW000480,4.0
Medium,NW000514,4.0
Medium,NW000519,4.0
High,NW000469,4.0
Low,EDC00023,4.0
Medium,NW000455,4.0
High,DC000125,4.0
Medium,SM000515,4.0
Low,ITS00383,4.0
Low,ESI00042,4.0
Low,SDATIER1,4.0
Low,NW000504,3.6666666666666665
High,ITS00345,3.6666666666666665
Low,DC000218,3.5
Medium,SM000542,3.4
High,ITS00326,3.4
High,NW000426,3.3333333333333335
Low,NW000402,3.3333333333333335
High,EDC00030,3.3333333333333335
Medium,SM000586,3.2857142857142856
Medium,ITS00378,3.2
High,NS000116,3.0
High,EDC00055,3.0
Low,NW000441,3.0
Low,ITS00351,3.0
High,EDC00008,3.0
Low,ITS00103,3.0
Low,DC000114,3.0
Medium,NW000411,3.0
Medium,SM000514,3.0
Medium,SM000541,3.0
High,ITS00301,3.0
Low,SM000542,3.0
High,ITS00312,3.0
Low,ENT00007,3.0
High,DC000139,3.0
High,ITS00376,3.0
Medium,DC000196,3.0
Low,EDC00096,3.0
Medium,DC000173,3.0
Low,SM000580,3.0
Medium,NW000498,3.0
High,ITS00331,3.0
Low,SM000586,3.0
Low,DC000146,3.0
Low,ITS00338,2.8666666666666667
High,NW000401,2.8
High,ESI00028,2.6666666666666665
Low,NW000462,2.6666666666666665
Low,SM000513,2.6666666666666665
Low,NS000117,2.6666666666666665
Medium,DC000233,2.6666666666666665
High,DC000221,2.6
Medium,DC000186,2.5238095238095237
Medium,NW000426,2.5
Low,NW000495,2.5
Medium,ESI00043,2.5
Medium,NW000467,2.5
High,EDC00066,2.5
Low,ITS00102,2.5
Medium,NS000101,2.5
Medium,PM000613,2.5
High,ITS00374,2.5
High,ITS00308,2.4285714285714284
Low,DC000207,2.4166666666666665
Low,DC000233,2.4
High,NW000449,2.375
Low,DC000211,2.3333333333333335
Medium,ENT00039,2.3333333333333335
Low,DC000187,2.3333333333333335
Low,PM000611,2.3333333333333335
Low,ENT00039,2.272727272727273
High,ITS00340,2.263157894736842
High,NW000445,2.25
High,ITS00381,2.25
High,ITS00341,2.1666666666666665
Medium,ITS00347,2.142857142857143
High,NW000467,2.0
Medium,DC000160,2.0
Medium,DC000170,2.0
Low,EDC00048,2.0
Medium,EDC00075,2.0
Low,DC000245,2.0
Medium,EDC00048,2.0
Low,EDC00050,2.0
High,DC000135,2.0
Low,EDC00067,2.0
Medium,ENT00008,2.0
Low,EDC00014,2.0
Medium,EDC00065,2.0
High,SM000500,2.0
Medium,COR00556,2.0
Low,COR00554,2.0
High,DC000101,2.0
Low,NW000432,2.0
Low,NW000435,2.0
Low,DC000148,2.0
Low,ESI00052,2.0
Low,NW000469,2.0
Low,DC000112,2.0
Low,NW000480,2.0
Low,NW000498,2.0
Low,ESI00047,2.0
Low,DC000213,2.0
High,NW000489,2.0
Low,SM000515,2.0
Low,SM000519,2.0
Medium,SM000559,2.0
High,SM000542,2.0
Low,ESI00008,2.0
Low,SM000575,2.0
Low,ENT00036,2.0
Low,NS000107,2.0
Low,ENT00008,2.0
Medium,COR00055,2.0
Low,PM000602,2.0
High,DC000186,2.0
High,DC000198,2.0
High,EDC00065,2.0
Medium,ITS00355,2.0
High,ENT00039,2.0
Medium,NW000451,2.0
Medium,ITS00354,2.0
Medium,ITS00361,2.0
High,ENT00009,2.0
Medium,NW000442,2.0
High,ESI00047,2.0
High,ITS00330,2.0
High,ESI00012,2.0
Medium,ITS00312,2.0
Medium,ITS00357,2.0
High,DC000226,2.0
Medium,ITS00110,2.0
Medium,NW000475,2.0
High,ITS00352,2.0
Medium,NW000441,2.0
Medium,SM000512,1.9696969696969697
Medium,ESI00011,1.9656209712075634
Low,COR00559,1.9333333333333333
Low,EDC00066,1.9
High,ESI00011,1.9
Medium,ITS00375,1.894736842105263
Medium,EDC00031,1.8571428571428572
Medium,NW000400,1.8502415458937198
Medium,NW000460,1.8405797101449275
Low,SM000500,1.8333333333333333
Low,ITS00347,1.8181818181818181
Low,NW000490,1.8125
Medium,PM000611,1.8
High,NW000432,1.8
Low,DC000228,1.8
Medium,DC000206,1.8
Medium,SM000562,1.8
Medium,NW000445,1.7745098039215685
Low,NW000489,1.7692307692307692
Low,EDC00075,1.75
Low,ITS00349,1.75
Medium,ITS00102,1.75
High,ITS00313,1.75
Medium,ITS00377,1.7272727272727273
Medium,NDS00033,1.7222222222222223
Low,NW000445,1.7218934911242603
High,ITS00343,1.7083333333333333
Low,ESI00011,1.687866228383593
Low,SM000512,1.681159420289855
Medium,DC000272,1.6666666666666667
Low,DC000206,1.6666666666666667
High,DC000122,1.6666666666666667
Medium,NW000469,1.6666666666666667
Low,DC000186,1.6666666666666667
High,EDC00095,1.6666666666666667
Low,ITS00106,1.6666666666666667
Medium,NW000443,1.6666666666666667
Medium,NW000457,1.6666666666666667
High,SM000562,1.6666666666666667
Low,ITS00378,1.6666666666666667
Low,DC000252,1.6538461538461537
Low,NW000400,1.652542372881356
Medium,ITS00374,1.625
Low,ITS00304,1.6153846153846154
Low,COR00557,1.6074074074074074
High,DC000237,1.6
Medium,NW000484,1.6
Low,ITS00301,1.6
Medium,ITS00103,1.5833333333333333
Medium,NW000425,1.5833333333333333
Low,ITS00342,1.5740740740740742
Low,NW000449,1.5731707317073171
High,ITS00322,1.5714285714285714
High,SM000514,1.5714285714285714
Medium,NW000502,1.5454545454545454
Low,ITS00376,1.5436893203883495
Medium,NW000481,1.5222929936305734
Low,ITS00313,1.508896797153025
Medium,NW000480,1.5
Medium,NW000474,1.5
Low,NW000426,1.5
High,EDC00098,1.5
High,NW000410,1.5
High,NW000430,1.5
Medium,NW000406,1.5
Medium,ITS00373,1.5
High,NW000434,1.5
Low,NSD00018,1.5
High,DC000128,1.5
Medium,DC000204,1.5
Low,ESI00010,1.5
Low,DC000204,1.5
Low,NW000406,1.5
Low,SM000514,1.4666666666666666
Low,ITS00101,1.4615384615384615
Low,DC000201,1.4545454545454546
High,DC000113,1.4444444444444444
Low,NW000401,1.4411764705882353
Low,ENT00006,1.4285714285714286
Medium,EDC00030,1.4285714285714286
Low,EU000206,1.4285714285714286
Medium,DC000104,1.4285714285714286
Medium,NW000409,1.4264705882352942
Low,NW000481,1.4217171717171717
Medium,DC000122,1.417142857142857
High,NW000439,1.4166666666666667
Low,NW000492,1.411764705882353
High,EDC00001,1.4
Low,NS000101,1.4
High,NW000400,1.4
Low,NW000436,1.4
Low,ITS00379,1.3846153846153846
Medium,ITS00342,1.3814432989690721
Low,NW000439,1.379746835443038
Low,NW000411,1.375
Medium,DC000231,1.375
Low,NS000115,1.372093023255814
Medium,NW000464,1.3529411764705883
Low,NW000474,1.3333333333333333
Medium,NW000495,1.3333333333333333
High,EDC00010,1.3333333333333333
Medium,COR00557,1.3333333333333333
Medium,NW000505,1.3333333333333333
High,DC000120,1.3333333333333333
High,EDC00053,1.3333333333333333
Low,ITS00361,1.3333333333333333
Medium,EDC00066,1.3333333333333333
Low,SM000568,1.3333333333333333
Medium,ENT00042,1.3333333333333333
Medium,SM000532,1.3333333333333333
High,DC000191,1.3333333333333333
Low,SM000585,1.3333333333333333
Low,DC000131,1.3098591549295775
Medium,NW000401,1.3061224489795917
Low,ITS00341,1.3023872679045092
Low,ITS00381,1.3
High,DC000236,1.3
Low,ESI00054,1.2857142857142858
Medium,DC000133,1.2828282828282829
High,NW000420,1.2727272727272727
High,EU000203,1.2727272727272727
High,EDC00006,1.2658227848101267
Medium,ITS00380,1.2615384615384615
Medium,NW000492,1.25
Medium,DC000187,1.25
Medium,ITS00101,1.25
Low,SM000532,1.25
Medium,ITS00109,1.25
Medium,NW000419,1.25
High,NW000440,1.25
High,NW000481,1.25
High,ITS00332,1.2444444444444445
Medium,ITS00313,1.2424242424242424
Medium,NW000439,1.2413793103448276
Medium,NW000509,1.2333333333333334
Low,NS000116,1.2318840579710144
Low,ENT00042,1.2307692307692308
Medium,NW000423,1.2244897959183674
High,ITS00344,1.2222222222222223
Low,DC000121,1.2222222222222223
Low,ITS00312,1.2121212121212122
Medium,ITS00322,1.2023121387283238
Low,ITS00329,1.2
Medium,NW000404,1.2
High,DC000117,1.2
Low,ESI00049,1.2
Low,ENT00003,1.2
Low,ITS00356,1.2
Medium,NW000461,1.2
Low,DC000199,1.2
Medium,EDC00089,1.1929824561403508
Medium,NW000432,1.1875
Low,ITS00377,1.1818181818181819
Medium,NW000444,1.1818181818181819
Medium,DC000205,1.1818181818181819
Medium,NS000116,1.1724137931034482
Low,ITS00335,1.170731707317073
Low,NW000404,1.1699029126213591
High,ITS00307,1.1666666666666667
Low,NW000419,1.1666666666666667
Medium,COR00551,1.1666666666666667
High,NW000488,1.1666666666666667
Medium,ITS00348,1.1666666666666667
High,NW000438,1.1666666666666667
Medium,NW000477,1.1666666666666667
Medium,NW000462,1.1666666666666667
Low,NW000452,1.1637426900584795
Low,ENT00009,1.1607142857142858
Medium,SM000561,1.1549295774647887
Medium,SM000549,1.1538461538461537
Low,NW000460,1.1538461538461537
Medium,NW000407,1.1535433070866141
Low,NW000440,1.1505376344086022
Medium,NS000115,1.15
Medium,DC000131,1.15
Low,SM000553,1.1428571428571428
Medium,DC000199,1.1428571428571428
Medium,NW000410,1.139240506329114
Medium,DC000223,1.1287128712871286
Low,ITS00307,1.125
Low,EDC00068,1.125
High,NW000433,1.1153846153846154
High,DC000140,1.1111111111111112
High,NW000407,1.1111111111111112
Medium,ITS00329,1.1111111111111112
Medium,DC000229,1.1
Low,ITS00352,1.09375
Medium,NW000447,1.0873015873015872
Medium,ITS00376,1.0833333333333333
Medium,EDC00095,1.0833333333333333
High,NW000403,1.0769230769230769
Medium,DC000207,1.0769230769230769
Medium,DC000118,1.0740740740740742
Medium,NW000428,1.0729166666666667
Low,EDC00031,1.0714285714285714
Low,DC000247,1.0714285714285714
Low,DC000156,1.0625
