PRIORITY,ASSIGNED_GROUP,reassign_num
Low,ESI00011,6691
Medium,ESI00011,2238
Medium,NW000417,1545
Low,NW000417,1047
Low,NW000409,904
Low,NW000412,763
Low,ENT00005,629
Low,DC000119,499
Low,NW000440,477
Low,NW000403,449
Medium,NW000433,373
Low,NW000405,357
Medium,NW000403,357
Medium,NW000459,356
Low,DC000115,355
Low,EDC00006,354
Low,ITS00380,329
Low,NW000410,313
Low,NW000414,307
Low,DC000216,299
Medium,NW000405,274
Low,NW000404,264
Low,NW000429,251
Low,DC000127,248
Low,NW000481,244
Medium,DC000115,244
Low,NW000408,239
Low,DC000130,238
Low,ITS00322,236
Low,DC000141,231
Low,NW000459,227
Medium,NW000431,226
Low,NW000431,214
Medium,ITS00343,213
Low,NW000503,209
Low,ITS00313,201
Medium,DC000216,197
Low,NW000439,195
Low,ITS00341,191
Medium,NW000412,185
Medium,ITS00341,184
Low,NW000407,180
Low,ITS00332,178
Medium,EDC00006,172
Medium,DC000152,170
Low,DC000155,168
Medium,NW000440,167
Low,NW000433,163
Medium,DC000141,161
Low,DC000152,155
Medium,DC000202,151
Medium,DC000119,149
Low,NW000438,148
Low,NW000428,137
Medium,EDC00029,136
Low,EDC00010,133
Low,DC000133,131
High,ESI00011,130
Medium,NW000400,130
Low,ITS00343,128
Low,DC000128,128
Low,ITS00340,127
Medium,ITS00332,127
Low,DC000117,126
Low,ITS00306,125
Low,NW000445,124
Medium,ITS00340,124
Medium,NW000430,123
Medium,NW000407,121
Low,DC000113,121
Low,DC000202,119
Low,NW000450,117
Medium,DC000113,115
Medium,DC000203,114
Medium,DC000117,113
Low,DC000132,113
Medium,NW000424,109
Low,ITS00325,106
Low,NW000452,106
Low,DC000140,105
Medium,NW000414,103
Low,NW000434,102
Low,DC000203,102
Medium,NW000438,101
Medium,ITS00322,100
Medium,DC000122,99
Low,DC000111,99
Medium,NW000481,97
Low,COR00557,92
Medium,ITS00306,92
Medium,EDC00053,91
Medium,DC000209,89
Low,NW000453,88
Medium,NW000463,87
Low,DC000210,86
Low,ITS00352,85
Low,NW000430,85
Medium,NW000429,83
Low,NW000477,83
Low,NW000471,83
Low,ITS00358,82
Medium,NW000452,81
Medium,DC000236,79
Low,SM000585,79
Low,NW000400,78
Low,DC000134,76
Medium,NW000445,76
Medium,DC000135,75
Low,COR00553,75
Medium,NW000453,74
Medium,EDC00024,74
Medium,NW000449,73
Low,EDC00095,72
Low,ITS00308,72
Low,DC000129,70
Medium,DC000127,70
Low,ITS00376,70
Low,SM000512,69
Low,DC000209,69
Medium,DC000130,68
Low,ESI00028,67
Medium,NW000404,65
Medium,NW000413,65
Medium,DC000108,64
Medium,NW000439,64
Low,NW000509,64
Low,ENT00045,63
Medium,NW000460,63
Low,NW000427,62
Medium,EDC00025,62
Low,EDC00029,62
Low,DC000200,59
Low,DC000108,58
Medium,DC000223,58
Medium,NW000503,57
Medium,ITS00342,57
Medium,NW000447,57
Low,NW000449,57
Low,NW000464,56
Low,NW000488,56
Low,EU000203,55
Medium,SM000585,54
Low,NW000473,53
Medium,DC000188,53
Medium,ITS00381,53
Medium,DC000133,52
Low,COR00552,51
Low,ITS00381,51
Low,NW000463,51
Low,EDC00024,51
Medium,ITS00344,51
Medium,NW000450,50
Medium,DC000248,50
Medium,ITS00345,50
High,EDC00006,50
Low,DC000188,50
Medium,DC000237,50
Medium,NW000428,50
Low,NW000447,50
Low,DC000122,50
Low,DC000110,49
Low,ITS00326,49
Medium,SM000561,49
Medium,DC000111,49
Medium,DC000224,48
Medium,DC000221,48
Medium,NW000410,48
Medium,ENT00005,48
Low,DC000135,47
High,NW000459,47
Medium,NW000408,47
Medium,NW000448,46
Low,NW000424,46
Low,DC000156,46
Low,EDC00053,46
Low,ITS00307,45
Medium,DC000110,45
Medium,NW000409,45
Medium,DC000200,44
Low,DC000131,44
Medium,DC000132,44
Medium,DC000128,44
Low,DC000263,44
Medium,DC000210,43
Low,NW000472,43
Low,NW000448,43
Low,ITS00312,42
Medium,ITS00358,42
Medium,DC000140,41
Low,EDC00002,41
Low,DC000179,41
Low,DC000107,41
Low,PM000614,41
Low,SM000537,41
Medium,NW000444,40
Low,SM000502,40
Low,DC000262,40
Medium,DC000139,40
Low,DC000236,39
Low,DC000147,39
Medium,ITS00326,39
Low,NW000413,39
Low,ITS00359,39
