PRIORITY,ASSIGNED_GROUP,reassign_num
Low,ESI00011,11810
Medium,ESI00011,4574
Medium,NW000417,2390
Low,NW000417,1633
Low,NW000412,1351
Low,NW000409,1306
Low,ENT00005,1038
Low,DC000119,959
Low,NW000403,803
Low,NW000405,731
Low,ITS00380,723
Low,DC000115,694
Low,EDC00006,645
Low,NW000440,642
Medium,NW000403,631
Medium,NW000433,590
Low,NW000481,563
Medium,NW000459,558
Low,DC000216,543
Medium,NW000405,527
Low,NW000414,519
Low,NW000429,503
Low,ITS00341,491
Low,NW000404,482
Low,NW000431,475
Medium,NW000431,472
Medium,ITS00343,470
Low,NW000410,456
Low,ITS00322,447
Medium,DC000115,447
Low,NW000459,446
Low,DC000141,435
Low,DC000127,427
Low,ITS00313,424
Medium,ITS00341,404
Medium,DC000216,392
Medium,NW000400,383
Low,DC000130,378
Low,ITS00332,377
Low,NW000408,362
Low,NW000407,342
Medium,NW000412,331
Medium,EDC00006,328
Low,NW000439,327
Medium,DC000119,317
Low,NW000438,308
Low,EDC00010,304
Medium,EDC00029,296
Low,NW000503,294
Medium,NW000407,293
Low,NW000445,291
Medium,DC000141,288
Low,ITS00343,283
Low,DC000152,280
Medium,DC000152,280
High,ESI00011,266
Low,DC000133,264
Low,NW000450,263
Medium,DC000202,262
Medium,DC000203,254
Medium,NW000430,253
Low,NW000433,251
Medium,ITS00340,251
Low,DC000202,250
Medium,DC000122,248
Low,ITS00306,248
Medium,NW000481,239
Medium,ITS00332,238
Low,NW000428,237
Medium,NW000440,236
Low,ITS00340,234
Low,DC000113,229
Medium,DC000113,228
Low,DC000117,224
Low,COR00557,217
Medium,ITS00322,208
Low,DC000203,208
Low,DC000155,208
Medium,NW000438,200
Low,NW000452,199
Low,NW000400,195
Low,DC000128,194
Low,DC000132,189
Medium,DC000117,184
Medium,NW000414,183
Medium,NW000445,181
Low,ITS00358,179
Medium,ITS00306,177
Low,NW000430,177
Medium,DC000209,177
Medium,NW000424,176
Low,DC000111,173
Low,NW000453,172
Low,NW000434,169
Medium,NW000429,166
Medium,DC000236,164
Medium,NW000463,161
Low,ITS00376,159
Medium,NW000452,159
Low,ITS00325,157
Low,EDC00095,156
Medium,DC000135,153
Low,DC000210,150
Low,DC000140,148
Low,ESI00028,148
Low,NW000509,147
Medium,NW000453,144
Low,DC000134,143
Low,EDC00029,143
Low,NW000471,142
Low,ITS00352,140
Medium,NW000447,137
Medium,ITS00342,134
Medium,DC000127,133
Medium,DC000130,130
Low,NW000477,130
Low,NW000449,129
Low,DC000209,127
Medium,NW000460,127
Medium,DC000133,127
Medium,ITS00381,126
Medium,NW000449,125
Low,NW000464,125
Low,DC000129,124
Medium,EDC00053,123
Medium,NW000503,122
Low,DC000200,122
Low,ITS00381,117
Low,ITS00308,116
Low,SM000512,116
Medium,DC000237,116
Medium,NW000404,114
Medium,DC000223,114
Medium,ITS00345,113
Low,SM000585,112
Low,NW000447,111
Medium,EDC00024,111
Low,COR00553,111
Low,DC000263,109
Medium,NW000439,108
Medium,NW000448,108
Medium,DC000188,108
Low,SM000542,108
Low,NW000427,108
Medium,DC000108,108
Low,NW000488,104
Low,ENT00045,104
Medium,NW000428,103
Low,NW000420,102
Low,DC000156,102
Medium,SM000542,102
Low,NW000448,101
High,EDC00006,100
Low,ITS00326,100
Medium,DC000248,99
Low,NW000473,99
Medium,DC000111,98
Medium,NW000450,98
Medium,NW000409,97
Medium,ITS00344,96
Low,DC000122,95
Medium,NW000413,95
Medium,ENT00005,94
Low,DC000237,94
Low,DC000131,93
Low,DC000135,93
Medium,NW000464,92
Low,ITS00359,92
Medium,NW000444,91
Low,DC000108,91
Medium,NW000410,90
Low,DC000236,89
Low,SM000502,89
Medium,DC000139,89
Medium,DC000200,89
Low,DC000188,88
Medium,DC000221,88
Low,NW000490,87
Medium,DC000132,87
Low,EU000203,86
Medium,EDC00025,86
Low,NS000116,85
Low,ITS00342,85
Low,COR00552,83
Low,ITS00344,83
Medium,DC000224,82
Medium,ITS00380,82
Low,EDC00024,82
Medium,SM000561,82
Low,EDC00002,81
Medium,DC000110,81
Low,ITS00312,80
Low,NW000413,79
Medium,NW000408,79
High,NW000459,79
Low,DC000107,78
