PRIORITY,org_id,reassign_num
Low,918.0,11.0
High,1068.0,4.5
Medium,867.0,3.0
High,17498.0,3.0
Medium,1232.0,3.0
High,912.0,2.5
Medium,1030.0,2.2857142857142856
Medium,1182.0,2.25
High,1355.0,2.076923076923077
Low,1328.0,2.0
Medium,948.0,2.0
High,1753.0,2.0
Medium,1237.0,2.0
High,835.0,2.0
High,1017.0,1.8571428571428572
High,1228.0,1.75
Low,1247.0,1.6785714285714286
High,1037.0,1.6666666666666667
High,1273.0,1.5217391304347827
Low,1202.0,1.5
Medium,1032.0,1.5
High,1213.0,1.3472222222222223
Medium,952.0,1.3333333333333333
High,1043.0,1.3055555555555556
Medium,912.0,1.2962962962962963
Low,912.0,1.2564102564102564
Low,1273.0,1.229607250755287
High,1050.0,1.2272727272727273
Medium,1325.0,1.1875
High,1272.0,1.1794871794871795
Medium,1067.0,1.1692307692307693
High,1028.0,1.168421052631579
Low,1032.0,1.1666666666666667
High,1377.0,1.1666666666666667
High,1040.0,1.1538461538461537
Medium,1043.0,1.15
Medium,1753.0,1.146341463414634
High,1303.0,1.1428571428571428
High,992.0,1.1428571428571428
High,1038.0,1.1261261261261262
Medium,1247.0,1.125
Medium,15833.0,1.125
Medium,1228.0,1.1
Low,1165.0,1.098901098901099
Medium,1303.0,1.0819672131147542
Medium,1355.0,1.0722021660649819
High,978.0,1.0714285714285714
Medium,1165.0,1.0571428571428572
Medium,1068.0,1.0441176470588236
Medium,1060.0,1.0213333333333334
Medium,1377.0,1.0095238095238095
Low,1030.0,1.0
Medium,930.0,1.0
Medium,918.0,1.0
Low,1732.0,1.0
High,853.0,1.0
Medium,1085.0,1.0
Low,1237.0,1.0
Low,1182.0,1.0
Medium,1328.0,1.0
Medium,837.0,1.0
High,1032.0,1.0
Medium,1040.0,0.9927536231884058
Medium,1273.0,0.984313725490196
High,1062.0,0.9824561403508771
High,1048.0,0.9824561403508771
Medium,1058.0,0.9727272727272728
High,1057.0,0.96875
Low,1355.0,0.9485981308411215
Low,17498.0,0.9340659340659341
High,942.0,0.9166666666666666
Medium,1053.0,0.9101123595505618
High,1060.0,0.90625
Medium,1297.0,0.9055555555555556
Low,1303.0,0.8865979381443299
High,1055.0,0.88
High,1123.0,0.8775510204081632
Medium,978.0,0.8661087866108786
Low,1377.0,0.852017937219731
Low,1050.0,0.8461538461538461
High,1042.0,0.84
Low,1038.0,0.8363486842105263
Low,1753.0,0.8333333333333334
High,1325.0,0.8333333333333334
High,910.0,0.8271604938271605
Low,1325.0,0.8241758241758241
Medium,1300.0,0.8237547892720306
High,1047.0,0.8205128205128205
Low,1213.0,0.8147138964577657
Medium,1213.0,0.8086253369272237
Low,1057.0,0.7878581173260573
Low,1297.0,0.7846153846153846
Low,1228.0,0.7777777777777778
Low,1068.0,0.7768595041322314
Medium,1057.0,0.7752332485156913
High,1053.0,0.7727272727272727
Medium,1123.0,0.7720588235294118
Low,1123.0,0.764065335753176
Medium,853.0,0.7619047619047619
Medium,17498.0,0.7619047619047619
Low,1085.0,0.75
High,1065.0,0.75
Low,1040.0,0.7482758620689656
Medium,1055.0,0.7477931904161412
Low,1045.0,0.7413101604278075
Medium,1017.0,0.7272727272727273
High,1063.0,0.7191011235955056
Medium,1037.0,0.7145969498910676
Medium,1202.0,0.7142857142857143
Low,1067.0,0.7115384615384616
Low,1043.0,0.7084398976982097
Low,835.0,0.7043413173652695
Medium,992.0,0.6944444444444444
Low,1300.0,0.6908163265306122
Low,942.0,0.6872727272727273
Medium,1063.0,0.6857523302263648
Medium,1038.0,0.6780104712041884
Medium,1062.0,0.6767634854771785
High,1087.0,0.6666666666666666
Low,1337.0,0.6666666666666666
High,1058.0,0.6666666666666666
High,15833.0,0.6666666666666666
Low,15833.0,0.6666666666666666
Low,1048.0,0.6657095980311731
Medium,1028.0,0.6591820368885325
Medium,1048.0,0.6578411405295316
Medium,1045.0,0.6497564935064936
High,1342.0,0.6492027334851936
Medium,1047.0,0.6405769685504847
Medium,1272.0,0.6346356916578669
Medium,1050.0,0.6304654442877292
Medium,835.0,0.627497062279671
Low,1017.0,0.6153846153846154
High,1297.0,0.6111111111111112
Medium,1042.0,0.6053910737958462
High,1045.0,0.6041666666666666
Medium,877.0,0.6020408163265306
Low,1047.0,0.5977277297405993
Low,1028.0,0.5917186108637578
Low,1087.0,0.5844155844155844
Low,853.0,0.5769230769230769
Low,1272.0,0.5733905579399141
Low,1058.0,0.5718849840255591
Medium,942.0,0.571882951653944
Low,992.0,0.571764705882353
Low,877.0,0.5683760683760684
Low,1053.0,0.5644834571235652
Low,1065.0,0.5599369085173501
Medium,1087.0,0.5588235294117647
Low,1037.0,0.5557083906464925
High,1300.0,0.5555555555555556
Medium,1342.0,0.5503615268202455
Medium,1065.0,0.5419847328244275
Low,1063.0,0.5311498754004984
Low,1042.0,0.5158694680375503
Low,1060.0,0.5134589502018843
Low,1342.0,0.5026958290946083
Low,1083.0,0.5
Medium,1260.0,0.5
Medium,1233.0,0.5
Low,1260.0,0.5
Low,1183.0,0.5
Medium,1083.0,0.5
Low,978.0,0.49725776965265084
Medium,910.0,0.49517241379310345
Low,1055.0,0.49084967320261436
Medium,1243.0,0.4166666666666667
Low,910.0,0.36624416277518346
Low,1062.0,0.3659047286686442
High,1067.0,0.25
Low,1243.0,0.25
High,877.0,0.125
High,1243.0,0.0
High,1202.0,0.0
High,1165.0,0.0
High,1247.0,0.0
Medium,988.0,0.0
Medium,1337.0,0.0
Low,988.0,0.0
Low,1205.0,0.0
High,1732.0,0.0
