PRIORITY,org_id,reassign_num
Low,1342.0,5555
Medium,1342.0,3574
Low,1047.0,3258
Low,1062.0,2308
Low,1045.0,1846
Low,1042.0,1407
Medium,1047.0,1325
Low,1048.0,916
Low,1213.0,891
Low,1063.0,852
Medium,1045.0,843
Medium,1042.0,820
Medium,1062.0,801
Low,1028.0,683
Low,942.0,645
Low,1057.0,582
Low,1065.0,581
Medium,1213.0,574
Medium,1048.0,543
Low,835.0,534
Medium,942.0,530
Low,1053.0,522
Low,1038.0,462
Medium,1057.0,445
Medium,1028.0,425
Low,1060.0,409
Low,1055.0,409
Low,1300.0,403
Medium,1038.0,402
Low,1272.0,390
Medium,1272.0,351
Low,1050.0,326
Low,910.0,323
Medium,1060.0,320
Medium,835.0,314
Medium,1055.0,296
Medium,1063.0,272
Medium,1065.0,269
Medium,1050.0,243
Low,1037.0,234
Low,1123.0,203
Low,1355.0,199
Medium,1037.0,184
Medium,910.0,181
Low,1273.0,181
Low,1058.0,179
Low,1043.0,161
High,1342.0,161
High,1047.0,158
Low,978.0,143
Medium,1273.0,127
Low,992.0,123
Low,1040.0,120
Medium,1355.0,120
Medium,1053.0,115
Medium,1300.0,115
Low,1377.0,112
Medium,978.0,109
Medium,1123.0,103
Medium,877.0,97
Low,1297.0,92
Medium,1043.0,88
Medium,1058.0,88
Medium,1297.0,84
Low,877.0,80
High,1045.0,78
Medium,1325.0,77
Low,1325.0,76
Medium,992.0,76
Medium,1068.0,72
Medium,1040.0,72
High,1038.0,68
High,1062.0,55
Low,853.0,53
Medium,1377.0,51
High,1028.0,50
Low,1087.0,48
Low,1303.0,47
Low,1165.0,46
Low,1068.0,45
Low,912.0,45
Low,17498.0,43
Low,1067.0,40
High,1213.0,35
High,1063.0,34
Medium,1067.0,33
Medium,912.0,32
Low,1228.0,31
Medium,1165.0,31
Medium,1228.0,31
Medium,853.0,30
High,1050.0,29
High,1048.0,29
High,1065.0,29
High,1037.0,28
High,910.0,28
Medium,17498.0,27
Medium,1303.0,26
High,1043.0,25
Medium,1753.0,24
High,1040.0,24
High,1042.0,24
Medium,1087.0,24
High,1123.0,21
High,1272.0,20
High,942.0,17
Low,1753.0,17
Medium,1017.0,14
High,1273.0,13
Low,1247.0,13
High,1055.0,12
High,1057.0,12
High,1060.0,11
High,835.0,10
High,853.0,10
High,1300.0,9
High,1053.0,8
High,1297.0,8
High,1303.0,8
Medium,1247.0,7
High,992.0,7
High,1377.0,7
High,978.0,7
High,1058.0,7
Low,1017.0,7
Medium,15833.0,7
Medium,1030.0,6
High,1355.0,6
Low,1202.0,6
Low,1032.0,4
Low,15833.0,4
Medium,1182.0,4
High,1017.0,4
Medium,1243.0,3
High,1068.0,3
High,1087.0,3
High,912.0,3
Low,1237.0,2
Medium,1085.0,2
Medium,1237.0,2
Medium,1202.0,2
High,1228.0,2
Medium,1328.0,2
Low,1085.0,2
Low,1328.0,2
High,1325.0,2
High,15833.0,2
Medium,1032.0,2
Low,1337.0,2
Low,1083.0,2
Low,1030.0,2
Medium,952.0,2
Low,1243.0,1
Medium,1260.0,1
High,877.0,1
High,1032.0,1
Low,1732.0,1
Medium,918.0,1
Low,1183.0,1
Medium,1233.0,1
Medium,1232.0,1
Medium,837.0,1
Medium,1083.0,1
Medium,930.0,1
Medium,867.0,1
High,1067.0,1
Low,1182.0,1
High,1753.0,1
High,17498.0,1
Low,918.0,1
Medium,948.0,1
Low,1260.0,1
