PRIORITY,org_id,reassign_num
Low,1342.0,9883
Medium,1342.0,6546
Low,1047.0,5945
Low,1062.0,4194
Low,1045.0,3327
Medium,1047.0,2709
Low,1042.0,2308
Low,1213.0,1794
Medium,1062.0,1631
Low,1048.0,1623
Medium,1045.0,1601
Low,1063.0,1492
Medium,1042.0,1370
Low,1028.0,1329
Medium,1213.0,1200
Low,1057.0,1155
Low,942.0,1134
Low,1065.0,1065
Low,1038.0,1017
Medium,1048.0,969
Low,835.0,941
Medium,1057.0,914
Medium,942.0,899
Low,1053.0,836
Medium,1028.0,822
Medium,1038.0,777
Medium,1060.0,766
Low,1060.0,763
Low,1055.0,751
Low,1300.0,677
Low,1272.0,668
Low,1050.0,649
Medium,1272.0,601
Medium,1055.0,593
Low,910.0,549
Medium,835.0,534
Medium,1063.0,515
Medium,1065.0,497
Medium,1050.0,447
Low,1123.0,421
Low,1273.0,407
Low,1355.0,406
Low,1037.0,404
Medium,910.0,359
Low,1058.0,358
High,1047.0,352
Medium,1037.0,328
Medium,1355.0,297
High,1342.0,285
Low,1043.0,277
Low,978.0,272
Medium,1273.0,251
Medium,1053.0,243
Low,992.0,243
Low,1040.0,217
Medium,1300.0,215
Medium,1058.0,214
Medium,1123.0,210
Medium,978.0,207
Medium,1325.0,190
Low,1377.0,190
Medium,1043.0,184
Medium,877.0,177
Medium,1297.0,163
Low,1297.0,153
Medium,992.0,150
Low,1325.0,150
High,1045.0,145
Medium,1068.0,142
Medium,1040.0,137
Low,877.0,133
High,1038.0,125
High,1062.0,112
High,1028.0,111
Medium,1377.0,106
Low,1165.0,100
Low,912.0,98
High,1213.0,97
Low,1068.0,94
Low,1087.0,90
Low,853.0,90
Low,1303.0,86
Low,17498.0,85
Medium,1067.0,76
Low,1067.0,74
Medium,1165.0,74
Medium,912.0,70
Low,1228.0,70
High,910.0,67
Medium,1228.0,66
Medium,1303.0,66
High,1037.0,65
High,1063.0,64
Medium,853.0,64
Medium,1087.0,57
High,1048.0,56
High,1065.0,54
High,1050.0,54
Medium,17498.0,48
Low,1247.0,47
High,1043.0,47
Medium,1753.0,47
High,1272.0,46
High,1040.0,45
High,1123.0,43
High,1042.0,42
Low,1753.0,35
High,1273.0,35
High,942.0,33
High,1057.0,31
High,1060.0,29
High,1355.0,27
Medium,1017.0,24
High,835.0,24
High,1055.0,22
Medium,1247.0,18
Medium,15833.0,18
High,1068.0,18
High,1053.0,17
Medium,1030.0,16
High,853.0,16
Low,1017.0,16
High,1303.0,16
High,992.0,16
High,978.0,15
High,1377.0,14
High,1017.0,13
High,1297.0,11
Low,918.0,11
High,1058.0,10
High,1300.0,10
High,912.0,10
Medium,1182.0,9
Low,1202.0,9
Low,15833.0,8
High,1228.0,7
Low,1032.0,7
High,1325.0,5
Medium,1243.0,5
Medium,1202.0,5
Low,1328.0,4
Medium,1237.0,4
Medium,952.0,4
High,1087.0,4
High,17498.0,3
Medium,867.0,3
Low,1085.0,3
Medium,1232.0,3
Low,1030.0,3
Medium,1032.0,3
Low,1337.0,2
Medium,1328.0,2
Medium,930.0,2
Low,1237.0,2
Medium,948.0,2
Low,1083.0,2
Medium,1085.0,2
High,15833.0,2
High,1753.0,2
Low,1243.0,1
High,1067.0,1
Low,1732.0,1
High,877.0,1
Low,1182.0,1
Low,1260.0,1
High,1032.0,1
Medium,918.0,1
Low,1183.0,1
Medium,1260.0,1
Medium,837.0,1
Medium,1233.0,1
Medium,1083.0,1
High,1202.0,0
High,1732.0,0
Low,1205.0,0
Medium,988.0,0
Medium,1337.0,0
High,1247.0,0
Low,988.0,0
High,1243.0,0
High,1165.0,0
