service,reassign_num
Other - Service Management,18740
GC WAN,7789
IBN - GC LAN,6027
Midrange - Windows -X86,4135
Directory Services,3082
Firewall,2898
Email,2046
Other - Security,2029
Fixed Line,1961
Midrange,1851
Middleware,1778
Mobile - Mobile Device - Government Cellular Services,1682
Other - Data Centre,1668
Secure Remote Access,1537
High-performance Computing,1454
IBN - Data Centre Network,1280
Storage - File,1265
Intra-building Network Services,1206
Contact Centre,1191
Mobile - Voice & Data,1133
Mobile - Enterprise Mobile Device Management (EMDM),1103
Storage,1085
Conferencing - Videoconferencing,989
Fixed - VoIP,917
Data Centre Facilities Management,903
Fixed - PBX,888
Internal Credential Management (ICM),672
Other - Internal Services & Strategy,631
IBN - Cabling - Install and Material,597
HPC -Big Data Exchange,565
IBN - GC Wi-Fi,560
HPC - Interaction & Visualization,511
Database,405
Facilities - Data Centre Facilities Racking & Stacking,405
Mainframe,359
Facilities - Data Centre Facilities Power & Space,260
GC WAN National,260
Government of Canada Managed Security Service,205
Toll-free Voice,176
Other - Project Management & Delivery,139
Mobile Devices,97
GC WAN International,74
Workplace Technology Services,67
Distributed Print,67
Midrange - Storage and Virtualization,60
Cloud Brokering,57
Satellite,50
Managed Secure File Transfer,45
Data Centre Services,35
Classified Infrastructure - GCSI - Hosting Environment,28
-1,26
Other - Telecom & Network,20
Fixed - Key Systems and Interchange,14
Other - Account & Service Delivery Management,13
WTD - Hardware,13
Mainframe - zOS & zLinux,12
Fixed - Centrex,10
IT Continuity Support Service,3
Fixed - Calling Card,2
Solutions Integration Service (SIS),2
To be determined,2
IBN - Cabling,1
Internet,1
Bulk Print,0
Service Management - Enterprise Control Center (ECC),0
Faciltiies-as-a-service (FaaS),0
